,losses,srs,off_rtg,pts_per_g,net_rtg,srs_def,conf_abbr,school_name,sos,srs_off,opp_pts_per_g,def_rtg,wins,mov
0,4,28.91,,88.9,,7.60,ACC,Duke,9.16,21.30,69.2,,31,19.74
1,4,24.59,,78.2,,13.16,CUSA (American),Cincinnati,6.76,11.43,60.4,,31,17.80
2,4,24.38,,90.9,,1.46,Big 12,Kansas,9.36,22.92,74.7,,33,16.22
3,4,23.46,,85.0,,5.27,ACC,Maryland,9.35,18.19,70.9,,32,14.11
4,9,22.27,,80.5,,8.48,SEC (East),Florida,8.37,13.80,66.6,,22,13.90
5,5,21.02,,78.0,,11.59,Big 12,Oklahoma,7.69,9.43,64.6,,31,13.33
6,9,19.67,,85.5,,2.62,Pac-10,Oregon,6.94,17.05,72.5,,26,13.03
7,9,19.20,,77.4,,8.30,Big Ten,Illinois,9.94,10.91,67.7,,26,9.69
8,12,19.19,,70.5,,13.66,Big Ten,Indiana,12.08,5.53,62.6,,25,7.86
9,10,19.15,,76.9,,9.43,SEC (East),Kentucky,11.99,9.73,68.2,,22,8.66
10,7,17.17,,73.1,,12.79,CUSA (American),Marquette,4.78,4.38,60.7,,26,12.39
11,10,17.03,,80.7,,4.37,Pac-10,Stanford,9.03,12.66,72.7,,20,8.00
12,8,16.93,,75.9,,7.41,SEC (West),Alabama,7.67,9.52,66.7,,27,9.26
13,10,16.91,,82.1,,1.04,Pac-10,Arizona,12.47,15.87,77.7,,24,4.44
14,10,16.49,,77.9,,6.59,Pac-10,Southern California,8.31,9.90,69.8,,22,8.19
15,15,16.32,,68.3,,15.16,SEC (East),South Carolina,9.79,1.15,61.6,,22,6.70
16,8,16.14,,73.8,,7.54,Big Ten,Ohio State,7.26,8.60,64.9,,24,8.88
17,11,15.83,,75.4,,8.96,ACC,NC State,8.16,6.87,67.8,,23,7.68
18,11,15.67,,78.8,,4.61,Big East (West),Notre Dame,6.14,11.07,68.4,,22,10.45
19,7,15.38,,77.8,,6.57,Big East (East),Connecticut,7.59,8.82,69.2,,27,8.59
20,9,15.29,,80.0,,3.86,CUSA (National),Memphis,4.72,11.43,68.8,,27,11.17
21,13,15.25,,82.0,,0.98,ACC,Wake Forest,10.28,14.28,77.1,,21,4.97
22,12,14.91,,69.4,,11.79,Big Ten,Michigan State,9.61,3.12,63.8,,19,5.55
23,9,14.72,,79.1,,4.06,Big 12,Texas Tech,7.22,10.66,71.6,,23,7.50
24,10,14.68,,76.4,,4.29,SEC (East),Georgia,9.24,10.39,71.0,,22,5.41
25,6,14.68,,72.3,,11.43,Big East (West),Pittsburgh,4.53,3.25,60.9,,29,11.34
26,8,14.43,,73.8,,7.04,SEC (West),Mississippi State,7.34,7.38,66.7,,27,7.09
27,9,14.40,,71.7,,11.78,Big 12,Oklahoma State,6.81,2.62,64.1,,23,7.59
28,12,14.32,,78.1,,2.98,Big 12,Texas,9.98,11.33,73.2,,22,4.94
29,12,14.22,,79.9,,2.66,Big 12,Missouri,6.80,11.56,72.5,,24,7.42
30,6,13.91,,72.4,,9.32,A-10 (West),Xavier,4.10,4.59,62.6,,26,9.81
31,4,13.90,,81.1,,5.01,WCC,Gonzaga,0.75,8.89,66.6,,29,14.55
32,6,13.67,,75.9,,7.97,MAC (East),Kent State,2.10,5.71,64.0,,30,11.86
