,losses,srs,off_rtg,pts_per_g,net_rtg,srs_def,conf_abbr,school_name,sos,srs_off,opp_pts_per_g,def_rtg,wins,mov
0,2,24.25,117.45,76.3,36.21,17.56,AAC,Houston,4.15,6.69,56.2,81.25,28,20.10
1,4,23.86,114.97,83.6,32.65,5.18,SEC,Alabama,9.92,18.68,69.6,82.33,26,13.93
2,8,23.21,110.77,71.9,33.65,17.82,SEC,Tennessee,8.01,5.39,56.7,77.12,22,15.20
3,4,22.49,112.54,73.9,31.73,14.93,Pac-12,UCLA,8.29,7.56,59.7,80.80,26,14.20
4,7,21.24,116.04,79.2,29.38,10.07,Big East,Connecticut,7.04,11.17,65.0,86.66,23,14.20
5,5,20.38,113.47,76.1,28.12,8.64,Big 12,Kansas,12.24,11.74,68.0,85.35,25,8.13
6,8,20.29,114.51,79.0,28.29,7.63,Big 12,Texas,10.32,12.65,69.0,86.22,22,9.97
7,5,19.97,117.27,83.5,26.46,1.75,Pac-12,Arizona,8.07,18.21,71.6,90.81,25,11.90
8,5,19.60,120.87,88.0,26.64,1.63,WCC,Gonzaga,7.37,17.97,73.6,94.22,26,14.35
9,5,19.33,115.87,73.1,28.41,12.55,Big Ten,Purdue,8.46,6.78,62.2,87.47,25,10.87
10,8,19.08,117.74,78.0,26.16,6.56,Big 12,Baylor,11.02,12.52,69.9,91.58,22,8.07
11,6,18.91,111.38,71.9,28.12,16.93,WCC,Saint Mary's (CA),6.58,1.98,59.3,83.26,25,12.58
12,11,18.44,113.69,76.6,26.01,8.99,Big East,Creighton,9.64,9.45,67.8,87.68,19,8.80
13,6,17.45,116.57,80.5,24.16,3.56,Big East,Marquette,7.52,13.88,70.6,92.41,24,9.93
14,11,17.43,109.32,74.7,24.11,8.50,SEC,Arkansas,9.30,8.94,66.5,85.21,19,8.13
15,7,17.27,109.72,75.6,23.70,6.74,Big 12,Kansas State,9.67,10.53,68.0,86.03,23,7.60
16,10,16.80,109.66,76.0,22.71,7.21,Big 12,TCU,8.57,9.59,67.8,86.96,20,8.23
17,13,16.54,114.59,76.3,22.71,5.46,Big 12,West Virginia,10.97,11.08,70.8,91.88,17,5.57
18,8,16.51,115.50,82.3,22.21,1.50,Big East,Xavier,9.01,15.01,74.8,93.29,22,7.50
19,12,16.24,105.65,68.3,22.52,15.09,Big 12,Iowa State,10.24,1.15,62.3,83.13,17,6.00
20,6,15.82,110.30,73.1,22.62,9.92,MWC,San Diego State,8.64,5.90,64.9,87.67,23,8.24
21,10,15.81,112.64,75.3,22.09,6.76,Big Ten,Indiana,8.84,9.04,68.3,90.55,20,6.97
22,10,15.65,112.96,70.9,23.24,10.57,Big Ten,Maryland,7.88,5.08,63.2,89.72,20,7.77
23,10,15.63,114.86,74.7,22.51,7.40,SEC,Kentucky,8.19,8.23,67.3,92.35,20,7.43
24,10,15.60,108.62,74.7,21.11,6.80,Big Ten,Illinois,7.13,8.80,66.3,87.50,20,8.47
25,12,15.42,103.84,68.7,21.60,14.32,Big Ten,Rutgers,6.96,1.10,60.2,82.24,18,8.47
26,11,15.25,118.20,80.7,20.98,-0.77,Big Ten,Iowa,8.78,16.02,74.2,97.21,19,6.47
27,8,14.78,109.68,72.1,21.48,10.51,ACC,Duke,6.68,4.27,64.0,88.20,22,8.10
28,11,14.64,107.84,72.5,20.31,8.66,SEC,Auburn,8.80,5.97,66.7,87.53,19,5.83
29,11,14.44,109.53,70.2,20.66,9.90,Big Ten,Michigan State,11.27,4.54,67.0,88.87,18,3.17
30,8,14.34,111.73,73.5,20.78,7.95,SEC,Texas A&M,6.54,6.39,65.7,90.95,22,7.80
31,7,14.33,113.31,78.8,19.71,3.40,MWC,Utah State,6.40,10.92,69.9,93.59,23,8.93
32,9,14.16,109.37,73.0,19.15,6.16,Pac-12,Southern California,8.19,8.01,67.0,90.21,21,5.97
33,7,14.07,106.15,72.1,19.97,10.27,MWC,Boise State,5.90,3.80,63.0,86.19,23,9.10
34,13,13.96,111.38,70.9,19.41,7.33,Pac-12,Oregon,9.69,6.63,66.7,91.97,17,4.27
35,14,13.94,108.97,73.9,18.48,7.36,Big 12,Texas Tech,8.68,6.59,68.6,90.48,16,5.27
36,9,13.92,112.80,79.2,18.84,3.45,Big East,Providence,5.66,10.47,70.9,93.96,21,8.27
37,14,13.63,105.37,69.5,19.03,9.20,Big 12,Oklahoma State,10.93,4.43,66.8,86.34,16,2.70
38,10,13.52,105.98,67.8,18.69,12.00,Big Ten,Northwestern,8.32,1.51,62.6,87.30,20,5.20
39,6,13.51,108.92,67.9,20.09,14.03,ACC,Virginia,6.08,-0.52,60.5,88.83,22,7.43
40,11,13.29,109.12,77.1,18.26,3.55,ACC,North Carolina,7.83,9.74,71.6,90.86,19,5.47
41,3,13.26,111.07,79.4,19.03,4.95,CUSA,Florida Atlantic,0.44,8.31,65.5,92.04,27,13.90
42,7,13.21,108.84,79.9,18.16,1.34,AAC,Memphis,6.08,11.87,72.8,90.68,23,7.13
43,9,13.21,110.88,78.4,17.77,3.44,ACC,NC State,5.15,9.77,70.3,93.11,22,8.06
44,17,13.19,112.75,72.9,18.48,5.51,Big Ten,Ohio State,9.12,7.68,68.9,94.26,13,4.07
45,13,13.17,110.00,73.9,18.39,4.56,Big Ten,Michigan,8.77,8.61,69.5,91.61,17,4.40
46,6,13.03,114.55,79.7,18.18,1.19,ACC,Miami (FL),4.90,11.84,71.6,96.36,23,8.14
47,10,12.86,103.44,66.2,18.51,14.33,SEC,Mississippi State,6.56,-1.47,59.9,84.94,20,6.30
48,9,12.78,111.26,81.1,17.17,-0.43,MWC,New Mexico,5.50,13.21,72.8,94.08,21,8.33
49,13,12.74,101.02,69.2,15.69,9.56,Pac-12,Utah,5.81,3.18,63.4,85.33,17,5.80
50,12,12.29,114.21,72.6,17.35,5.32,Big Ten,Penn State,7.99,6.97,68.3,96.86,18,4.30
51,8,11.92,108.06,72.7,17.21,7.23,MWC,Nevada,6.88,4.69,66.3,90.85,22,6.33
52,15,11.90,103.33,70.0,16.12,7.48,Pac-12,Colorado,8.44,4.42,66.5,87.20,15,3.47
53,15,11.89,105.20,71.8,16.62,6.40,SEC,Florida,8.76,5.49,68.7,88.58,15,3.13
54,8,11.88,115.75,80.0,16.30,-1.10,SEC,Missouri,6.55,12.99,74.7,99.45,22,5.33
55,16,11.76,108.45,68.1,16.81,8.12,Big 12,Oklahoma,11.83,3.64,68.1,91.64,14,-0.07
56,15,11.60,109.59,68.1,16.27,9.22,Pac-12,Washington State,8.89,2.38,65.4,93.32,16,2.71
57,10,11.33,103.40,70.9,15.63,6.60,Pac-12,Arizona State,8.00,4.73,67.6,87.78,20,3.33
58,11,11.33,108.86,77.3,15.33,4.08,AAC,Cincinnati,4.81,7.26,69.6,93.53,19,7.73
59,13,11.29,104.37,65.0,15.96,12.00,Big Ten,Wisconsin,9.95,-0.71,63.7,88.41,16,1.34
60,13,11.17,106.26,71.6,16.93,8.74,AAC,Central Florida,5.20,2.43,65.6,89.33,16,5.97
61,9,10.86,110.27,75.9,15.28,4.60,ACC,Pittsburgh,3.96,6.27,69.0,94.99,21,6.90
62,9,10.70,107.97,75.1,15.05,4.65,ACC,Clemson,3.80,6.05,68.2,92.91,21,6.90
63,14,10.62,110.28,69.9,15.11,8.19,Big East,Villanova,8.52,2.43,67.8,95.17,16,2.10
64,14,10.56,102.53,68.2,14.31,9.95,Big East,Seton Hall,8.56,0.61,65.3,88.22,16,2.83
65,9,10.15,107.39,82.0,13.59,-0.74,CUSA,UAB,0.78,10.89,71.1,93.80,22,10.90
66,13,10.07,110.98,74.1,14.42,3.55,ACC,Virginia Tech,5.34,6.53,69.4,96.56,17,4.73
67,17,9.80,110.32,69.9,13.22,5.25,Pac-12,Stanford,7.47,4.55,67.5,97.10,13,2.33
68,10,9.72,105.33,69.3,14.63,10.64,A-10,Dayton,1.09,-0.92,60.7,90.70,20,8.63
69,14,9.71,103.32,75.6,13.52,4.44,WCC,Brigham Young,5.75,5.28,69.9,89.79,17,5.74
70,8,9.55,107.56,77.3,12.56,1.42,WCC,Santa Clara,5.55,8.13,73.0,95.01,23,4.29
71,7,9.52,101.57,70.9,13.02,8.04,A-10,Virginia Commonwealth,1.45,1.47,62.8,88.55,23,8.07
72,4,9.47,110.06,84.1,12.53,-0.62,Summit,Oral Roberts,-2.42,10.09,70.4,97.53,27,13.71
73,13,8.94,110.11,71.9,12.14,2.94,SEC,Vanderbilt,8.77,6.00,71.7,97.98,17,0.17
74,3,8.86,106.19,81.7,11.40,-0.23,CAA,College of Charleston,-4.34,9.09,68.0,94.79,28,13.71
75,12,8.85,110.43,77.2,11.95,-0.72,ACC,Wake Forest,5.49,9.58,73.8,98.48,18,3.37
76,7,8.80,107.55,75.5,13.88,7.78,A-Sun,Liberty,-2.50,1.02,60.5,93.67,26,15.00
77,8,8.50,104.62,71.5,12.62,8.26,MVC,Bradley,-0.90,0.24,61.3,92.00,23,10.19
78,6,8.50,105.92,63.6,13.53,14.85,CUSA,North Texas,1.75,-6.34,56.1,92.38,24,7.50
79,7,8.19,106.07,76.5,11.34,3.02,MAAC,Iona,-2.87,5.18,65.5,94.73,23,11.07
80,7,8.16,105.33,82.2,10.05,-1.94,Sun Belt,Marshall,-2.24,10.10,71.3,95.28,24,10.90
81,7,8.12,105.31,76.2,11.86,5.95,Ivy,Yale,-2.42,2.17,62.2,93.45,19,14.04
82,13,8.03,104.72,77.1,10.68,-1.89,Big East,St. John's (NY),5.96,9.92,75.0,94.04,17,2.07
83,6,7.94,101.50,73.4,11.22,10.15,WAC,Sam Houston State,1.06,-2.22,58.7,90.29,23,14.79
84,12,7.79,103.93,74.2,10.41,2.31,MWC,Nevada-Las Vegas,5.51,5.49,69.6,93.51,17,4.69
85,6,7.61,100.85,75.6,10.11,6.37,MAC,Kent State,-1.50,1.24,64.7,90.74,24,10.87
86,7,7.57,104.38,75.6,10.86,4.45,MVC,Drake,-1.14,3.12,64.8,93.52,24,10.87
87,15,7.52,102.94,67.3,10.31,5.91,Big Ten,Nebraska,9.58,1.61,69.4,92.63,15,-2.07
88,15,7.36,101.90,69.2,9.59,3.17,Pac-12,Washington,8.36,4.19,70.2,92.30,16,-1.00
89,6,7.14,114.11,85.9,9.44,-5.29,MAC,Toledo,-2.42,12.43,76.2,104.67,25,9.74
90,10,7.03,105.73,80.7,9.18,-4.29,AAC,Tulane,2.73,11.32,76.4,96.56,17,4.30
91,16,6.46,99.86,65.3,8.08,8.84,Big East,Butler,8.50,-2.37,67.3,91.78,14,-2.03
92,19,6.41,102.64,67.6,8.41,5.51,SEC,Mississippi,7.67,0.90,68.9,94.24,11,-1.27
93,7,6.11,100.55,75.5,8.13,3.25,WAC,Utah Valley,0.96,2.86,67.6,92.42,23,7.93
94,11,6.06,105.49,79.3,8.05,-0.84,MVC,Indiana State,-3.78,6.90,68.6,97.44,21,10.69
95,12,5.88,105.71,67.8,8.35,6.52,MWC,San Jose State,5.33,-0.63,66.6,97.36,18,1.27
96,10,5.87,105.28,75.5,8.19,1.76,A-10,Duquesne,0.41,4.11,70.0,97.09,20,5.47
97,14,5.87,102.22,70.6,7.79,4.64,AAC,Wichita State,4.18,1.23,68.9,94.43,15,1.69
98,13,5.86,105.70,75.6,7.67,0.82,WCC,San Francisco,3.66,5.03,73.0,98.02,18,2.68
99,10,5.85,102.63,81.2,7.13,-0.40,Sun Belt,James Madison,-2.15,6.25,67.7,95.51,21,13.48
100,11,5.84,105.76,75.7,8.20,1.55,WCC,Loyola Marymount,4.80,4.29,73.1,97.56,19,2.67
101,14,5.73,103.02,69.7,7.99,3.58,AAC,Temple,5.36,2.15,69.3,95.03,16,0.37
102,11,5.71,106.96,75.6,8.05,-0.38,A-10,Saint Louis,2.88,6.09,71.4,98.92,19,4.17
103,17,5.63,108.04,72.4,7.52,1.37,MWC,Colorado State,6.11,4.26,71.4,100.52,13,0.97
104,7,5.50,109.09,82.2,7.40,-1.78,Southern,Furman,-3.50,7.28,71.1,101.69,24,11.06
105,10,5.25,103.23,75.9,6.90,1.22,Big West,UC Irvine,-0.07,4.03,67.4,96.33,21,8.45
106,14,5.24,106.71,74.2,6.76,0.28,ACC,Syracuse,4.14,4.96,73.1,99.96,16,1.10
107,6,5.06,102.02,74.7,6.86,2.55,Sun Belt,Southern Mississippi,-1.76,2.51,65.0,95.16,25,9.65
108,9,4.65,103.65,73.5,6.44,4.88,MAC,Akron,-1.35,-0.23,65.5,97.21,21,8.03
109,8,4.54,103.76,74.2,6.55,2.22,CAA,Hofstra,-2.70,2.32,65.6,97.21,23,8.55
110,17,4.24,102.90,67.5,4.99,4.07,SEC,Louisiana State,7.14,0.17,70.4,97.91,13,-2.90
111,11,4.03,104.39,83.1,5.24,-5.13,WAC,Southern Utah,2.14,9.16,73.6,99.16,19,9.47
112,11,3.89,104.31,74.6,4.87,2.79,WAC,Grand Canyon,1.11,1.10,66.0,99.44,19,8.53
113,12,3.80,104.27,66.0,5.52,9.06,CUSA,Charlotte,-0.53,-5.26,61.6,98.75,18,4.33
114,7,3.73,107.36,79.1,5.24,-2.40,Sun Belt,Louisiana,-0.79,6.13,71.0,102.12,23,8.07
115,9,3.70,97.73,67.3,5.37,7.85,Big West,Hawaii,-1.87,-4.15,61.2,92.36,22,6.16
116,16,3.31,103.02,73.2,4.74,0.44,AAC,South Florida,2.14,2.87,72.0,98.28,14,1.17
117,15,3.25,102.15,70.8,5.11,4.11,Sun Belt,South Alabama,-0.51,-0.86,65.1,97.04,17,5.63
118,12,3.14,100.76,70.6,4.25,2.83,CUSA,Middle Tennessee,1.67,0.30,67.5,96.52,18,3.03
119,7,3.10,104.10,71.5,4.12,3.61,Big West,UC Santa Barbara,-2.22,-0.51,65.6,99.98,23,5.93
120,14,2.90,101.11,69.0,3.83,1.69,SEC,Georgia,5.74,1.21,71.9,97.28,16,-2.83
121,12,2.83,99.47,69.7,3.78,4.31,A-10,George Mason,0.53,-1.48,67.4,95.69,18,2.30
122,20,2.83,104.11,69.6,3.28,1.55,MWC,Wyoming,6.22,1.28,71.7,100.83,9,-2.14
123,19,2.81,106.51,70.0,3.48,1.87,ACC,Notre Dame,4.61,0.94,71.8,103.02,11,-1.80
124,11,2.80,100.98,76.1,3.68,-0.20,WAC,Stephen F. Austin,-0.50,3.00,68.2,97.30,19,7.90
125,16,2.75,103.09,67.0,3.29,5.42,MWC,Air Force,2.55,-2.66,66.8,99.80,14,0.20
126,21,2.57,102.16,71.0,3.50,-1.52,Big East,DePaul,8.70,4.09,77.1,98.66,9,-6.13
127,9,2.49,99.03,74.0,3.46,4.57,Big Sky,Montana State,-1.34,-2.08,66.3,95.57,22,7.68
128,10,2.47,105.36,76.0,3.28,-2.30,MVC,Belmont,-1.57,4.76,71.1,102.08,21,4.87
129,8,2.44,107.77,83.1,2.93,-4.66,Horizon,Youngstown State,-6.12,7.11,72.5,104.85,24,10.53
130,19,2.38,97.75,62.1,2.61,7.74,MWC,Fresno State,6.28,-5.35,65.4,95.13,10,-3.31
131,18,2.34,105.63,78.0,2.75,-4.33,WCC,Portland,4.51,6.67,78.5,102.88,14,-0.53
132,11,2.32,96.98,72.3,3.10,5.49,Southern,UNC Greensboro,-2.43,-3.16,64.4,93.88,20,7.84
133,8,2.31,103.10,76.0,2.61,-0.57,Ivy,Princeton,-3.53,2.88,68.6,100.49,18,7.38
134,17,2.29,99.51,69.5,1.99,2.91,ACC,Georgia Tech,5.43,-0.62,70.7,97.51,13,-1.17
135,12,2.28,98.71,69.2,2.99,4.28,Big West,Cal State Fullerton,-0.11,-2.00,64.5,95.72,18,4.67
136,15,2.11,103.74,70.7,2.62,1.42,A-10,Davidson,1.79,0.69,69.6,101.12,14,1.10
137,8,2.05,107.29,78.2,2.80,-2.70,Patriot,Colgate,-6.30,4.76,69.1,104.48,24,9.13
138,9,2.00,97.91,66.5,2.92,8.04,MVC,Southern Illinois,-1.83,-6.04,61.6,94.99,22,4.90
139,7,1.83,97.66,71.7,2.24,1.03,A-10,Fordham,-2.17,0.80,67.7,95.42,23,4.00
140,12,1.83,98.45,73.2,1.95,1.78,Sun Belt,Troy,-1.00,0.05,66.5,96.50,20,6.66
141,9,1.73,104.93,77.0,2.19,-2.43,Big Sky,Eastern Washington,-1.84,4.16,71.1,102.74,22,5.90
142,15,1.67,98.21,66.4,1.86,3.56,ACC,Boston College,5.20,-1.89,69.9,96.35,15,-3.53
143,11,1.22,100.75,72.1,1.16,0.31,Big West,UC Riverside,0.46,0.92,68.9,99.59,20,3.19
144,11,1.18,104.15,75.4,1.67,-2.16,Ivy,Pennsylvania,-1.49,3.34,71.6,102.48,17,3.71
145,10,1.09,103.53,78.6,1.25,-2.32,Southern,Samford,-4.06,3.41,71.1,102.28,21,7.48
146,10,1.06,106.69,82.3,0.61,-8.09,Ivy,Cornell,-2.49,9.14,76.0,106.09,16,6.31
147,16,1.01,100.81,69.5,1.34,2.72,A-10,Richmond,0.68,-1.71,69.2,99.47,14,0.33
148,14,0.91,99.59,65.8,0.61,6.03,MVC,Missouri State,-0.06,-5.12,63.7,98.98,16,2.10
149,10,0.86,102.82,72.5,1.34,1.74,AEC,Vermont,-3.00,-0.88,67.5,101.48,20,5.00
150,14,0.81,98.99,70.0,0.98,4.98,WAC,California Baptist,-0.76,-4.17,65.0,98.01,16,5.03
151,13,0.77,100.16,74.9,0.90,-2.64,Big West,UC Davis,-1.31,3.41,70.5,99.26,17,4.43
152,20,0.72,98.07,70.1,0.90,-0.95,AAC,Southern Methodist,5.42,1.67,74.8,97.17,10,-4.70
153,14,0.71,100.16,76.3,0.34,-6.39,Big West,Long Beach State,0.16,7.10,73.4,99.82,17,2.90
154,11,0.64,96.12,71.5,0.56,2.08,WAC,Seattle,1.07,-1.44,69.0,95.56,19,2.50
155,20,0.52,96.80,61.1,-0.70,6.96,Pac-12,Oregon State,7.38,-6.44,67.2,97.50,10,-6.07
156,22,0.50,101.40,78.0,0.61,-6.32,WCC,Pepperdine,5.33,6.82,81.3,100.79,9,-3.32
157,13,0.47,105.58,78.2,0.46,-3.44,MAC,Ohio,-2.04,3.92,73.4,105.12,17,4.73
158,7,0.45,101.38,78.5,0.18,-1.81,AEC,Massachusetts-Lowell,-8.65,2.26,66.2,101.20,24,12.29
159,16,0.33,100.54,72.8,-0.12,-0.23,CUSA,Louisiana Tech,1.33,0.56,69.8,100.66,14,3.00
160,17,0.27,103.02,76.2,-0.11,-5.11,WCC,Pacific,2.41,5.39,77.7,103.13,15,-1.44
161,21,0.22,101.93,70.0,-0.03,-2.56,ACC,Florida State,6.79,2.78,76.5,101.96,9,-6.57
162,8,0.19,98.69,75.5,-0.25,-0.98,A-Sun,Kennesaw State,-2.78,1.17,69.0,98.95,25,6.52
163,17,0.14,103.22,76.0,-0.30,-3.24,WAC,Utah Tech,1.18,3.38,73.2,103.52,13,2.73
164,12,0.13,97.35,66.9,-0.64,3.84,Sun Belt,Old Dominion,-0.11,-3.71,66.2,97.99,19,0.68
165,10,0.12,103.69,76.5,0.10,-1.92,MAC,Ball State,-3.27,2.04,70.5,103.59,20,5.97
166,14,0.09,100.50,73.3,-0.23,-0.27,CUSA,Western Kentucky,0.34,0.35,70.7,100.73,16,2.57
167,15,0.06,97.80,72.4,-0.70,2.08,WAC,Tarleton State,2.35,-2.03,67.5,98.50,16,4.84
168,16,-0.15,97.67,67.4,-0.46,3.50,A-10,St. Bonaventure,0.09,-3.65,67.6,98.13,14,-0.23
169,13,-0.17,95.59,67.9,-0.48,4.88,Ivy,Harvard,-1.73,-5.05,65.6,96.06,14,2.26
