,losses,srs,off_rtg,pts_per_g,net_rtg,srs_def,conf_abbr,school_name,sos,srs_off,opp_pts_per_g,def_rtg,wins,mov
0,4,28.42,,88.0,,4.90,ACC,North Carolina,10.66,23.52,70.3,,33,17.76
1,2,24.11,,77.0,,11.88,Big Ten,Illinois,8.48,12.23,61.1,,37,15.90
2,6,23.01,,78.2,,10.02,ACC,Duke,10.05,13.00,65.2,,27,12.97
3,5,22.56,,80.7,,8.74,CUSA,Louisville,6.17,13.82,64.1,,33,16.58
4,7,21.39,,78.3,,7.71,Big 12,Oklahoma State,9.67,13.69,65.2,,26,13.09
5,7,20.68,,75.0,,8.44,Big 12,Kansas,10.85,12.24,65.2,,23,9.83
6,7,20.47,,78.5,,6.63,Big Ten,Michigan State,7.41,13.85,65.4,,26,13.06
7,6,20.24,,84.9,,0.01,ACC,Wake Forest,10.27,20.23,74.0,,27,10.91
8,8,20.19,,76.2,,9.80,SEC (East),Florida,7.13,10.39,63.1,,24,13.06
9,8,19.96,,75.2,,10.54,Big 12,Oklahoma,8.84,9.43,63.3,,25,11.88
10,6,19.76,,86.5,,-1.21,Pac-10,Washington,7.65,20.97,74.2,,29,12.29
11,6,19.16,,73.6,,10.15,SEC (East),Kentucky,8.10,9.01,62.6,,28,11.06
12,8,19.06,,73.0,,9.34,Big East,Villanova,8.43,9.72,62.4,,24,10.63
13,8,18.81,,78.0,,5.58,Big East,Connecticut,7.62,13.23,66.8,,23,11.19
14,7,18.00,,79.7,,4.22,Pac-10,Arizona,8.02,13.78,69.7,,30,9.97
15,8,17.64,,75.9,,7.60,CUSA,Cincinnati,6.74,10.04,64.5,,25,11.36
16,12,17.21,,74.1,,7.80,ACC,Georgia Tech,9.77,9.41,66.7,,20,7.44
17,9,16.76,,67.4,,13.06,Big Ten,Wisconsin,9.61,3.70,60.2,,25,7.15
18,8,16.75,,75.8,,7.22,SEC (West),Alabama,6.81,9.53,65.1,,24,10.72
19,11,16.23,,76.8,,4.97,Big 12,Texas Tech,9.11,11.27,69.3,,22,7.52
20,14,16.15,,73.1,,9.29,ACC,NC State,9.15,6.86,66.1,,21,7.00
