,losses,srs,off_rtg,pts_per_g,net_rtg,srs_def,conf_abbr,school_name,sos,srs_off,opp_pts_per_g,def_rtg,wins,mov
0,5,28.07,,87.4,,9.23,SEC (East),Kentucky,9.71,18.84,69.0,,28,18.36
1,2,23.70,,87.5,,7.25,Pac-10,UCLA,10.03,16.46,73.9,,31,13.67
2,6,23.58,,84.4,,6.30,ACC,North Carolina,13.14,17.28,74.0,,28,10.44
3,5,23.19,,80.9,,10.52,A-10,Massachusetts,8.07,12.67,65.7,,29,15.12
4,8,22.69,,86.6,,5.22,ACC,Maryland,10.44,17.47,73.9,,26,12.71
5,6,22.15,,83.0,,8.05,Big 8,Kansas,10.02,14.11,70.0,,25,12.97
6,10,21.72,,77.3,,14.75,Big 8,Oklahoma State,10.26,6.97,64.3,,27,12.95
7,9,20.64,,77.4,,13.42,ACC,Virginia,10.02,7.22,66.8,,25,10.62
8,6,19.50,,71.4,,15.95,ACC,Wake Forest,10.91,3.55,62.8,,26,8.59
9,5,19.23,,86.0,,3.25,Big East,Connecticut,7.65,15.98,74.4,,28,11.58
10,8,19.09,,84.9,,4.67,Pac-10,Arizona,10.35,14.42,75.8,,23,9.06
11,12,18.60,,81.0,,6.22,GMWC,Cincinnati,8.87,12.38,71.3,,22,9.74
12,6,17.49,,78.4,,8.20,Big Ten,Michigan State,7.92,9.29,68.8,,22,9.57
13,8,17.30,,75.8,,12.61,GMWC,Saint Louis,4.08,4.69,62.6,,23,13.23
14,8,17.28,,73.4,,13.76,SEC (West),Mississippi State,8.48,3.53,64.6,,22,8.80
15,7,16.91,,87.6,,-1.00,SEC (West),Arkansas,10.51,17.91,79.9,,32,7.72
16,9,16.70,,78.3,,9.21,Pac-10,Arizona State,9.00,7.49,70.6,,24,7.70
17,11,16.57,,76.7,,11.23,Big 8,Iowa State,9.70,5.34,67.6,,23,9.09
18,8,16.39,,78.4,,8.05,Big East,Villanova,8.30,8.34,70.1,,25,8.36
19,18,16.35,,77.7,,5.16,ACC,Duke,11.82,11.20,73.7,,13,4.06
20,6,16.29,,77.6,,9.06,WAC,Utah,4.85,7.23,64.9,,28,12.68
21,12,15.91,,83.5,,1.83,Big Ten,Iowa,6.54,14.08,74.5,,21,9.00
22,7,15.72,,92.9,,-3.01,SWC,Texas,3.65,18.73,80.8,,23,12.07
23,10,15.50,,73.0,,14.14,SEC (West),Alabama,6.62,1.36,64.1,,23,8.88
24,13,15.40,,72.6,,10.53,SEC (East),Florida,11.37,4.87,68.6,,17,4.03
25,10,15.36,,82.4,,3.94,Big East,Syracuse,7.46,11.42,73.4,,20,8.97
26,9,15.22,,81.7,,5.03,Big 8,Oklahoma,7.10,10.19,73.6,,23,8.13
27,12,15.01,,80.0,,3.91,ACC,Georgia Tech,9.15,11.10,74.1,,18,5.87
28,12,14.83,,75.6,,8.20,Big Ten,Indiana,9.03,6.63,69.6,,19,6.03
29,9,14.64,,85.2,,-0.64,Pac-10,Oregon,10.64,15.28,80.4,,19,4.75
30,10,14.40,,79.4,,5.94,GMWC,Memphis,5.81,8.46,70.9,,24,8.59
31,10,14.29,,77.7,,7.02,SEC (East),Georgia,6.04,7.27,69.4,,18,8.25
32,12,13.96,,76.1,,8.35,Big Ten,Minnesota,6.31,5.61,68.5,,19,7.65
33,11,13.82,,79.2,,4.70,GMWC,DePaul,6.18,9.12,71.6,,17,7.64
34,10,13.59,,75.4,,8.88,Metro,Virginia Tech,5.39,4.72,67.2,,25,8.20
35,7,13.39,,76.4,,6.78,Big Ten,Purdue,5.74,6.61,68.7,,25,7.66
36,9,13.11,,79.0,,5.89,Pac-10,Stanford,7.24,7.21,73.1,,20,5.86
37,9,13.08,,77.0,,9.65,MVC,Evansville,-0.22,3.43,63.7,,18,13.30
38,15,13.05,,75.1,,4.80,ACC,Florida State,12.54,8.26,74.6,,12,0.52
39,12,13.05,,83.5,,2.08,Pac-10,Washington State,8.59,10.98,77.3,,18,6.27
40,15,12.95,,76.2,,6.53,ACC,NC State,8.58,6.42,71.8,,12,4.37
41,10,12.76,,75.5,,8.88,Big East,Georgetown,6.53,3.87,69.3,,21,6.23
42,8,12.37,,74.8,,8.42,MVC,Tulsa,4.66,3.95,67.4,,24,7.44
43,11,12.22,,62.7,,19.73,A-10,Temple,9.26,-7.51,59.7,,19,2.97
44,12,11.98,,70.9,,10.76,GMWC,Marquette,5.79,1.22,64.7,,21,6.18
45,12,11.97,,73.1,,9.01,Big Ten,Illinois,7.71,2.97,68.5,,19,4.52
46,9,11.94,,77.0,,4.76,Big 8,Missouri,8.32,7.18,73.4,,20,3.62
47,10,11.87,,88.8,,0.62,SWC,Texas Tech,1.87,11.25,77.4,,20,11.37
48,11,11.85,,71.3,,10.81,Big Ten,Penn State,5.04,1.04,64.5,,21,6.81
49,14,11.60,,76.4,,4.85,Metro,Louisville,7.81,6.75,72.6,,19,3.79
50,10,11.52,,75.2,,5.81,WAC,Brigham Young,5.55,5.71,69.2,,22,5.97
51,14,11.26,,78.4,,2.64,Big 8,Nebraska,6.79,8.62,74.0,,18,4.47
52,10,11.24,,77.9,,5.00,MAC,Ohio,3.67,6.24,69.7,,24,8.24
53,15,10.98,,73.0,,6.65,SEC (East),Vanderbilt,8.41,4.33,70.4,,13,2.57
54,14,10.96,,79.9,,1.68,Pac-10,California,8.89,9.28,77.9,,13,2.07
55,8,10.70,,84.2,,3.24,Big Sky,Montana State,0.90,7.46,70.8,,21,13.41
56,13,10.40,,64.1,,16.43,ACC,Clemson,8.80,-6.03,62.5,,15,1.61
57,10,10.31,,85.6,,-2.78,Big West,New Mexico State,3.58,13.09,78.3,,25,7.34
