,losses,srs,off_rtg,pts_per_g,net_rtg,srs_def,conf_abbr,school_name,sos,srs_off,opp_pts_per_g,def_rtg,wins,mov
0,6,25.67,,79.8,,9.90,ACC,Duke,10.86,15.78,65.0,,31,14.81
1,6,22.64,,78.8,,8.47,Big East,Connecticut,7.77,14.17,63.9,,33,14.87
2,4,20.85,,77.1,,10.30,Big 12,Oklahoma State,7.23,10.54,62.5,,31,14.57
3,10,20.66,,76.6,,9.06,ACC,Georgia Tech,11.21,11.60,67.2,,28,9.45
4,2,20.03,,77.4,,9.03,A-10 (East),Saint Joseph's,4.97,11.01,62.3,,30,15.06
5,11,19.40,,82.1,,0.89,ACC,North Carolina,12.04,18.51,74.8,,19,7.37
6,7,18.96,,68.4,,14.94,Big Ten,Wisconsin,7.49,4.02,57.0,,25,11.47
7,3,18.94,,81.8,,5.10,WCC,Gonzaga,3.32,13.83,66.2,,28,15.61
8,5,18.83,,73.9,,10.01,SEC (East),Kentucky,8.54,8.82,63.6,,27,10.28
9,7,18.75,,76.7,,7.37,CUSA,Cincinnati,6.28,11.39,64.3,,25,12.47
10,10,18.60,,73.2,,10.80,CUSA,Louisville,6.97,7.80,61.5,,20,11.63
11,8,18.52,,76.6,,8.06,Big 12,Texas,8.40,10.46,66.5,,25,10.12
12,10,18.45,,72.9,,11.06,ACC,NC State,10.61,7.39,65.1,,21,7.84
13,10,18.45,,83.5,,-0.94,ACC,Wake Forest,11.03,19.39,76.1,,21,7.42
14,5,18.20,,67.9,,15.80,Big East,Pittsburgh,6.49,2.40,56.4,,31,11.53
15,2,17.46,,73.6,,12.56,Pac-10,Stanford,4.33,4.90,60.5,,30,13.13
16,9,17.10,,75.8,,5.98,Big 12,Kansas,9.44,11.12,67.2,,24,8.64
17,12,16.96,,77.4,,4.85,ACC,Maryland,11.68,12.12,72.1,,20,5.28
18,7,16.93,,72.8,,8.52,Big Ten,Illinois,7.09,8.42,62.9,,26,9.85
19,4,16.78,,77.3,,5.02,SEC (West),Mississippi State,6.08,11.76,66.6,,26,10.70
20,11,16.28,,76.4,,4.44,SEC (East),Florida,9.19,11.84,69.3,,20,7.10
21,10,15.69,,73.2,,8.37,SEC (East),Vanderbilt,7.57,7.32,65.0,,23,8.12
22,10,15.29,,87.1,,-4.87,Pac-10,Arizona,6.63,20.16,78.5,,20,8.67
23,9,14.91,,75.9,,5.58,WAC,Nevada,5.82,9.33,66.4,,25,9.47
24,9,14.87,,71.0,,8.27,Big East,Providence,8.21,6.60,64.4,,20,6.66
25,11,14.71,,73.2,,7.22,Big 12,Texas Tech,8.21,7.49,66.7,,23,6.50
26,14,14.46,,71.5,,9.30,ACC,Florida State,8.31,5.16,65.1,,19,6.39
27,13,14.29,,72.1,,5.71,SEC (West),Alabama,10.20,8.58,68.0,,20,4.09
28,10,14.28,,71.9,,6.97,Big East,Seton Hall,7.78,7.31,65.4,,21,6.45
29,11,13.84,,71.2,,9.18,A-10 (West),Xavier,5.84,4.66,63.2,,26,8.00
30,8,13.06,,72.4,,5.93,CUSA,Memphis,5.96,7.13,65.3,,22,7.10
31,8,13.06,,73.1,,5.07,Big East,Syracuse,7.61,8.00,67.6,,23,5.45
32,11,12.77,,70.1,,7.81,SEC (East),South Carolina,5.33,4.95,62.6,,23,7.44
33,9,12.70,,73.3,,5.04,MWC,Brigham Young,6.31,7.66,65.5,,21,7.80
34,13,12.66,,70.5,,9.35,Big 12,Nebraska,5.08,3.31,62.9,,18,7.58
35,9,12.24,,79.1,,-1.18,CUSA,Charlotte,4.70,13.42,71.6,,21,7.53
36,12,12.15,,71.3,,3.43,Big Ten,Michigan State,8.38,8.72,67.5,,18,3.77
37,5,12.00,,78.5,,3.99,MAC (West),Western Michigan,0.20,8.01,66.1,,26,12.42
38,10,11.99,,68.0,,8.54,Big East,Boston College,7.17,3.45,63.2,,24,4.82
39,11,11.79,,68.9,,7.72,Big Ten,Michigan,6.17,4.07,63.2,,23,5.62
40,10,11.75,,75.4,,2.54,CUSA,UAB,5.62,9.21,69.3,,22,6.13
41,8,11.42,,77.5,,1.57,WAC,UTEP,3.55,9.85,67.5,,24,9.94
42,9,11.37,,64.7,,14.09,MWC,Utah,4.53,-2.72,57.4,,24,7.30
43,5,10.71,,71.0,,7.49,MVC,Southern Illinois,2.64,3.22,63.0,,25,8.07
44,13,10.70,,70.5,,4.98,Big East,Notre Dame,7.39,5.72,67.2,,19,3.31
45,14,10.67,,74.2,,1.79,Big 12,Missouri,9.04,8.88,72.6,,16,1.63
46,11,10.53,,66.4,,10.08,Big 12,Oklahoma,6.27,0.45,62.1,,20,4.26
47,14,10.32,,70.0,,6.06,SEC (West),Auburn,5.89,4.25,65.6,,14,4.43
48,13,10.07,,64.5,,11.72,A-10 (West),Richmond,5.07,-1.65,59.5,,20,5.00
49,17,10.04,,70.6,,4.93,Big East,Villanova,8.25,5.11,68.7,,18,1.91
50,14,9.74,,64.9,,10.58,Big Ten,Purdue,5.48,-0.84,60.6,,17,4.26
51,11,9.68,,74.2,,1.52,Big 12,Colorado,7.18,8.17,70.7,,18,3.45
52,12,9.46,,82.0,,-6.02,Pac-10,Washington,6.42,15.48,79.0,,19,3.03
53,6,9.30,,74.5,,5.86,MAAC,Manhattan,-1.25,3.44,64.0,,25,10.55
54,13,9.22,,74.6,,0.43,Big 12,Iowa State,8.06,8.79,72.7,,20,1.91
55,7,9.12,,59.9,,18.54,MWC,Air Force,0.08,-9.42,50.9,,22,9.03
56,11,9.10,,66.3,,8.10,SEC (West),Louisiana State,6.59,1.01,63.8,,18,2.52
57,13,9.07,,74.4,,0.49,ACC,Virginia,9.65,8.58,74.9,,18,-0.58
58,10,9.06,,70.5,,3.89,CUSA,DePaul,6.38,5.18,67.8,,22,2.69
59,12,9.06,,75.0,,0.32,A-10 (West),George Washington,4.13,8.74,70.1,,18,4.93
60,4,9.03,,69.3,,8.91,Big West,Utah State,-1.43,0.12,58.1,,25,11.21
61,11,8.94,,71.8,,4.21,MVC,Wichita State,2.62,4.73,64.9,,21,6.91
62,14,8.93,,66.5,,7.34,SEC (East),Georgia,8.16,1.59,65.7,,16,0.77
63,10,8.85,,73.7,,3.63,WAC,Boise State,4.14,5.22,67.5,,23,6.18
64,13,8.70,,71.4,,1.79,Big Ten,Iowa,6.18,6.90,68.9,,16,2.52
65,14,8.70,,69.4,,6.79,Big 12,Kansas State,4.84,1.91,65.5,,14,3.86
66,13,8.64,,74.9,,-0.11,Pac-10,Oregon,6.90,8.75,73.2,,18,1.74
67,13,8.53,,68.7,,5.60,Big East,Rutgers,6.88,2.93,65.5,,20,3.12
68,9,8.52,,68.4,,6.73,MVC,Creighton,1.90,1.79,61.8,,20,6.62
69,12,8.04,,76.7,,2.67,WCC,Saint Mary's (CA),1.79,5.37,67.2,,19,9.52
70,9,7.77,,72.8,,4.81,MAC (East),Kent State,0.77,2.97,64.1,,22,8.68
71,13,7.75,,62.7,,11.93,CUSA,Saint Louis,5.03,-4.18,59.9,,19,2.72
72,12,7.70,,70.8,,3.03,WAC,Hawaii,4.23,4.67,67.1,,21,3.79
73,11,7.52,,74.1,,0.96,WAC,Rice,3.99,6.56,70.0,,22,4.12
74,13,7.49,,74.0,,-1.17,MWC,Nevada-Las Vegas,5.19,8.66,71.3,,18,2.71
75,14,7.38,,71.1,,1.88,SEC (East),Tennessee,7.18,5.50,70.9,,15,0.21
76,6,7.22,,80.3,,-1.29,OVC,Murray State,-3.20,8.51,68.9,,28,11.41
77,14,7.19,,68.9,,6.23,A-10 (East),Rhode Island,2.80,0.96,64.8,,20,4.09
78,9,7.12,,68.0,,6.55,A-10 (West),Dayton,3.58,0.57,64.5,,24,3.55
79,10,6.87,,69.3,,3.99,MVC,Northern Iowa,3.21,2.88,65.0,,21,4.26
80,8,6.80,,71.0,,5.41,CAA,Virginia Commonwealth,-0.17,1.39,64.1,,23,6.97
81,16,6.53,,68.9,,3.87,SEC (West),Arkansas,6.28,2.66,68.6,,12,0.25
82,12,6.48,,71.2,,2.72,CUSA,Marquette,4.12,3.77,68.5,,19,2.68
83,11,6.43,,77.3,,-4.04,Horizon,Milwaukee,1.26,10.47,71.4,,20,5.90
84,15,6.29,,66.9,,6.90,Pac-10,California,6.65,-0.61,67.3,,13,-0.36
85,9,6.24,,77.0,,-0.22,Sun Belt (West),Louisiana,0.42,6.46,69.0,,20,8.07
86,14,6.08,,65.6,,6.23,Big East,West Virginia,6.28,-0.15,65.8,,17,-0.19
87,8,6.00,,69.5,,5.26,Horizon,Illinois-Chicago,-0.47,0.74,63.0,,24,6.47
88,18,5.87,,65.7,,5.80,ACC,Clemson,11.12,0.07,70.9,,10,-5.25
89,8,5.76,,68.8,,4.51,Big West,Pacific,0.95,1.26,63.5,,25,5.30
90,10,5.76,,71.4,,3.26,Ivy,Pennsylvania,-2.09,2.51,63.6,,17,7.85
91,15,5.75,,62.8,,9.11,WAC,Fresno State,5.11,-3.36,61.8,,14,1.07
92,11,5.73,,64.9,,10.45,Horizon,Detroit Mercy,0.36,-4.72,59.6,,19,5.37
93,14,5.58,,65.1,,6.60,A-10 (East),Temple,5.16,-1.03,64.7,,15,0.41
94,17,5.52,,70.0,,1.07,MWC,Wyoming,4.55,4.45,69.0,,11,0.96
95,16,5.38,,71.6,,0.68,Big East,Miami (FL),3.28,4.70,68.9,,14,2.70
96,15,5.18,,64.9,,4.58,Big Ten,Indiana,7.94,0.60,67.6,,14,-2.76
97,14,5.16,,70.6,,3.57,CUSA,East Carolina,2.16,1.59,66.1,,13,4.41
