,losses,srs,off_rtg,pts_per_g,net_rtg,srs_def,conf_abbr,school_name,sos,srs_off,opp_pts_per_g,def_rtg,wins,mov
0,2,34.79,,91.8,,7.72,ACC,Duke,10.12,27.07,67.2,,37,24.67
1,6,26.13,,84.5,,6.32,ACC,Maryland,9.04,19.82,66.4,,28,18.06
2,2,24.73,,77.3,,13.12,Big East,Connecticut,8.79,11.61,61.3,,34,15.94
3,4,24.60,,81.2,,10.73,SEC (West),Auburn,5.00,13.88,61.6,,29,19.61
4,9,22.71,,75.4,,12.82,SEC (East),Kentucky,10.01,9.89,62.7,,28,12.70
5,9,22.69,,79.0,,9.30,Big East,St. John's (NY),9.07,13.39,65.4,,28,13.62
6,5,22.64,,71.7,,14.52,Big Ten,Michigan State,10.91,8.12,59.5,,33,12.18
7,7,22.23,,73.5,,15.23,Pac-10,Stanford,10.36,7.00,60.8,,26,12.70
8,6,20.13,,73.9,,12.47,CUSA (American),Cincinnati,7.88,7.66,61.2,,27,12.73
9,9,19.03,,74.9,,8.53,Big Ten,Ohio State,9.51,10.50,64.8,,27,10.03
10,5,17.83,,71.3,,15.80,WAC (Pacific),Utah,3.17,2.04,55.4,,28,15.91
11,10,17.29,,62.1,,18.01,Big Ten,Wisconsin,10.38,-0.72,55.2,,22,6.91
12,11,17.21,,75.4,,3.47,Big Ten,Indiana,11.35,13.74,69.6,,23,5.85
13,11,17.06,,66.6,,15.24,A-10 (East),Temple,8.97,1.82,58.5,,24,8.09
14,7,16.80,,72.6,,9.77,Big East,Miami (FL),9.20,7.03,65.0,,23,7.60
15,10,16.77,,71.4,,11.09,ACC,North Carolina,10.24,5.68,64.9,,24,6.53
16,10,16.30,,72.1,,8.20,Big 12,Kansas,9.17,8.09,64.5,,23,7.64
17,12,15.84,,72.3,,9.48,Big East,Syracuse,7.63,6.36,63.2,,21,9.12
18,9,15.76,,80.3,,2.76,SEC (East),Florida,5.70,13.00,70.2,,22,10.06
19,11,15.38,,76.9,,2.93,CUSA (American),Louisville,8.28,12.45,69.8,,19,7.10
20,10,15.37,,73.9,,3.24,Big Ten,Iowa,11.44,12.13,70.0,,20,3.93
21,7,15.31,,82.2,,-1.24,Pac-10,Arizona,8.35,16.55,75.2,,22,6.97
22,9,15.28,,77.2,,4.89,Pac-10,UCLA,8.86,10.39,70.7,,22,6.48
23,7,15.03,,78.4,,5.13,WCC,Gonzaga,2.21,9.91,65.1,,28,13.23
24,13,14.97,,77.0,,5.14,SEC (West),Mississippi,8.30,9.83,67.1,,20,9.88
25,9,14.18,,72.6,,8.51,SEC (East),Tennessee,6.55,5.67,65.0,,21,7.63
26,11,13.82,,73.2,,6.65,MVC,Missouri State,6.51,7.17,65.8,,22,7.30
27,11,13.53,,68.9,,7.96,Big Ten,Minnesota,9.92,5.57,65.3,,17,3.61
28,15,13.41,,71.7,,8.64,ACC,Clemson,6.56,4.77,64.7,,20,7.00
29,11,13.28,,68.1,,9.78,Big 12,Oklahoma,4.97,3.50,60.0,,22,8.06
30,13,13.23,,68.5,,8.52,Big Ten,Purdue,10.44,4.72,65.7,,21,2.79
31,11,12.97,,78.7,,1.63,SEC (West),Arkansas,6.14,11.34,71.9,,23,6.82
32,11,12.94,,77.3,,1.80,A-10 (West),Xavier,3.89,11.14,68.3,,25,9.06
33,11,12.61,,71.5,,7.77,Big 12,Oklahoma State,5.95,4.84,63.1,,23,8.41
34,9,12.50,,71.8,,7.14,Big 12,Missouri,3.99,5.36,63.2,,20,8.52
35,9,12.26,,76.0,,3.20,MVC,Creighton,4.87,9.06,68.6,,22,7.39
36,13,12.22,,70.3,,7.36,Big East,Rutgers,7.22,4.87,65.3,,19,5.00
37,14,12.14,,71.6,,7.94,ACC,NC State,6.87,4.20,65.7,,19,5.88
38,11,12.05,,72.9,,6.72,Pac-10,California,7.84,5.33,68.7,,22,4.21
39,11,12.01,,75.0,,2.38,Big East,Villanova,7.88,9.63,70.7,,21,4.28
40,12,11.64,,74.2,,2.53,Pac-10,Washington,10.04,9.12,71.5,,17,2.72
41,8,11.60,,67.6,,10.80,MAC (East),Miami (OH),4.41,0.80,60.4,,24,7.19
42,13,11.35,,75.5,,3.08,Pac-10,Oregon,8.86,8.27,72.4,,19,3.03
43,11,11.29,,68.7,,7.60,CUSA (American),Charlotte,7.60,3.69,65.3,,23,3.38
44,13,11.28,,75.8,,2.87,Pac-10,Southern California,7.64,8.41,72.2,,15,3.64
45,14,11.15,,69.3,,4.58,Big Ten,Penn State,8.59,6.57,66.7,,13,2.56
46,9,11.06,,79.5,,-1.97,A-10 (West),George Washington,5.54,13.03,74.0,,20,5.52
47,13,10.89,,68.4,,7.53,Big 12,Texas,7.20,3.36,64.9,,19,3.53
48,14,10.81,,60.0,,16.24,Big Ten,Northwestern,9.09,-5.43,57.1,,15,2.97
49,10,10.74,,70.3,,9.49,WAC (Mountain),Tulsa,4.46,1.25,63.7,,23,6.58
50,18,10.60,,61.5,,11.75,Big Ten,Illinois,11.88,-1.15,62.8,,14,-1.28
51,13,10.31,,69.2,,7.78,Big 12,Kansas State,5.47,2.53,64.0,,20,5.18
52,11,10.00,,86.8,,-7.19,WAC (Mountain),TCU,4.90,17.18,81.0,,21,5.72
53,14,9.79,,66.6,,9.41,ACC,Wake Forest,8.11,0.38,65.0,,17,1.68
