,losses,srs,off_rtg,pts_per_g,net_rtg,srs_def,conf_abbr,school_name,sos,srs_off,opp_pts_per_g,def_rtg,wins,mov
0,4,25.46,122.00,87.2,34.95,5.82,WCC,Gonzaga,4.50,19.65,66.2,87.05,28,20.97
1,4,22.75,119.64,84.0,31.32,4.88,Pac-12,Arizona,6.84,17.87,68.1,88.31,33,15.92
2,6,22.55,118.72,74.8,33.83,14.60,AAC,Houston,6.47,7.94,58.8,84.89,32,16.08
3,6,22.28,121.11,78.2,31.97,6.98,Big 12,Kansas,11.30,15.30,67.3,89.14,34,10.98
4,7,21.73,119.06,77.0,31.81,9.61,Big 12,Baylor,8.76,12.12,64.1,87.25,27,12.97
5,8,20.90,120.81,79.4,29.73,7.40,SEC,Kentucky,8.02,13.50,66.6,91.08,26,12.88
6,8,20.46,114.15,73.5,30.14,12.24,SEC,Tennessee,9.94,8.22,62.9,84.02,27,10.51
7,10,20.08,113.09,72.1,29.59,13.32,Big 12,Texas Tech,8.65,6.76,60.6,83.50,27,11.43
8,7,19.55,121.25,80.1,28.52,6.34,ACC,Duke,7.26,13.21,67.8,92.73,32,12.28
9,8,19.31,119.23,71.7,29.32,13.45,Big East,Villanova,10.29,5.86,62.7,89.91,30,9.03
10,8,19.30,117.30,75.4,28.38,9.88,Pac-12,UCLA,8.36,9.42,64.5,88.92,27,10.94
11,6,19.20,113.67,78.2,27.28,7.09,SEC,Auburn,8.17,12.12,67.2,86.39,28,11.03
12,8,19.15,122.65,79.4,28.09,5.79,Big Ten,Purdue,8.23,13.35,68.4,94.56,29,10.92
13,10,18.90,122.09,83.2,26.82,2.28,Big Ten,Iowa,6.87,16.62,71.2,95.27,26,12.03
14,12,17.45,109.00,72.6,24.74,11.42,SEC,Louisiana State,8.30,6.03,63.4,84.25,22,9.15
15,12,17.01,113.56,68.8,26.18,13.47,Big 12,Texas,8.87,3.55,60.6,87.38,22,8.15
16,10,16.69,114.99,74.4,24.61,7.91,Big Ten,Illinois,9.48,8.78,67.2,90.38,23,7.21
17,10,16.40,115.28,74.8,23.45,8.12,Big East,Connecticut,6.88,8.28,65.3,91.83,23,9.52
18,9,16.27,111.06,75.9,23.25,6.17,SEC,Arkansas,8.62,10.10,68.3,87.82,28,7.65
19,10,15.50,114.93,77.9,22.77,3.15,ACC,North Carolina,8.89,12.35,71.3,92.16,29,6.62
20,8,14.82,110.94,69.7,21.96,13.28,WCC,Saint Mary's (CA),6.58,1.54,60.6,88.99,26,9.09
21,11,14.67,112.07,75.2,20.98,5.40,AAC,Memphis,7.86,9.28,68.3,91.09,22,6.82
22,14,14.62,116.63,79.5,21.15,-0.15,SEC,Alabama,11.59,14.77,76.5,95.49,19,3.03
23,13,14.48,115.65,70.8,21.99,10.19,ACC,Virginia Tech,6.48,4.29,62.8,93.66,23,8.00
24,15,14.26,115.09,72.6,20.71,6.83,Big Ten,Michigan,11.02,7.43,69.4,94.38,19,3.24
25,12,14.17,117.03,72.8,21.22,6.20,Big Ten,Ohio State,9.08,7.97,67.7,95.82,20,5.09
26,16,14.12,112.10,69.1,20.51,9.40,Big 12,Oklahoma,10.10,4.72,65.0,91.59,19,4.03
27,10,14.12,111.45,77.4,20.14,5.82,WCC,San Francisco,5.24,8.30,67.8,91.31,24,9.59
28,13,13.72,110.14,68.5,20.35,10.08,Big 12,TCU,10.16,3.64,64.9,89.79,21,3.56
29,8,13.39,111.00,72.8,20.63,9.95,MVC,Loyola (IL),2.93,3.45,61.5,90.37,25,11.33
30,15,13.28,105.33,68.4,19.35,9.25,Big 12,Oklahoma State,10.58,4.03,65.7,85.99,15,2.70
31,10,13.24,111.64,78.5,18.69,2.96,ACC,Wake Forest,4.75,10.28,70.1,92.95,25,8.49
32,13,13.23,112.32,74.1,18.93,4.36,Big East,Xavier,8.34,8.87,69.2,93.39,23,4.89
33,13,13.18,112.29,72.3,19.04,6.09,Big Ten,Michigan State,9.96,7.09,69.0,93.25,23,3.22
34,9,13.13,103.59,65.4,19.74,13.69,MWC,San Diego State,5.85,-0.56,58.1,83.85,23,7.28
