,losses,srs,off_rtg,pts_per_g,net_rtg,srs_def,conf_abbr,school_name,sos,srs_off,opp_pts_per_g,def_rtg,wins,mov
74,13,8.12,102.49,68.6,12.13,6.98,Pac-12,Washington State,6.93,1.14,67.4,90.37,14,1.19
75,8,8.06,108.14,74.0,12.11,3.80,MWC,Colorado State,1.06,4.26,66.8,96.03,20,7.18
76,10,8.05,102.42,64.3,12.46,13.48,WCC,Saint Mary's (CA),6.43,-5.42,62.6,89.97,14,1.63
77,12,7.80,108.93,71.2,11.73,3.28,ACC,Pittsburgh,6.75,4.52,70.1,97.20,10,1.05
78,5,7.80,108.90,76.0,13.22,6.22,Big West,UC Santa Barbara,-2.08,1.58,62.8,95.68,22,13.15
79,15,7.73,114.54,72.7,12.02,1.12,ACC,Notre Dame,9.38,6.60,74.3,102.52,11,-1.65
80,10,7.58,106.50,69.8,11.70,9.70,CUSA (West),North Texas,1.02,-2.12,62.3,94.80,18,7.46
81,14,7.48,109.17,74.3,11.52,-1.88,Pac-12,Arizona State,10.24,9.37,77.1,97.64,11,-2.76
82,6,6.89,105.97,82.0,9.74,1.26,Horizon,Wright State,-7.65,5.63,67.4,96.24,18,14.54
83,8,6.63,103.60,73.1,10.22,4.79,CUSA (West),Louisiana Tech,-0.21,1.84,65.4,93.38,24,7.66
84,12,6.62,108.76,77.5,10.74,-3.01,SEC,Georgia,8.02,9.63,78.0,98.02,14,-0.50
85,9,6.59,111.35,81.1,9.70,-1.81,MAC,Toledo,-1.88,8.40,72.6,101.65,21,8.47
86,9,6.50,105.98,81.4,9.00,-2.12,MAC,Buffalo,-1.58,8.62,72.9,96.97,16,8.44
87,10,6.31,108.98,69.8,9.98,4.02,A-10,Dayton,4.35,2.28,67.8,99.00,14,1.96
88,5,6.27,101.23,75.7,9.30,6.56,Southland,Abilene Christian,-6.37,-0.28,60.4,91.93,24,15.28
89,16,6.14,109.24,71.8,9.78,1.50,SEC,Vanderbilt,6.74,4.64,72.4,99.46,9,-0.60
90,20,6.08,101.95,70.0,10.10,2.73,Big Ten,Nebraska,12.28,3.35,74.2,91.84,7,-4.26
91,14,6.00,105.66,71.4,9.09,3.69,WCC,San Francisco,3.84,2.31,69.3,96.57,11,2.16
92,9,5.99,109.77,79.6,9.03,1.19,Southern,Furman,-1.69,4.80,68.9,100.74,16,10.68
93,12,5.94,107.58,67.2,9.59,4.04,AAC,Central Florida,8.15,1.89,69.4,97.98,11,-2.22
94,7,5.80,103.13,72.6,9.03,6.67,CUSA (West),UAB,-3.83,-0.87,60.3,94.09,22,12.31
95,7,5.70,108.49,79.9,8.33,-3.20,CUSA (East),Marshall,-1.66,8.90,72.5,100.16,15,7.36
96,12,5.65,107.92,76.9,9.01,-2.17,WCC,Pepperdine,5.01,7.82,73.6,98.91,15,3.26
97,9,5.55,107.72,69.5,9.29,4.61,WCC,Loyola Marymount,4.05,0.93,68.0,98.43,13,1.50
98,8,5.48,109.43,79.2,7.98,-0.18,MAC,Ohio,-0.57,5.65,72.6,101.46,17,6.60
99,10,5.40,107.30,73.7,8.67,0.29,MWC,Nevada,2.12,5.11,69.7,98.63,16,4.00
100,15,5.29,103.36,71.4,8.12,1.93,A-10,Rhode Island,4.93,3.36,71.1,95.24,10,0.36
101,8,5.19,105.85,72.7,8.01,2.64,CUSA (East),Western Kentucky,0.50,2.56,68.0,97.85,21,4.69
102,7,5.16,107.19,73.4,8.36,1.79,MVC,Missouri State,-0.02,3.37,66.4,98.83,17,7.00
103,7,5.11,105.16,75.5,9.22,6.92,WAC,Grand Canyon,-3.46,-1.81,62.1,95.94,17,13.38
104,20,4.89,105.84,65.4,7.40,6.50,Pac-12,California,9.75,-1.61,69.2,98.44,9,-3.83
105,7,4.77,106.04,76.7,6.93,-2.86,A-10,Massachusetts,1.03,7.63,73.0,99.12,8,3.73
