,losses,srs,off_rtg,pts_per_g,net_rtg,srs_def,conf_abbr,school_name,sos,srs_off,opp_pts_per_g,def_rtg,wins,mov
0,5,25.21,,77.0,,12.04,ACC,Duke,9.21,13.17,61.0,,35,15.95
1,3,24.68,,81.6,,9.62,Big 12,Kansas,8.25,15.06,64.2,,33,17.36
2,5,21.72,,80.9,,6.82,Big East,Syracuse,7.21,14.90,66.4,,30,14.51
3,3,21.13,,79.3,,7.84,SEC (East),Kentucky,6.82,13.30,64.9,,35,14.32
4,8,19.88,,79.7,,5.41,Big 12,Kansas State,10.28,14.47,69.8,,29,9.86
5,8,19.49,,74.1,,9.15,Big Ten,Ohio State,7.37,10.34,61.5,,29,12.59
6,7,19.16,,72.4,,11.56,Big East,West Virginia,10.26,7.60,63.5,,31,8.89
7,6,18.82,,83.1,,2.70,MWC,Brigham Young,3.00,16.12,66.4,,30,16.67
8,10,18.56,,81.2,,3.28,Big 12,Texas,7.38,15.28,70.0,,24,11.18
9,8,17.97,,77.0,,8.39,Big 12,Baylor,8.03,9.58,65.6,,28,11.36
10,9,17.84,,67.1,,15.54,Big Ten,Wisconsin,7.66,2.31,56.9,,24,10.18
11,9,17.75,,79.7,,3.13,ACC,Maryland,7.95,14.63,68.3,,24,11.36
12,6,17.52,,70.5,,11.43,Big Ten,Purdue,8.81,6.09,61.3,,29,9.23
13,11,17.39,,77.3,,6.08,Big 12,Missouri,6.36,11.31,66.2,,23,11.03
14,11,17.29,,77.2,,3.86,Pac-10,California,8.26,13.43,68.2,,24,9.03
15,11,17.03,,73.5,,7.65,Big East,Georgetown,9.56,9.38,66.1,,23,7.47
16,8,16.72,,81.8,,-0.02,Big East,Villanova,7.75,16.74,72.8,,25,8.97
17,9,16.23,,79.8,,1.69,A-10,Xavier,5.94,14.53,69.5,,26,10.29
18,9,16.05,,73.5,,8.19,SEC (East),Tennessee,7.75,7.86,65.2,,28,8.30
19,11,15.71,,73.4,,7.46,ACC,Clemson,7.90,8.25,64.5,,21,8.91
20,14,15.64,,72.4,,7.55,Big Ten,Minnesota,7.32,8.09,64.1,,21,8.31
21,10,15.64,,79.2,,2.33,Pac-10,Washington,7.49,13.31,70.0,,26,9.22
22,9,15.33,,71.8,,7.99,Big Ten,Michigan State,8.17,7.35,63.8,,28,8.03
23,10,15.24,,71.4,,9.54,Big 12,Texas A&M,9.80,5.70,64.5,,24,6.88
24,9,15.24,,76.9,,3.40,SEC (East),Vanderbilt,7.86,11.84,68.9,,24,7.97
25,12,15.17,,73.1,,9.27,Big East,Marquette,8.23,5.90,64.6,,22,8.44
26,10,14.64,,68.2,,12.03,ACC,Florida State,6.79,2.60,60.4,,22,7.84
27,5,14.37,,68.7,,11.87,Horizon,Butler,5.08,2.50,59.4,,33,9.29
28,9,14.30,,68.7,,11.64,Big East,Pittsburgh,7.39,2.66,61.8,,25,6.91
29,13,14.11,,72.8,,6.62,ACC,Georgia Tech,9.02,7.49,65.7,,23,7.11
30,13,14.08,,75.9,,3.95,Big East,Louisville,7.99,10.13,69.8,,20,6.09
31,11,13.80,,66.7,,12.19,Pac-10,Arizona State,5.83,1.61,58.7,,22,8.00
32,8,13.62,,73.1,,10.47,WAC,Utah State,1.23,3.15,59.9,,27,13.20
33,11,13.46,,78.4,,1.51,SEC (West),Mississippi,5.77,11.95,70.7,,24,7.69
34,6,13.38,,78.5,,3.35,WCC,Saint Mary's (CA),2.20,10.03,66.4,,28,12.06
35,12,13.25,,70.2,,9.98,A-10,Dayton,5.61,3.27,62.3,,25,7.95
36,12,13.14,,75.3,,3.32,Big East,Notre Dame,6.22,9.82,68.4,,23,6.91
37,7,12.66,,75.3,,5.70,CUSA,UTEP,1.96,6.96,64.6,,26,10.70
38,9,12.57,,73.1,,6.59,MWC,Nevada-Las Vegas,4.82,5.98,63.8,,25,9.32
39,12,12.55,,72.8,,6.38,SEC (West),Mississippi State,4.60,6.17,64.9,,24,7.94
40,16,12.50,,70.0,,6.87,Big East,Connecticut,9.15,5.63,66.6,,18,3.35
41,5,12.49,,75.9,,2.84,MWC,New Mexico,3.84,9.65,67.2,,30,8.66
42,6,12.44,,64.9,,15.04,A-10,Temple,4.27,-2.60,56.8,,29,8.17
43,11,12.34,,73.8,,5.05,Big 12,Oklahoma State,6.97,7.29,68.0,,22,5.88
44,7,12.11,,76.9,,2.84,WCC,Gonzaga,3.83,9.27,67.4,,27,9.50
45,5,12.03,,63.3,,14.84,MVC,Northern Iowa,4.27,-2.81,55.1,,30,8.20
46,13,11.89,,72.2,,6.08,SEC (East),Florida,7.16,5.81,66.4,,21,5.79
47,10,11.74,,75.4,,4.40,CUSA,Memphis,3.65,7.34,65.7,,24,9.76
48,9,11.65,,72.7,,5.65,ACC,Virginia Tech,5.13,6.00,65.1,,25,7.59
49,15,11.58,,70.8,,5.11,Big Ten,Illinois,9.58,6.47,66.8,,21,3.92
50,11,11.45,,72.8,,3.25,ACC,Wake Forest,8.85,8.21,69.5,,20,3.29
51,9,11.39,,67.1,,11.91,CAA,Old Dominion,1.78,-0.52,57.5,,27,9.61
52,13,11.35,,72.4,,5.52,ACC,Miami (FL),7.01,5.83,64.7,,20,7.70
53,9,11.34,,70.3,,7.85,MWC,San Diego State,4.21,3.49,61.8,,25,8.47
54,13,10.43,,80.1,,-2.53,Big East,Seton Hall,5.78,12.97,75.4,,19,4.66
55,15,10.34,,68.5,,7.99,SEC (West),Alabama,6.62,2.35,64.8,,17,3.72
56,9,10.23,,76.0,,0.91,CAA,Virginia Commonwealth,0.64,9.32,66.4,,27,9.58
57,17,10.14,,74.5,,1.62,ACC,North Carolina,9.83,8.52,71.9,,20,2.62
58,17,10.04,,64.3,,9.78,Big Ten,Michigan,9.37,0.26,61.6,,15,2.78
59,9,10.03,,69.3,,9.06,A-10,Richmond,3.43,0.98,62.7,,26,6.60
60,16,9.98,,68.8,,6.75,Big East,Cincinnati,8.45,3.23,66.5,,19,2.31
61,17,9.60,,70.3,,3.09,Big 12,Iowa State,8.37,6.51,67.9,,15,2.38
62,16,9.58,,69.2,,5.16,ACC,Boston College,7.21,4.42,66.1,,15,3.13
63,9,9.46,,66.9,,8.82,CUSA,UAB,2.90,0.64,60.4,,25,6.56
64,16,9.23,,68.2,,7.37,Big East,St. John's (NY),8.70,1.86,66.4,,17,1.85
