,losses,srs,off_rtg,pts_per_g,net_rtg,srs_def,conf_abbr,school_name,sos,srs_off,opp_pts_per_g,def_rtg,wins,mov
0,4,25.65,,78.9,,13.96,Pac-10,Stanford,7.12,11.70,59.7,,27,19.26
1,5,25.55,,88.0,,2.90,ACC,Duke,8.88,22.65,71.3,,29,16.68
2,7,25.04,,74.1,,14.97,Big Ten,Michigan State,9.91,10.07,58.9,,32,15.13
3,4,24.62,,77.6,,11.72,CUSA (American),Cincinnati,8.50,12.90,61.5,,29,16.12
4,8,23.48,,83.8,,4.99,SEC (East),Florida,8.51,18.49,68.9,,29,14.97
5,6,20.63,,68.5,,18.29,A-10 (East),Temple,6.94,2.35,54.8,,27,13.70
6,9,20.43,,74.5,,10.80,Big 12,Texas,9.61,9.64,63.7,,24,10.82
7,7,20.01,,77.1,,12.23,Big 12,Oklahoma State,6.59,7.78,62.3,,27,14.79
8,5,19.94,,80.4,,10.17,WAC,Tulsa,2.42,9.77,62.9,,32,17.51
9,10,19.73,,75.8,,9.85,Big Ten,Illinois,9.60,9.87,65.6,,22,10.13
10,9,19.43,,77.7,,5.97,Big Ten,Indiana,10.22,13.46,68.4,,20,9.24
11,7,19.25,,74.9,,11.77,Big 12,Oklahoma,6.63,7.48,62.3,,27,12.62
12,5,19.09,,78.3,,8.54,Big 12,Iowa State,7.14,10.55,65.1,,32,13.22
13,7,18.96,,76.4,,6.92,Pac-10,Arizona,9.70,12.05,67.2,,27,9.26
14,7,18.93,,79.7,,6.54,SEC (East),Tennessee,8.12,12.39,67.8,,26,11.82
15,6,18.90,,75.8,,10.84,SEC (West),Louisiana State,5.78,8.06,62.7,,28,13.12
16,10,18.52,,69.1,,13.72,SEC (East),Kentucky,12.71,4.81,62.8,,23,6.24
17,10,17.94,,78.7,,5.02,Big 12,Kansas,9.79,12.92,70.1,,24,8.65
18,10,17.93,,76.7,,6.57,ACC,Maryland,9.44,11.36,68.2,,25,8.49
19,6,17.67,,75.0,,7.57,Big East,Syracuse,6.20,10.10,63.5,,26,11.47
20,7,17.55,,72.7,,11.21,Big Ten,Ohio State,6.55,6.34,61.7,,23,11.00
21,14,17.00,,75.4,,6.68,ACC,North Carolina,11.80,10.32,70.2,,22,5.19
22,10,16.93,,74.6,,9.04,Big East,Connecticut,7.58,7.88,65.3,,25,9.34
23,10,16.87,,73.7,,8.05,Big Ten,Purdue,9.56,8.81,66.1,,24,7.62
24,14,16.67,,59.9,,19.95,Big Ten,Wisconsin,12.50,-3.28,55.8,,22,4.17
25,9,16.38,,77.7,,5.33,WCC,Gonzaga,4.64,11.05,66.0,,26,11.69
26,12,15.29,,75.5,,6.00,Pac-10,UCLA,10.11,9.29,70.3,,21,5.18
27,12,14.93,,73.2,,8.15,CUSA (American),Louisville,8.76,6.78,66.2,,19,7.00
28,8,14.74,,75.6,,6.53,Pac-10,Oregon,8.53,8.21,68.2,,22,7.40
29,12,14.67,,72.3,,9.33,CUSA (American),DePaul,7.82,5.34,64.3,,21,8.00
30,8,14.26,,73.7,,7.17,Big East,St. John's (NY),6.96,7.09,66.4,,25,7.30
31,14,14.20,,69.8,,10.40,ACC,Wake Forest,8.95,3.80,64.5,,22,5.25
32,14,14.17,,78.1,,2.23,Pac-10,Southern California,8.77,11.94,72.7,,16,5.40
33,10,13.59,,71.3,,9.36,SEC (West),Auburn,8.20,4.23,64.4,,24,6.91
34,9,13.11,,73.0,,7.77,WCC,Pepperdine,3.34,5.34,63.2,,25,9.76
35,14,12.96,,69.0,,11.49,ACC,NC State,7.49,1.47,63.6,,20,5.47
36,11,12.64,,74.8,,4.40,SEC (East),Vanderbilt,7.54,8.25,69.7,,19,5.10
37,13,12.55,,74.3,,4.06,Big 12,Missouri,8.22,8.49,69.9,,18,4.32
38,15,12.37,,74.4,,3.82,SEC (West),Arkansas,7.76,8.56,69.8,,19,4.62
39,12,12.29,,81.5,,-2.65,ACC,Virginia,6.22,14.94,75.4,,19,6.06
40,8,12.23,,68.0,,13.77,MW Coll,Butler,0.01,-1.53,55.7,,23,12.23
41,9,12.23,,70.4,,9.62,MWC,Utah,4.36,2.61,61.8,,23,8.53
42,13,12.11,,79.3,,-1.07,Pac-10,Arizona State,8.75,13.18,74.8,,19,4.50
43,11,11.83,,69.0,,9.82,Big East,Miami (FL),5.39,2.01,62.6,,23,6.44
44,16,10.98,,68.1,,7.82,CUSA (American),Charlotte,8.59,3.16,65.7,,17,2.39
45,8,10.87,,75.7,,6.42,MAC (East),Kent State,2.21,4.45,65.9,,23,9.74
46,10,10.64,,71.7,,5.29,Big East,Seton Hall,5.11,5.35,66.2,,22,5.53
47,16,10.08,,73.5,,1.06,Big Ten,Penn State,8.82,9.02,72.2,,19,1.26
48,17,9.97,,68.4,,7.78,SEC (East),South Carolina,8.78,2.19,67.3,,15,1.19
49,9,9.95,,71.4,,6.21,A-10 (West),Dayton,3.46,3.74,64.9,,22,6.48
50,8,9.74,,82.2,,-3.74,MWC,Nevada-Las Vegas,2.52,13.48,75.0,,23,7.23
51,15,9.65,,72.0,,3.82,Pac-10,California,8.62,5.83,70.9,,18,1.03
52,15,9.57,,71.2,,5.08,Big East,Notre Dame,6.38,4.49,68.1,,22,3.19
53,11,9.54,,70.5,,8.88,MWC,Brigham Young,3.54,0.66,63.8,,22,6.70
54,10,9.45,,68.9,,7.46,A-10 (East),St. Bonaventure,5.29,1.99,64.7,,21,4.16
55,12,9.36,,75.2,,1.32,A-10 (West),Xavier,3.42,8.04,69.2,,21,5.94
56,10,9.17,,82.3,,-5.03,WAC,Fresno State,3.58,14.20,76.7,,24,5.59
57,16,9.00,,68.8,,4.17,Big Ten,Iowa,11.83,4.83,71.6,,14,-2.83
58,14,8.99,,64.4,,9.99,CUSA (American),Saint Louis,8.39,-1.00,63.8,,19,0.61
59,6,8.83,,70.5,,8.89,Big West (East),Utah State,1.89,-0.07,61.2,,28,9.32
60,6,8.81,,81.2,,-0.30,Big West (West),Long Beach State,-0.87,9.11,68.7,,24,12.50
61,14,8.70,,77.2,,-0.64,CUSA (National),South Florida,3.92,9.33,72.5,,17,4.71
62,14,8.58,,75.2,,1.15,Big 12,Colorado,6.32,7.43,71.8,,18,3.38
63,10,8.28,,73.0,,2.72,MVC,Creighton,1.64,5.56,66.4,,23,6.64
64,12,8.24,,70.2,,7.48,MWC,Colorado State,3.48,0.76,64.1,,18,6.03
65,14,7.96,,72.6,,4.16,MWC,New Mexico,4.18,3.80,68.3,,18,4.31
66,14,7.86,,71.4,,3.76,SEC (West),Mississippi,6.52,4.10,68.8,,19,2.55
67,9,7.84,,74.2,,2.21,MAC (West),Ball State,3.17,5.63,69.0,,22,5.23
68,16,7.83,,68.6,,8.17,A-10 (East),Massachusetts,5.04,-0.35,64.8,,17,3.82
69,9,7.70,,77.3,,0.85,WAC,Southern Methodist,1.39,6.86,69.8,,21,7.47
70,13,7.62,,69.9,,3.08,Big East,Villanova,6.74,4.53,69.1,,20,0.88
71,13,7.53,,71.1,,2.30,MVC,Southern Illinois,4.29,5.23,67.8,,20,3.24
72,11,7.52,,66.4,,9.30,MVC,Missouri State,4.08,-1.79,62.9,,23,3.44
73,13,7.50,,72.3,,4.60,MAC (East),Ohio,3.53,2.90,68.3,,20,3.97
74,16,7.44,,72.2,,0.84,SEC (West),Alabama,7.62,6.60,72.4,,13,-0.17
75,9,7.30,,70.7,,6.80,WCC,San Diego,0.45,0.51,62.6,,20,8.07
76,14,7.21,,62.8,,11.17,CUSA (American),Marquette,6.83,-3.96,62.4,,15,0.38
77,16,7.12,,72.3,,1.58,SEC (West),Mississippi State,5.29,5.54,70.4,,14,1.83
78,12,6.88,,82.8,,-6.27,MWC,Wyoming,2.84,13.14,77.5,,19,5.35
79,16,6.77,,70.2,,1.46,Big Ten,Minnesota,9.62,5.31,73.0,,12,-2.86
80,16,6.70,,69.1,,5.15,Pac-10,Oregon State,8.74,1.55,69.5,,13,-0.38
81,15,6.63,,69.7,,5.74,Big East,Georgetown,5.78,0.89,68.2,,19,1.50
82,16,6.62,,70.2,,4.01,Big East,Rutgers,4.40,2.62,67.9,,15,2.23
83,10,6.54,,66.8,,8.63,MVC,Indiana State,3.23,-2.09,63.4,,22,3.31
84,16,6.37,,73.2,,1.60,CUSA (National),Memphis,5.64,4.78,71.9,,15,1.29
85,10,6.25,,70.8,,5.88,Big West (East),New Mexico State,2.00,0.37,65.5,,22,5.28
86,17,6.23,,70.6,,3.32,ACC,Georgia Tech,7.00,2.91,71.4,,13,-0.77
87,9,6.22,,71.6,,3.39,WCC,San Francisco,0.67,2.83,64.7,,19,6.89
88,15,5.95,,77.1,,-1.57,WAC,UTEP,3.23,7.52,74.4,,13,2.71
89,14,5.91,,87.9,,-13.30,WAC,TCU,2.81,19.20,84.1,,18,3.81
90,11,5.79,,67.8,,6.56,CUSA (National),Tulane,3.54,-0.76,65.5,,20,2.26
