,losses,srs,off_rtg,pts_per_g,net_rtg,srs_def,conf_abbr,school_name,sos,srs_off,opp_pts_per_g,def_rtg,wins,mov
0,1,28.72,120.88,74.4,43.93,17.18,SEC,Kentucky,8.67,11.55,54.3,76.96,38,20.05
1,4,24.97,126.08,79.3,38.52,7.69,ACC,Duke,9.87,17.28,64.2,87.56,35,15.10
2,4,24.61,128.27,72.5,39.32,14.08,Big Ten,Wisconsin,10.29,10.53,58.2,88.95,36,14.33
3,4,24.33,119.26,76.6,36.51,11.09,Pac-12,Arizona,7.41,13.24,59.7,82.75,34,16.92
4,3,23.13,121.09,76.5,35.39,10.26,Big East,Villanova,7.55,12.87,60.9,85.70,33,15.58
5,4,21.73,116.26,65.4,36.09,19.60,ACC,Virginia,7.81,2.12,51.5,80.17,30,13.91
6,3,21.12,120.54,78.7,32.10,8.04,WCC,Gonzaga,5.12,13.08,61.7,88.44,35,17.00
7,9,20.98,117.26,71.3,32.66,14.89,Pac-12,Utah,7.42,6.09,57.1,84.60,26,14.20
8,12,20.63,118.88,77.7,30.51,3.54,ACC,North Carolina,11.76,17.10,68.8,88.37,26,8.87
9,11,19.68,117.43,75.3,28.98,7.76,Big Ten,Ohio State,7.37,11.93,63.0,88.45,24,12.31
10,6,19.23,125.66,78.0,29.58,4.24,ACC,Notre Dame,7.02,14.99,65.8,96.07,32,12.21
11,11,18.65,111.92,71.5,28.08,9.23,Big 12,Oklahoma,9.94,9.42,62.7,83.84,24,8.71
12,9,18.47,115.49,71.1,28.19,7.34,Big 12,Kansas,12.13,11.13,64.8,87.31,27,6.33
13,9,18.12,110.57,69.0,27.28,11.73,ACC,Louisville,8.98,6.40,59.8,83.29,27,9.14
14,9,17.94,118.66,77.8,26.88,2.10,Big 12,Iowa State,9.15,15.84,69.0,91.79,25,8.79
15,10,17.85,115.65,69.1,27.71,11.39,Big 12,Baylor,9.33,6.46,60.2,87.94,24,8.85
16,12,17.46,115.91,71.1,27.09,7.92,Big Ten,Michigan State,10.00,9.54,63.6,88.82,27,7.46
17,11,16.64,109.88,69.0,25.56,11.58,Big East,Butler,8.62,5.06,61.0,84.32,23,8.03
18,14,16.16,111.91,67.4,25.11,10.83,Big 12,Texas,9.07,5.33,60.3,86.80,20,7.09
19,12,15.83,113.19,69.8,24.16,8.81,Big Ten,Iowa,8.39,7.02,62.3,89.04,22,7.44
20,5,15.56,113.70,70.3,25.43,9.99,MVC,Wichita State,3.68,5.57,57.4,88.27,30,12.91
