,losses,srs,off_rtg,pts_per_g,net_rtg,srs_def,conf_abbr,school_name,sos,srs_off,opp_pts_per_g,def_rtg,wins,mov
0,3,23.97,,93.4,,3.76,SEC (West),Arkansas,7.64,20.21,75.6,,31,17.85
1,6,23.76,,89.3,,3.98,Pac-10,Arizona,8.90,19.78,74.4,,29,14.86
2,7,22.62,,85.6,,5.74,ACC,North Carolina,9.39,16.88,72.4,,28,13.23
3,5,22.58,,84.9,,8.96,Big East,Connecticut,6.26,13.63,68.6,,29,16.32
4,7,21.73,,86.8,,6.16,SEC (East),Kentucky,9.47,15.58,74.6,,27,12.21
5,5,21.38,,84.4,,7.12,Big Ten,Purdue,10.00,14.26,73.1,,29,11.38
6,8,20.70,,80.5,,10.74,Big 8,Kansas,8.61,9.96,68.3,,27,12.14
7,6,19.29,,77.6,,10.44,ACC,Duke,9.00,8.85,67.3,,28,10.29
8,10,19.24,,79.3,,7.97,Big East,Providence,9.91,11.27,70.0,,20,9.33
9,11,19.11,,84.0,,6.14,Big Ten,Illinois,9.90,12.98,74.8,,17,9.21
10,13,19.06,,74.3,,10.43,Big Ten,Minnesota,10.27,8.63,66.1,,22,8.29
11,6,18.77,,80.2,,9.04,Metro,Louisville,7.41,9.72,68.8,,28,11.41
12,8,18.46,,79.8,,8.83,Big Ten,Michigan,12.15,9.63,73.5,,24,6.31
13,7,17.80,,83.9,,2.76,Big East,Syracuse,8.83,15.03,74.9,,23,8.97
14,10,17.65,,80.5,,10.33,Big 8,Oklahoma State,8.37,7.32,68.8,,24,11.74
15,12,17.39,,73.0,,15.18,Big East,Georgetown,12.05,2.21,65.7,,19,7.35
16,8,17.28,,63.8,,22.99,A-10,Temple,8.24,-5.71,54.7,,23,9.03
17,11,16.78,,78.2,,9.14,Big East,Boston College,9.81,7.64,70.0,,23,8.15
18,7,16.69,,76.4,,11.62,A-10,Massachusetts,6.21,5.08,65.9,,28,10.49
19,7,16.31,,86.1,,2.16,Pac-10,UCLA,6.77,14.15,76.5,,21,9.54
20,8,16.19,,75.1,,12.16,SEC (East),Florida,9.08,4.02,67.9,,29,7.11
21,9,16.04,,80.9,,4.11,Big Ten,Indiana,12.18,11.93,77.1,,21,3.87
22,12,15.77,,75.8,,10.67,Big Ten,Michigan State,10.80,5.10,70.8,,20,4.97
23,4,15.68,,81.0,,6.20,Big 8,Missouri,8.29,9.47,73.8,,28,7.25
24,9,15.63,,69.6,,17.10,GMWC,Marquette,8.01,-1.47,61.8,,24,7.82
25,11,15.34,,77.9,,7.79,Big Ten,Wisconsin,9.93,7.55,72.4,,18,5.52
26,10,15.31,,77.7,,7.61,GMWC,Cincinnati,6.18,7.70,68.5,,22,9.13
27,8,15.11,,91.7,,-1.76,SWC,Texas,2.94,16.87,79.6,,26,12.12
28,8,14.69,,71.4,,15.98,GMWC,UAB,3.49,-1.29,60.2,,22,11.20
29,8,14.29,,78.6,,6.09,Pac-10,California,7.19,8.20,71.5,,22,7.10
30,12,14.13,,80.0,,4.06,ACC,Maryland,7.40,10.07,73.2,,18,6.73
31,13,13.99,,85.1,,3.38,Big 8,Iowa State,6.15,10.61,76.1,,14,9.00
32,12,13.92,,71.3,,13.04,ACC,Wake Forest,7.89,0.87,65.5,,21,5.79
33,11,13.77,,76.0,,8.84,Pac-10,Washington State,7.66,4.93,69.0,,20,7.00
34,13,13.59,,68.6,,13.94,Big East,Seton Hall,10.69,-0.35,65.7,,17,2.90
35,10,13.56,,87.3,,-1.58,Big 8,Nebraska,6.86,15.14,80.6,,20,6.70
36,12,13.50,,78.8,,5.42,SEC (East),Vanderbilt,8.25,8.07,73.5,,20,5.25
37,14,12.80,,78.0,,3.46,Big East,Pittsburgh,9.88,9.35,75.1,,13,2.93
38,12,12.80,,74.5,,6.64,Big East,Villanova,11.20,6.16,72.6,,20,1.84
39,6,12.75,,80.6,,4.57,GMWC,Saint Louis,3.14,8.18,70.2,,23,10.41
40,16,11.53,,83.5,,-1.49,Big Ten,Iowa,9.79,13.02,81.7,,11,1.74
41,13,11.52,,75.9,,4.86,ACC,Georgia Tech,9.10,6.65,73.4,,16,2.41
42,8,11.50,,80.8,,3.60,MAC,Ohio,0.21,7.90,69.2,,25,11.70
43,16,11.21,,76.7,,5.29,Big Ten,Ohio State,11.74,5.92,75.9,,13,0.76
44,12,11.11,,78.4,,3.59,GMWC,DePaul,5.86,7.52,73.1,,16,5.25
45,11,11.07,,78.9,,4.83,Metro,Tulane,2.28,6.24,70.1,,18,8.79
46,8,10.93,,83.4,,2.11,MVC,Tulsa,2.50,8.82,73.2,,23,10.26
47,14,10.83,,75.0,,7.68,Big Ten,Northwestern,9.01,3.16,71.4,,15,3.52
48,11,10.79,,74.7,,5.84,Pac-10,Stanford,7.71,4.94,71.5,,17,3.14
49,11,10.77,,75.3,,8.91,SEC (West),Mississippi State,7.48,1.85,71.0,,18,4.34
50,16,10.53,,79.9,,2.87,SEC (East),Georgia,7.53,7.66,76.9,,14,3.00
51,10,10.28,,73.6,,9.75,SEC (West),Alabama,6.15,0.53,69.5,,20,4.13
52,10,9.88,,72.4,,9.66,Metro,Virginia Tech,3.52,0.21,66.1,,18,6.36
53,13,9.64,,64.1,,15.13,ACC,Virginia,11.26,-5.48,65.7,,18,-1.61
54,13,9.62,,87.4,,-5.88,Big 8,Oklahoma,9.01,15.50,86.8,,15,0.61
55,13,9.61,,77.1,,3.99,Pac-10,Arizona State,7.86,5.62,75.3,,15,1.75
56,8,9.50,,77.7,,6.21,WAC,New Mexico,0.88,3.29,67.5,,23,10.26
57,7,9.47,,66.4,,18.95,Mid-Cont,Green Bay,-1.89,-9.48,55.1,,27,11.35
58,14,9.44,,77.0,,2.82,ACC,Florida State,7.29,6.62,74.8,,13,2.15
59,17,9.42,,73.3,,5.57,Big East,St. John's (NY),8.48,3.85,72.4,,12,0.93
60,8,9.34,,79.7,,3.73,MW Coll,Xavier,0.85,5.61,69.9,,22,9.80
61,16,9.21,,75.2,,5.19,ACC,Clemson,6.86,4.03,72.9,,18,2.35
62,12,9.17,,69.3,,9.70,A-10,George Washington,6.27,-0.53,66.4,,18,2.90
63,11,9.16,,72.5,,12.85,WCC,Pepperdine,2.56,-3.68,64.5,,19,8.00
64,12,9.09,,77.9,,1.46,A-10,West Virginia,5.05,7.63,73.9,,17,4.03
65,15,8.77,,76.9,,3.10,Metro,Southern Mississippi,5.70,5.67,73.8,,15,3.07
66,14,8.57,,70.8,,10.58,Big 8,Kansas State,6.51,-2.01,68.7,,20,2.06
67,13,8.18,,69.6,,9.16,Metro,Charlotte,5.90,-0.99,67.4,,16,2.14
68,11,8.07,,77.5,,5.05,Sun Belt,Western Kentucky,1.67,3.02,70.0,,20,7.48
69,17,8.05,,81.7,,-1.45,SEC (West),Auburn,7.27,9.51,80.9,,11,0.79
70,8,7.80,,81.6,,2.36,WCC,Gonzaga,0.05,5.44,71.4,,22,10.27
71,14,7.77,,70.9,,8.27,Big Ten,Penn State,8.03,-0.49,71.1,,13,-0.26
72,10,7.59,,79.4,,2.02,WAC,Brigham Young,3.46,5.58,74.4,,22,4.94
73,16,7.30,,80.0,,-0.69,SEC (West),Louisiana State,8.56,8.00,81.3,,11,-1.26
74,13,7.12,,77.9,,1.02,Metro,Virginia Commonwealth,5.90,6.11,76.7,,14,1.22
75,7,7.09,,79.0,,1.68,MVC,Southern Illinois,0.37,5.41,70.9,,23,8.17
76,10,6.63,,83.7,,-0.92,CAA,Old Dominion,-2.63,7.55,74.5,,21,9.26
77,8,6.55,,80.3,,1.28,MAAC,Siena,-2.05,5.28,71.7,,25,8.61
78,8,6.24,,80.6,,2.64,Big West,New Mexico State,-0.63,3.59,71.4,,23,9.23
79,11,6.05,,88.9,,-9.39,WCC,San Francisco,1.24,15.44,82.8,,17,6.07
80,11,6.03,,76.4,,3.75,MAC,Miami (OH),0.55,2.28,69.7,,19,6.63
81,3,5.93,,76.4,,4.52,Ivy,Pennsylvania,-5.15,1.40,64.3,,25,12.14
82,11,5.89,,76.6,,6.07,MW Coll,Evansville,-1.55,-0.18,67.4,,21,9.16
83,13,5.70,,72.0,,3.62,A-10,Duquesne,5.70,2.08,72.0,,17,0.00
84,16,5.49,,72.1,,4.79,GMWC,Memphis,5.93,0.69,72.6,,13,-0.45
