,losses,srs,off_rtg,pts_per_g,net_rtg,srs_def,conf_abbr,school_name,sos,srs_off,opp_pts_per_g,def_rtg,wins,mov
0,7,26.41,,85.7,,5.85,ACC,North Carolina,9.30,20.55,68.6,,31,17.11
1,5,23.82,,79.8,,10.15,SEC (East),Florida,7.34,13.68,62.6,,35,17.23
2,5,22.62,,78.4,,10.11,Big 12,Kansas,6.86,12.51,61.7,,33,16.68
3,4,21.54,,74.5,,10.56,Big Ten,Ohio State,9.03,10.98,62.0,,35,12.51
4,7,21.27,,75.6,,11.94,Big 12,Texas A&M,5.13,9.34,59.4,,27,16.15
5,6,20.90,,71.4,,14.66,Pac-10,UCLA,9.84,6.24,59.9,,30,11.44
6,4,19.72,,78.9,,8.11,CUSA,Memphis,3.91,11.61,63.1,,33,15.81
7,7,19.62,,69.1,,14.54,Big East,Georgetown,9.48,5.08,58.0,,30,11.05
8,6,19.28,,70.2,,12.60,Big Ten,Wisconsin,6.95,6.68,57.9,,30,12.33
9,9,19.06,,79.0,,5.48,ACC,Maryland,7.59,13.58,67.5,,25,11.47
10,11,18.85,,70.4,,12.98,ACC,Duke,10.49,5.87,62.0,,22,8.36
11,12,17.17,,78.6,,4.80,ACC,Georgia Tech,9.36,12.37,69.4,,20,9.16
12,12,17.12,,73.4,,7.29,SEC (East),Kentucky,11.41,9.83,67.7,,22,5.71
13,8,16.99,,71.3,,10.25,Big East,Pittsburgh,8.53,6.74,62.8,,29,8.46
14,8,16.94,,81.0,,1.22,Big East,Notre Dame,4.97,15.72,68.0,,24,13.00
15,11,16.78,,70.2,,8.78,Big Ten,Indiana,8.35,8.00,61.8,,21,8.44
16,12,16.30,,65.0,,15.30,Big Ten,Michigan State,8.45,1.00,57.2,,23,7.86
17,11,16.24,,78.0,,1.55,Pac-10,Arizona,10.76,14.69,72.5,,20,5.48
18,11,16.13,,72.5,,8.73,Big East,Villanova,9.16,7.41,64.6,,22,7.88
19,10,16.08,,71.6,,10.11,Big East,Louisville,7.69,5.98,63.1,,24,8.50
20,8,15.95,,75.9,,5.11,Pac-10,Oregon,6.30,10.84,66.2,,29,9.65
21,10,15.60,,81.7,,0.77,Big 12,Texas,6.12,14.84,72.2,,25,9.49
22,11,15.35,,73.2,,8.18,ACC,Clemson,7.82,7.17,65.7,,25,7.53
23,14,15.31,,76.9,,4.38,SEC (West),Mississippi State,6.91,10.93,68.5,,21,8.40
24,9,15.19,,69.0,,15.09,MWC,Air Force,3.34,0.11,56.0,,26,12.97
25,11,14.97,,80.9,,-0.80,SEC (East),Tennessee,9.15,15.77,75.1,,24,5.83
26,12,14.65,,69.9,,8.65,Big Ten,Purdue,8.89,6.00,63.4,,22,6.53
27,9,14.43,,72.5,,8.29,Big East,West Virginia,5.43,6.14,62.4,,27,10.14
28,12,14.35,,71.4,,9.66,ACC,Virginia Tech,8.26,4.69,64.1,,22,7.26
29,7,14.34,,67.6,,12.90,Horizon,Butler,3.94,1.44,57.1,,29,10.50
