,losses,srs,off_rtg,pts_per_g,net_rtg,srs_def,conf_abbr,school_name,sos,srs_off,opp_pts_per_g,def_rtg,wins,mov
0,7,24.92,121.44,78.6,36.69,8.07,Big Ten,Indiana,8.39,16.85,62.1,84.75,29,16.53
1,5,24.82,117.29,74.5,37.52,12.04,Big East,Louisville,9.14,12.78,58.8,79.77,35,15.68
2,8,23.88,118.49,71.4,37.67,15.96,SEC,Florida,6.85,7.92,54.4,80.82,29,17.03
3,6,21.46,119.24,77.2,32.50,7.26,ACC,Duke,9.57,14.20,65.3,86.74,30,11.89
4,8,21.29,122.50,75.2,33.11,7.82,Big Ten,Michigan,10.05,13.47,63.3,89.39,31,11.92
5,6,20.79,113.80,75.2,30.81,9.12,Big 12,Kansas,7.55,11.67,61.9,82.99,31,13.24
6,3,20.44,118.57,77.0,31.26,9.10,WCC,Gonzaga,4.14,11.34,59.9,87.31,32,17.17
7,10,20.30,112.54,70.4,29.86,12.18,Big East,Syracuse,8.57,8.12,58.7,82.69,30,11.73
8,8,20.19,115.52,70.2,30.72,10.99,Big Ten,Ohio State,9.33,9.21,59.4,84.80,29,10.86
9,9,18.84,117.35,69.2,30.93,14.16,Big East,Pittsburgh,5.66,4.68,56.0,86.43,24,13.18
10,12,18.76,110.03,65.0,29.18,15.60,Big Ten,Wisconsin,9.73,3.16,55.9,80.85,23,9.03
11,9,18.63,112.13,68.0,28.61,12.86,Big Ten,Michigan State,10.55,5.78,59.1,83.52,27,8.86
12,8,17.31,114.47,73.4,26.17,7.07,Pac-12,Arizona,7.48,10.25,63.6,88.30,27,9.83
13,7,16.98,113.26,69.7,26.22,11.71,ACC,Miami (FL),7.87,5.28,60.6,87.04,29,9.11
14,9,16.97,113.69,76.9,24.60,5.46,A-10,Virginia Commonwealth,4.55,11.51,64.5,89.09,27,12.42
15,13,16.84,112.97,68.7,25.56,9.29,Big Ten,Minnesota,10.31,7.55,62.2,87.42,21,6.53
16,8,16.43,117.88,74.4,25.46,6.17,MVC,Creighton,5.15,10.26,63.2,92.42,28,11.28
17,7,15.86,107.33,64.7,24.86,14.43,Big East,Georgetown,7.61,1.43,56.4,82.47,25,8.25
18,9,15.57,108.65,71.8,23.45,7.97,Big 12,Oklahoma State,6.72,7.60,63.0,85.20,24,8.85
19,11,15.42,114.37,76.1,23.29,3.78,SEC,Missouri,6.01,11.65,66.7,91.07,23,9.41
20,14,15.07,113.97,76.0,22.46,3.75,Big 12,Baylor,7.12,11.32,66.4,91.51,23,9.59
21,9,14.68,109.88,69.7,22.66,9.22,MVC,Wichita State,6.09,5.46,61.2,87.22,30,8.59
22,11,14.57,111.01,76.7,20.96,1.72,ACC,North Carolina,8.06,12.85,69.2,90.05,25,7.50
23,12,14.50,116.63,79.4,21.64,-0.89,Big 12,Iowa State,6.13,15.40,71.0,95.00,23,8.37
24,12,14.47,105.36,66.5,20.55,10.64,Big East,Cincinnati,6.94,3.83,59.0,84.81,22,7.53
25,7,14.46,116.41,74.6,22.53,5.71,WCC,Saint Mary's (CA),3.26,8.75,62.9,93.89,28,11.63
26,9,14.44,110.18,77.2,20.61,1.48,SEC,Mississippi,4.17,12.96,66.9,89.58,27,10.28
27,7,14.35,107.91,68.2,22.86,10.87,A-10,Saint Louis,4.29,3.48,58.2,85.05,28,10.06
28,11,14.34,116.57,77.4,21.34,0.73,ACC,NC State,7.19,13.60,70.2,95.23,24,7.14
29,13,14.22,109.00,70.1,21.86,6.20,Big Ten,Iowa,6.93,8.03,62.8,87.14,25,7.29
30,9,14.05,112.62,68.1,21.77,6.75,Big East,Marquette,8.59,7.30,62.6,90.85,26,5.46
31,12,13.96,110.92,72.6,19.71,4.80,SEC,Kentucky,5.81,9.16,64.5,91.21,21,8.15
32,9,13.78,106.75,71.6,20.88,5.52,Pac-12,Oregon,5.73,8.26,63.6,85.86,28,8.05
33,10,13.76,115.09,70.0,21.53,7.06,Big East,Notre Dame,7.24,6.69,63.5,93.56,25,6.51
34,9,13.60,116.27,72.9,21.66,4.58,MWC,Colorado State,5.84,9.02,63.7,94.62,26,9.26
35,8,13.54,112.34,69.0,20.87,9.36,Big 12,Kansas State,6.54,4.18,60.4,91.47,27,8.54
36,6,13.24,108.25,67.3,20.85,8.66,MWC,New Mexico,6.59,4.58,60.6,87.41,29,6.66
37,13,13.18,110.61,68.5,20.19,6.33,Big Ten,Illinois,10.04,6.85,64.8,90.42,23,3.69
38,11,12.95,107.56,69.3,20.17,8.04,MWC,San Diego State,6.14,4.91,61.1,87.39,23,8.21
39,12,12.91,107.72,64.2,20.80,13.55,ACC,Virginia,4.25,-0.64,55.6,86.92,23,8.66
40,10,12.82,111.29,74.4,19.10,0.98,Pac-12,UCLA,7.77,11.84,69.3,92.19,25,5.06
41,10,12.81,105.00,71.4,19.11,6.00,MWC,Nevada-Las Vegas,5.60,6.81,63.0,85.89,25,8.34
42,5,12.28,106.15,74.5,18.31,4.58,CUSA,Memphis,2.73,7.70,64.9,87.84,31,9.56
43,12,11.91,106.20,67.6,17.97,7.62,Pac-12,Colorado,7.91,4.30,63.6,88.23,21,4.00
44,10,11.89,109.64,69.9,18.46,4.37,Big East,Connecticut,7.42,7.52,65.4,91.19,20,4.47
45,12,11.40,109.25,70.6,17.01,4.12,Big 12,Oklahoma,7.08,7.27,66.3,92.24,20,4.31
46,13,11.39,106.68,70.7,17.48,5.78,ACC,Maryland,4.68,5.62,64.0,89.20,25,6.71
47,15,11.36,108.33,70.5,17.49,4.19,Pac-12,Stanford,7.33,7.17,66.5,90.84,19,4.03
48,6,11.18,106.88,70.7,17.43,8.35,Sun Belt (East),Middle Tennessee,-1.50,2.82,58.1,89.45,28,12.68
49,9,11.01,109.06,69.3,17.52,6.68,A-10,Butler,6.09,4.32,63.9,91.54,27,5.44
50,14,10.75,105.42,67.9,16.69,4.77,Big East,Villanova,8.54,5.98,65.1,88.73,20,2.74
51,12,10.63,108.28,77.1,15.70,-0.23,WCC,Brigham Young,3.72,10.86,69.5,92.57,24,7.64
52,12,10.59,106.66,67.2,16.56,6.17,Pac-12,California,7.71,4.43,64.3,90.10,21,2.88
53,7,10.41,109.86,76.8,16.06,3.04,OVC (East),Belmont,-0.92,7.37,64.5,93.80,26,12.24
54,10,10.15,110.53,72.1,15.76,3.37,A-10,La Salle,4.47,6.78,66.4,94.77,24,5.68
55,13,9.83,107.28,73.7,14.24,-0.48,SEC,Arkansas,4.99,10.31,68.8,93.04,19,4.84
56,13,9.82,103.42,63.0,15.70,11.58,SEC,Alabama,5.96,-1.77,58.4,87.72,23,4.61
57,15,9.61,109.06,74.5,14.68,-0.57,MVC,Illinois State,3.70,10.18,68.6,94.38,18,5.91
58,10,9.54,109.62,72.2,14.81,2.76,A-10,Temple,5.21,6.78,67.9,94.81,24,4.32
59,11,9.38,111.25,73.2,14.95,2.48,MWC,Boise State,5.21,6.90,65.5,96.30,21,7.75
60,14,9.37,110.94,71.8,14.90,2.02,A-10,Dayton,4.28,7.35,66.7,96.04,17,5.10
61,15,9.30,107.17,67.6,14.90,4.65,Big East,Providence,6.56,4.65,64.9,92.27,19,2.74
62,10,9.18,108.82,64.9,16.35,11.92,WAC,Denver,0.24,-2.74,55.9,92.46,22,8.94
63,18,9.04,104.69,66.2,14.52,4.36,Big Ten,Purdue,7.87,4.68,65.1,90.17,16,1.18
64,13,9.04,107.91,66.3,14.27,5.62,SEC,Tennessee,6.07,3.42,63.4,93.65,20,2.97
65,10,8.95,108.57,73.9,14.26,4.07,CUSA,Southern Mississippi,1.49,4.88,63.5,94.31,27,10.41
66,13,8.82,106.43,71.8,13.37,3.05,Pac-12,Arizona State,4.57,5.77,67.5,93.06,22,4.26
