,losses,srs,off_rtg,pts_per_g,net_rtg,srs_def,conf_abbr,school_name,sos,srs_off,opp_pts_per_g,def_rtg,wins,mov
0,4,29.55,,85.6,,11.12,ACC,Duke,9.32,18.44,64.1,,32,21.50
1,4,26.67,,81.9,,9.53,ACC,North Carolina,10.38,17.14,65.6,,34,16.29
2,5,24.56,,90.8,,2.32,Pac-10,Arizona,8.36,22.24,74.6,,30,16.20
3,4,22.95,,80.1,,9.53,SEC (East),Kentucky,9.85,13.42,67.0,,35,13.10
4,4,22.83,,84.6,,7.34,Big 12,Kansas,6.51,15.49,67.4,,35,17.23
5,6,22.29,,97.2,,-3.60,WAC (Pacific),TCU,2.70,25.89,77.9,,27,19.36
6,5,20.67,,76.6,,11.35,Big East (Big East 6),Connecticut,7.89,9.33,63.9,,32,12.78
7,8,20.67,,83.7,,3.66,Big Ten,Purdue,9.23,17.01,72.3,,28,11.44
8,8,19.46,,83.5,,4.34,A-10 (West),Xavier,4.76,15.11,68.8,,22,14.70
9,5,18.95,,80.2,,8.00,Pac-10,Stanford,8.12,10.95,68.3,,30,11.91
10,11,18.79,,78.8,,4.99,ACC,Maryland,12.10,13.80,72.1,,21,6.69
11,9,18.79,,77.4,,8.41,Big Ten,Michigan,9.64,10.38,67.2,,25,10.18
12,8,18.65,,73.4,,11.22,Big Ten,Michigan State,9.25,7.43,64.0,,22,9.40
13,6,17.85,,76.1,,9.92,CUSA (American),Cincinnati,4.97,7.93,63.2,,27,12.88
14,11,17.25,,80.2,,5.17,Big Ten,Iowa,6.05,12.08,67.5,,20,12.74
15,7,17.22,,80.5,,4.84,SEC (West),Mississippi,7.07,12.39,68.1,,22,12.41
16,14,17.17,,72.2,,10.77,ACC,Clemson,10.33,6.40,65.3,,18,6.84
17,4,17.08,,70.0,,14.35,WAC (Mountain),Utah,4.90,2.74,57.6,,30,12.41
18,9,16.24,,80.2,,4.22,Big East (Big East 6),West Virginia,6.95,12.02,69.2,,24,11.06
19,9,16.17,,82.3,,1.09,SEC (West),Arkansas,5.79,15.08,72.4,,24,9.91
20,10,15.21,,69.7,,11.78,Big Ten,Illinois,8.97,3.44,63.5,,23,6.24
21,8,14.98,,75.7,,7.74,WAC (Mountain),New Mexico,5.17,7.24,65.9,,24,9.81
22,7,14.30,,78.9,,7.65,Big 12,Oklahoma State,4.64,6.65,69.2,,22,9.66
23,12,14.18,,76.8,,2.17,Big Ten,Indiana,10.71,12.02,73.3,,20,3.47
24,15,13.11,,75.8,,5.04,SEC (East),Georgia,9.03,8.07,71.7,,20,4.09
25,9,13.03,,83.1,,-3.12,Pac-10,UCLA,10.99,16.14,80.4,,24,2.70
26,14,12.93,,71.5,,7.23,ACC,Florida State,10.78,5.71,69.3,,18,2.16
27,14,12.82,,76.3,,2.76,ACC,Georgia Tech,8.70,10.06,72.2,,19,4.12
28,9,12.57,,77.7,,1.55,A-10 (East),Rhode Island,6.42,11.01,71.6,,25,6.15
29,8,12.51,,71.3,,7.70,SEC (East),South Carolina,8.77,4.81,67.4,,23,3.97
30,9,12.50,,65.7,,14.10,A-10 (East),Temple,7.50,-1.60,60.7,,21,5.00
31,11,12.21,,73.6,,4.40,CUSA (American),Charlotte,6.72,7.81,68.2,,20,5.48
32,11,11.99,,69.7,,9.18,A-10 (East),Massachusetts,7.27,2.82,65.0,,21,4.72
33,15,11.95,,72.3,,6.00,Big Ten,Minnesota,8.32,5.94,68.7,,20,3.63
34,9,11.87,,70.9,,7.98,Big East (Big East 7),Syracuse,7.98,3.89,67.0,,26,3.89
35,13,11.68,,74.8,,3.70,SEC (East),Vanderbilt,7.01,7.98,70.2,,20,4.67
36,2,11.54,,66.5,,14.64,Ivy,Princeton,-3.60,-3.10,51.4,,27,15.07
37,10,11.28,,72.9,,6.00,Big East (Big East 6),St. John's (NY),6.76,5.28,68.2,,22,4.75
38,9,11.22,,77.6,,5.15,WAC (Pacific),Hawaii,4.38,6.06,70.8,,21,6.83
39,9,11.15,,75.9,,3.23,SEC (East),Tennessee,5.91,7.92,70.6,,20,5.24
40,10,10.87,,70.1,,8.98,Big East (Big East 7),Miami (FL),6.37,1.89,65.6,,18,4.50
41,15,10.84,,64.4,,13.81,ACC,NC State,8.53,-2.97,62.1,,17,2.31
42,11,10.55,,65.3,,12.61,CUSA (American),Marquette,5.26,-2.07,60.0,,20,5.29
43,10,10.50,,80.3,,0.84,WCC,Gonzaga,1.72,9.66,69.3,,24,10.94
44,13,10.48,,72.9,,4.18,Big Ten,Penn State,6.42,6.31,68.8,,19,4.16
