,losses,srs,off_rtg,pts_per_g,net_rtg,srs_def,conf_abbr,school_name,sos,srs_off,opp_pts_per_g,def_rtg,wins,mov
0,7,21.89,,75.2,,11.47,Big 12,Texas,6.99,10.42,60.3,,30,14.89
1,4,21.77,,81.1,,5.04,ACC,Duke,8.77,16.73,68.1,,32,13.00
2,4,21.22,,81.8,,4.79,Big East,Connecticut,6.57,16.43,67.1,,30,14.65
3,6,20.21,,78.3,,7.97,SEC (East),Florida,5.49,12.24,63.5,,33,14.72
4,8,20.02,,75.2,,10.95,Big 12,Kansas,7.60,9.07,61.3,,25,13.82
5,5,19.51,,74.2,,8.91,Big East,Villanova,9.23,10.60,63.8,,28,10.36
6,4,18.81,,80.0,,4.89,CUSA,Memphis,4.24,13.92,65.5,,33,14.57
7,8,18.48,,79.4,,3.90,ACC,North Carolina,7.77,14.58,68.6,,23,10.71
8,7,18.08,,82.0,,-0.03,Pac-10,Washington,5.96,18.11,69.9,,26,12.12
9,9,17.54,,73.1,,8.75,SEC (West),Louisiana State,8.77,8.79,63.9,,27,9.28
10,7,17.34,,67.7,,14.15,Pac-10,UCLA,8.27,3.19,58.7,,32,9.08
11,7,17.20,,70.0,,12.59,Big Ten,Illinois,6.29,4.60,58.7,,26,11.33
12,8,16.37,,72.5,,9.61,Big East,Pittsburgh,7.01,6.76,63.1,,25,9.36
13,6,16.08,,73.8,,7.34,Big Ten,Ohio State,5.90,8.75,63.7,,26,10.19
14,13,15.12,,73.7,,4.61,Pac-10,Arizona,10.09,10.51,68.7,,20,5.03
15,10,15.01,,73.7,,7.10,SEC (West),Arkansas,6.17,7.91,64.9,,22,8.84
16,8,14.73,,80.4,,-1.12,SEC (East),Tennessee,7.76,15.85,73.5,,22,6.97
17,11,14.51,,70.7,,8.05,Big East,West Virginia,8.54,6.45,63.4,,22,7.30
18,9,14.18,,66.3,,13.34,Big Ten,Iowa,6.80,0.84,58.9,,25,7.38
19,10,13.98,,66.0,,13.00,Big East,Georgetown,6.92,0.97,58.9,,23,7.06
20,8,13.79,,74.2,,6.27,ACC,Boston College,6.10,7.52,66.2,,28,8.00
21,15,13.30,,67.8,,10.59,SEC (East),South Carolina,8.14,2.72,62.6,,23,5.16
22,9,13.19,,68.7,,10.90,Big 12,Texas A&M,4.77,2.29,60.3,,22,8.42
23,12,13.14,,71.1,,5.37,Big Ten,Wisconsin,7.24,7.77,65.6,,19,5.48
24,13,13.12,,70.8,,6.77,SEC (East),Kentucky,8.88,6.35,66.2,,22,4.60
25,9,12.99,,74.2,,3.53,MVC,Missouri State,5.19,9.46,66.4,,22,7.81
26,13,12.95,,74.4,,2.17,Big East,Cincinnati,8.41,10.79,69.4,,21,5.03
27,10,12.70,,74.5,,5.08,ACC,NC State,5.63,7.62,67.4,,22,7.06
28,10,12.36,,76.7,,2.81,ACC,Florida State,4.86,9.55,69.2,,20,7.50
29,14,12.35,,76.4,,1.49,Big East,Notre Dame,6.68,10.85,70.7,,16,5.67
30,4,12.32,,80.1,,-1.14,WCC,Gonzaga,5.02,13.46,72.8,,29,7.30
31,11,12.31,,68.6,,8.25,Pac-10,California,8.84,4.05,64.5,,20,4.13
32,12,12.24,,74.1,,2.26,Big Ten,Michigan State,7.27,9.98,68.6,,22,5.47
33,11,12.19,,71.7,,3.30,Big Ten,Michigan,7.04,8.90,66.6,,22,5.15
34,8,12.11,,69.4,,10.21,CAA,George Mason,2.77,1.91,60.1,,27,9.34
35,12,12.10,,72.0,,5.21,Big Ten,Indiana,7.36,6.89,67.2,,19,4.74
36,9,11.89,,68.8,,7.47,Big 12,Oklahoma,6.79,4.42,63.7,,20,5.10
37,11,11.78,,71.5,,4.12,MVC,Bradley,5.38,7.66,65.1,,22,6.39
38,12,11.68,,72.4,,3.53,Big East,Syracuse,8.16,8.15,68.9,,23,3.51
39,10,11.55,,65.6,,11.02,MVC,Northern Iowa,5.13,0.53,57.8,,23,7.82
40,9,11.45,,69.2,,7.59,MVC,Wichita State,4.72,3.87,61.9,,26,7.34
41,11,11.33,,75.0,,1.43,Big East,Marquette,8.16,9.90,69.4,,20,5.65
42,13,11.26,,69.9,,7.24,Big East,Louisville,6.50,4.02,64.6,,21,5.29
43,16,11.25,,70.4,,6.83,Big 12,Oklahoma State,6.67,4.42,65.8,,17,4.58
44,10,11.17,,76.8,,-0.26,Big 12,Colorado,4.57,11.43,70.2,,20,6.60
45,13,10.79,,70.3,,4.60,SEC (West),Alabama,8.08,6.19,67.5,,18,2.71
46,13,10.73,,78.3,,-0.39,ACC,Maryland,6.73,11.12,73.5,,19,4.78
47,13,10.63,,70.1,,5.99,SEC (East),Vanderbilt,7.53,4.64,67.0,,17,3.10
48,18,10.41,,69.5,,5.20,Pac-10,Oregon,6.85,5.21,65.3,,15,4.21
49,13,10.30,,74.3,,3.22,ACC,Clemson,4.97,7.07,67.9,,19,6.44
50,7,10.20,,64.2,,14.74,MWC,Air Force,2.49,-4.54,54.7,,24,9.52
51,6,10.16,,72.8,,5.05,WAC,Nevada,2.26,5.11,63.7,,27,9.03
52,10,10.11,,66.1,,8.32,MVC,Creighton,4.88,1.79,60.8,,20,5.23
53,11,10.11,,71.6,,4.38,A-10,Xavier,1.99,5.73,63.4,,21,8.13
54,9,9.81,,74.4,,2.18,MWC,San Diego State,3.65,7.63,67.4,,24,7.06
55,16,9.79,,67.9,,7.57,ACC,Miami (FL),7.00,2.22,65.1,,18,2.79
56,7,9.64,,74.4,,2.16,CUSA,UAB,1.57,7.47,65.6,,24,8.74
