,losses,srs,off_rtg,pts_per_g,net_rtg,srs_def,conf_abbr,school_name,sos,srs_off,opp_pts_per_g,def_rtg,wins,mov
0,6,24.69,120.41,81.0,36.14,11.43,AAC,Louisville,4.80,13.26,61.1,84.26,31,19.89
1,5,23.36,116.38,72.9,35.45,16.05,Pac-12,Arizona,9.04,7.31,58.6,80.93,33,14.32
2,3,20.69,116.20,69.9,31.98,16.30,SEC,Florida,8.54,4.39,57.8,84.22,36,12.15
3,10,20.25,120.51,79.0,29.81,6.91,Big 12,Kansas,11.40,13.34,70.1,90.71,25,8.86
4,8,19.69,122.72,73.5,30.54,10.47,Big Ten,Wisconsin,10.19,9.22,64.0,92.18,30,9.50
5,9,19.51,125.14,78.4,29.73,5.64,ACC,Duke,8.48,13.87,67.4,95.42,26,11.03
6,9,19.35,118.64,75.5,28.66,8.90,Big Ten,Michigan State,9.38,10.45,65.6,89.98,29,9.97
7,13,19.02,117.49,80.2,27.31,5.31,Big 12,Oklahoma State,8.34,13.70,69.6,90.18,21,10.68
8,5,18.97,115.95,78.0,27.98,8.56,Big East,Villanova,7.50,10.41,66.5,87.97,29,11.47
9,13,18.58,119.65,81.5,26.81,2.25,Big Ten,Iowa,7.43,16.33,70.3,92.83,20,11.15
10,8,18.52,119.27,83.0,26.59,1.22,Big 12,Iowa State,9.88,17.30,74.4,92.67,28,8.64
11,9,18.52,124.30,73.9,28.66,9.44,Big Ten,Michigan,9.65,9.08,65.1,95.64,28,8.86
12,9,18.40,118.88,81.2,26.58,4.07,Pac-12,UCLA,7.62,14.33,70.4,92.30,28,10.78
13,7,18.38,112.83,66.2,29.08,17.76,ACC,Virginia,7.86,0.62,55.7,83.75,30,10.51
14,11,18.07,118.23,74.8,26.93,8.57,SEC,Kentucky,9.90,9.50,66.6,91.30,29,8.18
15,8,18.03,124.84,78.7,26.82,5.89,Big East,Creighton,7.17,12.14,67.9,98.02,27,10.86
16,10,17.84,110.75,69.5,27.43,14.47,Big Ten,Ohio State,8.12,3.37,59.8,83.32,25,9.71
17,10,17.46,117.25,71.8,26.60,10.15,ACC,Pittsburgh,7.54,7.31,61.9,90.65,26,9.92
18,13,17.34,118.21,72.2,27.14,11.46,SEC,Tennessee,7.84,5.88,61.7,91.07,24,10.51
19,8,17.23,113.19,71.8,25.53,11.93,AAC,Connecticut,8.63,5.29,63.2,87.67,32,8.60
20,1,16.65,114.47,75.2,25.87,10.59,MVC,Wichita State,1.74,6.06,59.5,88.60,35,15.69
21,6,16.05,115.17,68.0,25.32,13.92,ACC,Syracuse,7.25,2.13,59.2,89.85,28,8.79
22,12,15.80,118.53,74.8,23.72,9.02,Big 12,Baylor,10.11,6.78,67.8,94.81,26,7.00
23,10,15.75,118.34,81.9,22.92,1.06,Pac-12,Oregon,8.05,14.69,74.1,95.42,24,7.71
24,7,15.56,114.10,76.7,23.20,8.96,WCC,Gonzaga,5.36,6.61,65.9,90.90,29,10.81
25,7,15.26,109.34,68.4,22.73,14.55,AAC,Cincinnati,5.28,0.70,58.4,86.61,27,9.97
26,10,15.24,112.29,76.6,22.39,4.63,ACC,North Carolina,8.42,10.62,69.8,89.90,24,6.82
27,5,14.95,108.52,70.3,22.99,14.04,MWC,San Diego State,4.86,0.91,57.0,85.52,31,13.28
28,10,14.91,117.59,81.9,21.50,-0.73,Big 12,Oklahoma,8.97,15.64,76.0,96.09,23,5.94
29,9,14.55,108.13,75.0,21.34,6.57,A-10,Virginia Commonwealth,4.78,7.98,65.2,86.79,26,9.77
30,12,14.34,111.87,80.1,19.84,1.09,SEC,Arkansas,5.57,13.25,71.3,92.03,22,8.76
31,10,13.73,111.43,71.0,21.08,9.67,AAC,Southern Methodist,4.97,4.06,62.2,90.35,27,8.76
32,13,13.42,112.29,72.7,19.95,6.74,Pac-12,Stanford,9.00,6.68,68.3,92.34,23,4.42
33,12,13.32,111.45,75.3,19.68,4.19,Pac-12,Arizona State,7.41,9.13,69.4,91.77,21,5.91
34,10,13.02,111.76,76.9,18.91,4.04,AAC,Memphis,7.14,8.98,70.5,92.85,24,6.38
35,7,12.72,113.23,74.0,19.42,6.10,MWC,New Mexico,4.84,6.62,66.1,93.81,27,7.88
36,11,12.67,110.77,74.2,18.37,5.40,Big 12,Texas,9.15,7.27,70.7,92.41,24,3.51
37,12,12.66,111.07,75.1,18.34,8.61,Pac-12,Utah,6.21,4.06,64.3,92.73,21,10.82
38,14,12.63,111.06,70.9,18.66,6.55,ACC,Florida State,8.13,6.08,66.4,92.40,22,4.50
39,8,12.44,109.27,81.0,17.26,3.30,CUSA,Louisiana Tech,-1.20,9.14,66.5,92.02,29,14.54
40,13,12.14,107.85,69.1,18.61,10.74,Big 12,Kansas State,8.47,1.40,65.4,89.24,20,3.67
41,13,11.84,113.31,71.8,17.83,6.21,Big East,Xavier,8.14,5.63,68.1,95.48,21,3.71
42,16,11.78,115.18,77.2,17.03,1.76,Big 12,West Virginia,8.02,10.02,73.4,98.15,17,3.76
43,13,11.75,113.21,71.4,18.02,5.67,Big Ten,Minnesota,8.34,6.08,67.7,95.19,25,3.71
44,13,11.68,107.93,72.8,17.79,5.86,Big East,St. John's (NY),6.56,5.82,67.7,90.14,20,5.12
