,losses,srs,off_rtg,pts_per_g,net_rtg,srs_def,conf_abbr,school_name,sos,srs_off,opp_pts_per_g,def_rtg,wins,mov
0,5,24.08,122.35,78.0,36.33,14.17,Big East,Villanova,9.71,9.92,63.6,86.03,35,14.38
1,5,23.87,121.72,81.3,34.95,9.59,Big 12,Kansas,11.22,14.28,67.6,86.77,33,13.66
2,7,23.44,123.72,82.8,34.39,6.70,ACC,North Carolina,10.69,16.74,70.0,89.33,33,12.75
3,6,22.59,123.30,79.8,34.24,10.34,Big Ten,Michigan State,6.94,12.25,64.1,89.06,29,15.66
4,8,22.04,122.22,71.0,34.97,17.92,ACC,Virginia,11.12,4.12,60.1,87.24,29,10.92
5,9,21.61,116.24,78.5,30.81,10.73,Big 12,West Virginia,9.78,10.88,66.7,85.43,26,11.83
6,8,21.57,116.29,75.0,32.38,15.39,ACC,Louisville,7.74,6.19,61.1,83.90,23,13.84
7,9,20.23,121.51,79.5,30.32,8.31,SEC,Kentucky,8.84,11.92,68.1,91.18,27,11.39
8,9,20.17,117.20,77.9,30.35,10.16,Big Ten,Purdue,7.46,10.01,65.2,86.85,26,12.71
9,8,19.76,117.93,79.7,28.39,6.85,Big 12,Oklahoma,11.14,12.91,71.1,89.54,29,8.62
10,8,19.59,123.27,82.6,29.39,5.91,Big Ten,Indiana,6.90,13.68,69.9,93.87,27,12.69
11,11,19.23,122.67,81.1,28.27,5.52,ACC,Duke,10.59,13.71,72.5,94.40,25,8.64
12,9,18.79,117.35,80.4,27.51,7.90,Pac-12,Arizona,7.23,10.88,68.9,89.84,25,11.56
13,6,18.58,116.92,80.5,27.18,5.60,Big East,Xavier,8.43,12.97,70.4,89.75,28,10.15
14,8,18.52,119.68,75.2,27.73,9.80,ACC,Miami (FL),10.69,8.72,67.4,91.95,27,7.83
15,9,18.45,114.22,76.4,26.87,10.80,SEC,Texas A&M,8.45,7.66,66.4,87.35,28,10.00
16,5,18.42,121.21,77.3,28.74,10.06,AAC,Southern Methodist,4.56,8.37,63.4,92.47,25,13.87
17,7,18.05,118.31,78.7,26.59,7.91,Pac-12,Oregon,8.64,10.14,68.8,91.71,31,9.89
18,9,17.39,111.86,72.4,26.35,13.39,MVC,Wichita State,4.24,4.00,59.0,85.51,26,13.40
19,14,17.20,114.58,75.9,25.26,9.75,SEC,Vanderbilt,8.68,7.45,67.4,89.32,19,8.52
20,11,17.01,116.29,77.6,25.21,7.21,Big Ten,Iowa,8.71,9.80,69.3,91.08,22,8.30
21,12,16.93,120.73,81.8,24.83,1.24,Big 12,Iowa State,10.16,15.69,75.0,95.90,23,6.77
22,8,16.92,117.39,78.9,25.33,8.84,WCC,Gonzaga,4.23,8.08,65.6,92.06,28,13.33
23,9,16.71,117.32,75.7,25.49,8.76,Big Ten,Maryland,8.31,7.96,66.7,91.83,27,9.03
24,11,16.46,117.84,79.9,23.11,5.18,Big East,Butler,7.55,11.28,71.0,94.72,22,8.91
25,12,16.13,119.52,77.1,24.32,6.50,Big 12,Baylor,9.76,9.63,69.6,95.20,22,7.50
26,11,15.89,112.48,73.1,24.08,11.48,AAC,Connecticut,6.28,4.41,63.5,88.40,25,9.61
27,9,15.50,116.79,77.2,22.55,7.69,Pac-12,Utah,8.79,7.81,69.5,94.23,27,7.67
28,12,15.47,115.81,75.0,23.28,9.15,ACC,Pittsburgh,8.75,6.32,67.3,92.54,21,7.76
