,losses,srs,off_rtg,pts_per_g,net_rtg,srs_def,conf_abbr,school_name,sos,srs_off,opp_pts_per_g,def_rtg,wins,mov
0,8,25.00,,82.7,,8.94,Big 12,Kansas,10.53,16.06,66.9,,30,15.79
1,4,23.42,,85.2,,5.22,Pac-10,Arizona,8.95,18.20,70.7,,28,14.47
2,4,22.47,,77.3,,10.49,SEC (East),Kentucky,9.33,11.98,64.1,,32,13.14
3,5,21.49,,74.9,,14.04,Big East (West),Pittsburgh,5.79,7.46,59.2,,28,15.70
4,10,20.56,,79.7,,6.62,ACC,Maryland,7.56,13.93,66.7,,21,13.00
5,7,19.86,,81.1,,4.98,ACC,Duke,8.37,14.87,69.6,,26,11.48
6,7,19.83,,74.6,,10.12,Big Ten,Illinois,6.76,9.70,61.6,,25,13.06
7,7,19.81,,81.6,,2.62,CUSA (American),Louisville,6.84,17.19,68.7,,25,12.97
8,5,19.02,,79.6,,4.75,Big East (West),Syracuse,9.02,14.27,69.6,,30,10.00
9,7,18.91,,79.3,,4.60,Big 12,Texas,9.28,14.32,69.7,,26,9.64
10,7,18.86,,70.4,,13.83,Big 12,Oklahoma,8.53,5.03,60.0,,27,10.32
11,8,18.55,,75.3,,8.56,SEC (East),Florida,7.76,9.99,64.5,,25,10.79
12,10,17.65,,69.4,,13.66,SEC (West),Mississippi State,8.01,3.99,59.7,,21,9.65
13,8,17.48,,70.3,,13.56,Big Ten,Wisconsin,6.51,3.91,59.3,,24,10.97
14,10,17.32,,79.2,,3.67,Big East (West),Notre Dame,9.43,13.64,71.3,,24,7.88
15,8,17.30,,79.2,,2.42,SEC (East),Georgia,11.30,14.89,73.2,,19,6.00
16,6,16.96,,77.8,,5.65,ACC,Wake Forest,6.96,11.31,67.8,,25,10.00
17,6,16.28,,78.5,,3.98,CUSA (American),Marquette,7.28,12.30,69.5,,27,9.00
18,13,16.12,,67.6,,13.51,Big Ten,Michigan State,9.72,2.61,61.2,,22,6.40
19,11,16.08,,72.7,,8.50,SEC (West),Louisiana State,6.83,7.58,63.4,,21,9.25
20,6,16.08,,77.6,,6.06,A-10 (West),Xavier,4.62,10.02,66.1,,26,11.47
21,11,15.95,,71.9,,7.96,Big Ten,Purdue,9.42,8.00,65.3,,19,6.53
22,10,15.84,,79.5,,3.33,Big East (East),Connecticut,7.63,12.51,71.2,,23,8.21
23,5,15.32,,79.1,,4.64,MVC,Creighton,1.03,10.68,64.8,,29,14.29
24,12,15.02,,77.0,,5.22,Pac-10,Arizona State,9.27,9.79,70.5,,20,6.47
25,11,14.88,,72.4,,7.15,Big 12,Missouri,10.15,7.73,67.7,,22,4.73
26,13,14.81,,72.7,,7.93,Big 12,Texas Tech,8.29,6.87,66.1,,22,6.51
27,10,14.62,,69.5,,11.24,Big 12,Oklahoma State,8.46,3.38,62.6,,22,6.88
28,7,14.61,,70.4,,12.29,A-10 (East),Saint Joseph's,3.71,2.32,59.5,,23,10.90
29,10,14.05,,81.5,,1.10,Pac-10,Oregon,6.11,12.95,73.5,,23,7.94
30,9,13.64,,71.8,,9.42,MWC,Brigham Young,5.29,4.22,63.5,,23,8.34
31,12,13.36,,69.0,,8.13,SEC (West),Alabama,9.40,5.24,65.1,,17,3.97
32,9,13.25,,72.5,,8.45,Pac-10,Stanford,8.37,4.81,67.6,,24,4.88
33,7,13.23,,74.4,,5.47,CUSA (National),Memphis,5.27,7.76,66.4,,23,7.97
34,12,12.90,,67.4,,11.73,CUSA (American),Cincinnati,7.45,1.17,61.9,,17,5.45
35,15,12.86,,76.0,,3.63,Big East (West),Georgetown,6.27,9.23,69.4,,19,6.59
36,12,12.83,,75.2,,3.73,Big 12,Colorado,8.01,9.09,70.3,,20,4.81
37,12,12.68,,70.8,,7.66,SEC (West),Auburn,8.35,5.02,65.7,,22,5.09
38,13,12.63,,69.9,,7.04,Big Ten,Indiana,9.81,5.59,67.1,,21,2.82
39,9,12.26,,77.5,,2.47,WCC,Gonzaga,3.80,9.79,69.1,,24,8.45
40,15,12.20,,74.1,,4.43,ACC,Georgia Tech,7.94,7.77,69.8,,16,4.26
41,9,11.78,,74.2,,5.68,Pac-10,California,7.58,6.10,70.0,,22,4.19
42,13,11.76,,72.5,,5.99,ACC,NC State,7.57,5.77,68.3,,18,4.19
43,14,11.64,,71.4,,6.55,Big East (East),Providence,7.83,5.09,67.6,,18,3.81
44,16,11.22,,72.1,,4.68,ACC,North Carolina,10.31,6.54,71.2,,19,0.91
45,6,11.00,,72.7,,4.00,A-10 (West),Dayton,5.17,7.00,66.9,,24,5.83
46,8,11.00,,66.4,,11.92,MWC,Utah,5.25,-0.92,60.3,,25,6.06
47,10,10.41,,73.4,,5.72,WAC,Tulsa,2.29,4.69,65.3,,23,8.12
48,12,10.30,,79.4,,-2.92,Big East (East),Boston College,7.24,13.22,76.4,,19,3.06
49,17,10.14,,69.6,,5.98,Big 12,Kansas State,7.38,4.16,66.2,,13,3.47
50,12,9.88,,68.3,,7.37,SEC (East),Tennessee,7.88,2.51,66.3,,17,2.00
51,14,9.82,,70.5,,6.87,Big 12,Iowa State,6.05,2.95,66.2,,17,4.35
52,13,9.71,,71.1,,6.86,Big East (East),St. John's (NY),7.36,2.85,68.8,,21,2.35
53,13,9.66,,67.6,,8.31,Big East (West),Seton Hall,8.20,1.35,66.2,,17,1.47
54,13,9.62,,69.0,,6.37,Big Ten,Michigan,7.88,3.25,67.3,,17,1.73
55,15,9.25,,66.7,,7.02,SEC (West),Mississippi,6.25,2.24,63.7,,14,3.00
56,6,9.11,,67.5,,9.65,Horizon,Butler,2.24,-0.54,60.2,,27,7.36
57,14,9.11,,73.6,,0.87,Big Ten,Minnesota,6.72,8.24,71.2,,19,2.39
58,16,9.11,,71.8,,3.23,Big East (East),Villanova,7.57,5.89,70.2,,15,1.55
59,11,9.01,,75.3,,0.35,MWC,Nevada-Las Vegas,4.67,8.67,71.0,,21,4.34
60,15,9.00,,68.1,,8.17,ACC,Florida State,7.75,0.84,66.6,,14,1.52
61,13,8.83,,67.2,,8.00,CUSA (American),DePaul,6.49,0.84,64.9,,16,2.34
62,7,8.56,,74.4,,1.83,MVC,Southern Illinois,2.37,6.73,68.2,,24,6.19
63,7,8.52,,71.4,,7.44,CAA,UNC Wilmington,-2.80,1.09,60.1,,24,11.32
64,14,8.44,,69.1,,4.55,Big Ten,Iowa,5.83,3.89,66.5,,17,2.61
65,6,8.44,,69.9,,7.41,Ivy,Pennsylvania,-1.45,1.04,60.0,,22,9.89
66,15,8.03,,64.2,,8.47,Big Ten,Ohio State,8.49,-0.45,64.7,,17,-0.47
67,10,7.92,,77.5,,1.37,Sun Belt (West),Louisiana,1.24,6.55,69.5,,20,8.03
68,8,7.71,,77.1,,-0.33,Horizon,Milwaukee,0.81,8.04,69.9,,24,7.13
69,9,7.71,,73.6,,3.80,Sun Belt (East),Western Kentucky,1.40,3.91,66.5,,24,7.15
70,13,7.61,,77.6,,-2.74,CUSA (National),UAB,3.89,10.34,72.9,,21,4.79
71,16,7.51,,73.9,,0.80,ACC,Virginia,8.64,6.71,74.6,,16,-0.66
72,16,7.39,,65.7,,7.63,SEC (East),South Carolina,8.97,-0.24,67.3,,12,-1.57
73,17,7.25,,76.5,,-2.01,Pac-10,Southern California,7.29,9.26,76.6,,13,-0.07
74,16,7.16,,66.6,,6.99,A-10 (East),Temple,6.66,0.17,66.1,,18,0.50
75,14,6.84,,60.7,,12.69,CUSA (American),Saint Louis,6.88,-5.85,60.7,,16,-0.03
76,7,6.72,,79.8,,-2.37,MAC (West),Central Michigan,1.79,9.09,73.3,,25,6.47
77,11,6.67,,69.4,,7.97,MAC (West),Western Michigan,0.76,-1.30,63.5,,20,5.90
78,19,6.33,,75.2,,-1.68,Pac-10,UCLA,9.75,8.01,78.6,,10,-3.41
79,14,6.19,,65.1,,9.98,A-10 (West),Richmond,3.50,-3.79,62.4,,15,2.69
80,9,6.15,,75.0,,0.07,Horizon,Illinois-Chicago,-0.11,6.08,68.7,,21,6.23
81,18,6.15,,68.9,,2.76,SEC (East),Vanderbilt,9.36,3.40,72.1,,11,-3.21
82,12,6.06,,66.6,,8.84,MVC,Missouri State,0.92,-2.79,61.4,,17,5.14
83,14,6.05,,69.0,,3.84,Big 12,Baylor,5.44,2.21,68.4,,14,0.61
84,17,6.05,,69.9,,4.15,Big East (East),Miami (FL),4.91,1.90,68.7,,11,1.14
85,15,6.01,,71.1,,3.14,CUSA (National),Tulane,2.84,2.87,67.5,,16,3.58
86,14,6.00,,76.0,,-0.79,WAC,Nevada,2.06,6.78,71.9,,18,4.09
87,14,5.98,,72.0,,0.26,Big 12,Texas A&M,7.23,5.72,73.2,,14,-1.25
88,12,5.87,,70.9,,4.64,Horizon,Detroit Mercy,-0.09,1.24,64.5,,18,6.43
89,7,5.78,,75.8,,1.98,MAAC,Manhattan,-1.99,3.80,68.0,,23,7.77
90,11,5.76,,73.2,,-0.46,MWC,Wyoming,3.50,6.21,70.8,,21,2.44
91,14,5.75,,79.5,,-6.56,A-10 (East),St. Bonaventure,4.38,12.31,78.1,,13,1.37
92,13,5.67,,68.4,,4.80,ACC,Clemson,5.35,0.87,68.1,,15,0.32
93,16,5.50,,68.4,,3.08,CUSA (American),Charlotte,6.95,2.42,69.9,,13,-1.45
