,losses,srs,off_rtg,pts_per_g,net_rtg,srs_def,conf_abbr,school_name,sos,srs_off,opp_pts_per_g,def_rtg,wins,mov
0,2,32.14,,91.4,,7.54,SEC (East),Kentucky,10.05,24.60,69.4,,34,22.08
1,3,26.05,,82.6,,12.81,Big East (Big East 6),Connecticut,8.19,13.24,64.7,,32,17.86
2,8,22.63,,83.3,,8.46,Big East (Big East 7),Georgetown,9.83,14.17,68.8,,29,14.51
3,5,22.11,,79.6,,8.60,CUSA (Blue),Cincinnati,7.69,13.51,65.2,,28,14.42
4,5,21.39,,80.6,,8.60,Big 8,Kansas,7.24,12.79,65.3,,29,15.35
5,2,21.38,,74.8,,13.36,A-10 (East),Massachusetts,8.92,8.03,62.4,,35,12.46
6,7,20.34,,75.5,,10.89,Big East (Big East 6),Villanova,11.47,9.45,66.6,,26,8.88
7,10,19.29,,79.2,,7.79,SEC (East),Georgia,8.13,11.50,68.1,,21,11.16
8,9,18.99,,76.2,,9.62,Big East (Big East 7),Syracuse,11.35,9.37,68.6,,29,7.63
9,9,18.65,,79.6,,6.71,Big Ten,Iowa,6.90,11.94,67.9,,23,11.75
10,7,18.52,,76.7,,13.05,WAC,Utah,6.42,5.47,63.9,,27,12.88
11,6,18.26,,68.9,,17.09,ACC,Wake Forest,10.72,1.16,61.3,,26,7.53
12,7,18.14,,81.6,,4.48,Pac-10,Arizona,8.42,13.67,71.9,,26,9.73
13,11,18.02,,77.6,,6.60,ACC,North Carolina,11.42,11.42,71.0,,21,6.59
14,12,17.61,,75.8,,7.56,Big Ten,Indiana,10.88,10.05,69.1,,19,6.68
15,6,17.25,,73.1,,12.15,Big Ten,Purdue,8.50,5.10,64.3,,26,8.75
16,7,17.08,,74.8,,9.20,Big Ten,Penn State,6.33,7.88,64.1,,21,10.75
17,12,16.95,,80.2,,2.65,ACC,Georgia Tech,12.70,14.30,76.0,,24,4.25
18,11,16.93,,78.2,,7.58,Big East (Big East 6),Boston College,9.23,9.35,70.5,,19,7.70
19,8,16.19,,73.1,,12.00,SEC (West),Mississippi State,8.72,4.19,65.6,,26,7.47
20,13,16.06,,75.4,,7.63,ACC,Duke,10.48,8.43,69.8,,18,5.58
21,12,15.18,,76.5,,5.59,CUSA (White),Louisville,9.85,9.60,71.2,,22,5.29
22,12,15.02,,71.3,,10.77,Big Ten,Michigan,8.55,4.24,64.9,,20,6.47
23,13,15.00,,81.3,,1.13,ACC,Maryland,9.93,13.87,76.3,,17,5.07
24,2,14.86,,82.2,,5.34,SWC,Texas Tech,2.11,9.52,69.4,,30,12.75
25,9,14.85,,75.2,,7.80,Pac-10,Stanford,6.33,7.05,66.7,,20,8.52
26,8,14.45,,72.9,,9.46,CUSA (Blue),Marquette,4.93,4.99,63.4,,23,9.52
27,8,14.35,,73.5,,8.26,CUSA (White),Memphis,6.58,6.09,65.7,,22,7.77
28,8,14.15,,77.4,,4.45,Pac-10,UCLA,7.34,9.70,70.6,,23,6.81
29,16,14.08,,81.2,,2.37,ACC,NC State,7.98,11.71,74.8,,15,6.42
30,13,13.96,,75.9,,5.44,Big Ten,Illinois,7.86,8.52,69.8,,18,6.10
31,11,13.18,,68.0,,13.62,ACC,Clemson,8.18,-0.45,63.0,,18,5.00
32,8,12.92,,76.4,,6.78,MVC,Tulsa,1.52,6.14,65.0,,22,11.40
33,12,12.84,,78.2,,2.12,Big East (Big East 7),Providence,9.44,10.72,74.8,,18,3.40
34,13,12.79,,79.0,,2.41,Big 8,Oklahoma,6.83,10.38,73.1,,17,5.97
35,10,12.44,,81.8,,0.19,SWC,Texas,5.05,12.25,74.4,,21,7.39
36,15,12.30,,69.4,,9.13,ACC,Virginia,11.64,3.17,68.8,,12,0.67
37,10,12.08,,70.2,,10.50,Big 8,Oklahoma State,6.08,1.58,63.9,,17,6.33
38,11,11.90,,75.6,,4.82,Pac-10,California,6.44,7.08,70.1,,17,5.46
39,13,11.66,,77.6,,2.38,SEC (West),Arkansas,8.08,9.28,74.0,,20,3.58
40,6,11.55,,83.7,,-1.84,MAC,Eastern Michigan,3.72,13.39,74.3,,25,9.35
41,5,11.55,,77.8,,4.40,WAC,New Mexico,3.42,7.15,69.5,,28,8.30
42,6,11.52,,70.2,,11.34,A-10 (West),Virginia Tech,4.25,0.19,62.9,,23,7.28
43,10,11.43,,77.4,,3.06,CUSA (Red),Tulane,4.86,8.37,70.9,,22,6.56
44,13,11.08,,60.0,,18.23,A-10 (East),Temple,9.30,-7.14,58.2,,20,1.79
45,12,11.00,,78.3,,1.20,SEC (East),South Carolina,6.23,9.80,73.5,,19,4.77
46,4,10.99,,82.6,,3.75,NAC,Drexel,-5.05,7.24,66.3,,27,16.26
47,17,10.97,,72.1,,7.77,Big East (Big East 7),Pittsburgh,9.60,3.20,70.8,,10,1.37
48,15,10.95,,79.7,,-0.26,Big East (Big East 6),West Virginia,8.17,11.21,76.9,,12,2.78
49,14,10.94,,75.3,,3.44,ACC,Florida State,8.72,7.50,73.1,,13,2.22
50,9,10.90,,67.4,,12.83,Big 8,Iowa State,7.24,-1.93,63.4,,24,4.00
51,8,10.61,,74.8,,8.64,MAC,Miami (OH),0.82,1.97,63.9,,21,10.86
52,14,10.29,,80.2,,-1.03,Big 8,Nebraska,5.58,11.31,75.5,,21,4.71
53,12,10.14,,75.6,,3.47,Pac-10,Washington State,5.86,6.67,71.3,,17,4.28
54,8,9.71,,71.2,,8.62,MVC,Bradley,3.55,1.09,65.0,,22,6.17
55,5,9.47,,84.3,,3.25,Southern (North),Davidson,-4.90,6.22,68.2,,25,16.03
56,8,8.99,,78.0,,0.55,A-10 (West),George Washington,3.61,8.45,72.7,,21,5.38
57,14,8.85,,76.4,,0.60,A-10 (East),Rhode Island,3.53,8.25,71.1,,20,5.32
58,9,8.81,,70.8,,7.85,WCC,Santa Clara,4.09,0.96,66.1,,20,4.72
59,15,8.70,,62.5,,14.74,SEC (East),Tennessee,9.19,-6.04,63.0,,14,-0.48
60,13,8.67,,69.6,,6.46,Big Ten,Minnesota,6.92,2.21,67.8,,19,1.78
61,4,8.05,,64.8,,15.05,MW Coll,Green Bay,-0.88,-7.00,55.9,,25,8.90
62,14,7.94,,75.7,,1.61,SEC (East),Vanderbilt,7.13,6.33,74.1,,18,1.56
63,13,7.89,,82.3,,-3.95,WAC,Brigham Young,4.00,11.84,78.4,,15,3.89
64,15,7.89,,66.1,,9.76,Big Ten,Wisconsin,7.80,-1.86,64.8,,17,1.28
65,12,7.81,,70.0,,7.30,Pac-10,Washington,5.27,0.51,67.5,,16,2.54
66,13,7.77,,67.3,,8.85,Big East (Big East 7),Miami (FL),7.42,-1.07,66.9,,15,0.36
67,12,7.75,,67.9,,8.22,Big 8,Kansas State,7.71,-0.47,67.7,,17,0.24
68,16,7.64,,66.8,,7.30,SEC (East),Florida,11.39,0.35,70.5,,12,-3.75
69,11,7.58,,80.4,,-2.11,WAC,Fresno State,4.86,9.69,77.1,,22,3.27
70,13,7.56,,76.3,,2.70,Pac-10,Oregon,7.21,4.86,72.0,,16,4.31
71,12,7.52,,78.5,,1.22,WAC,Colorado State,5.12,6.29,74.1,,18,4.37
72,16,7.51,,76.1,,-1.60,Big East (Big East 6),St. John's (NY),9.96,9.11,78.6,,11,-2.44
73,9,7.48,,80.8,,1.54,Big Sky,Montana State,-2.45,5.94,69.9,,21,10.90
74,15,7.44,,68.6,,5.43,CUSA (White),Charlotte,6.78,2.01,67.7,,14,0.93
75,9,7.42,,73.9,,5.25,CAA,Virginia Commonwealth,-0.09,2.18,66.4,,24,7.52
76,13,7.38,,73.6,,2.81,A-10 (East),Saint Joseph's,4.16,4.57,70.4,,19,3.22
77,15,7.17,,77.7,,0.24,Big 8,Missouri,5.08,6.93,75.6,,18,2.09
78,16,7.06,,73.4,,0.65,Big East (Big East 7),Seton Hall,10.88,6.42,77.2,,12,-3.82
79,13,6.99,,72.0,,4.10,SEC (West),Alabama,6.11,2.89,71.1,,19,0.88
80,16,6.79,,62.1,,11.59,Big Ten,Michigan State,9.04,-4.81,64.2,,16,-2.09
81,7,6.28,,76.5,,1.99,Sun Belt,Little Rock,-1.04,4.29,67.8,,23,8.73
82,18,6.20,,70.2,,3.03,CUSA (Blue),DePaul,7.93,3.17,71.9,,11,-1.72
83,13,6.07,,74.3,,1.73,SEC (West),Auburn,4.17,4.35,71.3,,19,2.97
84,18,5.99,,66.8,,6.12,Big East (Big East 6),Notre Dame,10.65,-0.13,71.4,,9,-4.67
85,9,5.96,,72.6,,2.54,Sun Belt,New Orleans,1.46,3.42,68.1,,21,4.50
86,15,5.90,,69.9,,8.07,SEC (West),Mississippi,4.90,-2.17,67.3,,12,2.56
87,9,5.81,,72.6,,5.73,WCC,Gonzaga,-1.23,0.08,64.6,,21,8.07
88,12,5.53,,71.8,,3.45,MVC,Illinois State,2.89,2.08,69.2,,22,2.62
89,18,5.31,,71.3,,2.16,Big East (Big East 7),Rutgers,10.62,3.15,74.5,,9,-3.19
90,14,4.89,,64.6,,10.85,CUSA (Blue),Saint Louis,4.53,-5.96,64.1,,16,0.43
91,18,4.66,,76.8,,-3.03,WAC,Hawaii,6.30,7.69,78.4,,10,-1.64
92,10,4.37,,75.0,,3.76,MW Coll,Northern Illinois,-3.59,0.61,66.0,,20,9.00
93,12,4.35,,74.9,,-0.89,MVC,Missouri State,1.60,5.23,72.1,,16,2.75
94,14,4.21,,74.0,,2.34,MAC,Ohio,2.55,1.87,71.7,,16,2.37
95,11,4.16,,74.8,,2.09,Big West,Long Beach State,0.42,2.07,69.4,,17,5.36
96,10,4.14,,84.1,,-6.87,Big Sky,Weber State,-0.54,11.01,78.3,,20,5.80
97,12,4.03,,67.6,,7.31,MAAC,Manhattan,-1.38,-3.27,62.1,,17,5.41
98,14,4.01,,75.9,,-0.91,WAC,San Diego State,3.05,4.92,74.3,,15,1.59
99,12,3.98,,72.8,,3.26,Big West,Pacific,-0.56,0.72,67.9,,15,4.89
100,15,3.90,,68.4,,2.31,CUSA (Red),Southern Mississippi,5.79,1.59,69.7,,12,-1.30
101,4,3.85,,74.6,,6.19,TAAC (East),College of Charleston,-7.34,-2.34,62.3,,25,12.34
102,14,3.66,,69.0,,6.59,CUSA (Red),UAB,3.69,-2.93,68.4,,16,0.63
103,15,3.63,,72.8,,4.06,WAC,UTEP,4.59,-0.43,71.1,,13,1.61
