,losses,srs,off_rtg,pts_per_g,net_rtg,srs_def,conf_abbr,school_name,sos,srs_off,opp_pts_per_g,def_rtg,wins,mov
0,4,29.04,,86.1,,11.83,ACC,North Carolina,11.25,17.21,68.3,,34,17.79
1,4,26.90,,87.5,,10.13,SEC (East),Kentucky,9.23,16.77,69.8,,30,17.68
2,8,25.98,,86.4,,9.42,ACC,Duke,10.76,16.57,71.2,,24,15.22
3,4,25.83,,86.5,,6.67,Big Ten,Indiana,11.09,19.16,71.6,,31,14.91
4,5,22.62,,74.5,,17.74,GMWC,Cincinnati,6.62,4.88,58.5,,27,16.00
5,7,22.30,,84.4,,9.63,Big 8,Kansas,10.88,12.67,69.7,,29,14.64
6,5,22.01,,81.9,,7.81,Big Ten,Michigan,11.90,14.20,71.8,,31,10.11
7,4,20.50,,83.6,,5.43,Pac-10,Arizona,8.28,15.06,71.4,,24,12.21
8,6,19.81,,83.0,,7.01,SEC (East),Vanderbilt,6.40,12.81,69.9,,28,13.15
9,9,19.75,,78.3,,11.90,Big Ten,Iowa,8.14,7.85,65.4,,23,12.94
10,7,19.48,,77.9,,10.38,Big East,Seton Hall,9.07,9.10,66.9,,28,10.94
11,11,18.65,,81.3,,7.60,Big 8,Iowa State,8.05,11.05,69.6,,20,11.65
12,10,18.07,,86.3,,0.22,ACC,Florida State,11.44,17.84,79.7,,25,6.63
13,12,17.87,,89.1,,0.09,Big 8,Oklahoma,10.18,17.78,79.0,,20,10.06
14,9,17.72,,86.9,,1.64,SEC (West),Arkansas,8.30,16.08,77.5,,22,9.42
15,9,16.82,,77.7,,9.92,ACC,Wake Forest,9.32,6.90,70.2,,21,7.50
16,10,16.81,,76.7,,8.95,Big Ten,Minnesota,9.23,7.86,67.9,,22,8.72
17,8,15.68,,73.8,,13.10,GMWC,Marquette,2.29,2.58,60.4,,20,13.39
18,6,15.22,,85.1,,4.24,Sun Belt,Western Kentucky,1.75,10.97,71.7,,26,13.44
19,9,14.65,,81.1,,4.96,Metro,Louisville,8.85,9.69,74.0,,22,7.10
20,9,14.62,,77.4,,8.90,Big 8,Oklahoma State,9.90,5.71,69.1,,20,8.38
21,10,14.60,,74.2,,9.99,ACC,Virginia,9.76,4.61,69.3,,21,4.84
22,7,14.25,,73.0,,13.22,A-10,Massachusetts,5.34,1.02,64.1,,24,8.90
