,losses,srs,off_rtg,pts_per_g,net_rtg,srs_def,conf_abbr,school_name,sos,srs_off,opp_pts_per_g,def_rtg,wins,mov
0,3,25.84,124.63,77.1,39.51,12.45,Big Ten,Ohio State,8.38,13.39,59.7,85.12,34,17.46
1,5,24.51,120.54,80.9,35.51,7.95,ACC,Duke,8.32,16.55,64.7,85.03,32,16.19
2,3,24.10,121.00,81.2,35.33,8.62,Big 12,Kansas,7.62,15.48,64.7,85.67,35,16.47
3,6,20.82,121.39,73.9,32.53,11.28,Big East,Pittsburgh,7.85,9.54,61.0,88.86,28,12.97
4,8,20.82,114.63,75.0,30.86,11.30,Big 12,Texas,7.96,9.52,62.2,83.77,28,12.86
5,9,20.30,118.41,74.9,30.83,9.64,SEC (East),Kentucky,8.91,10.67,63.5,87.58,29,11.39
6,11,20.12,118.85,83.1,28.49,1.83,Pac-10,Washington,7.74,18.29,70.7,90.37,24,12.37
7,8,19.36,115.04,72.5,29.37,10.02,Big Ten,Purdue,8.69,9.34,61.9,85.67,26,10.68
8,8,18.87,112.02,77.5,27.10,5.87,ACC,North Carolina,10.15,13.00,68.8,84.92,29,8.73
9,8,18.85,115.21,73.4,28.63,9.45,Big East,Syracuse,8.79,9.39,63.3,86.57,27,10.06
10,9,18.77,123.46,67.9,30.97,14.52,Big Ten,Wisconsin,9.42,4.24,58.6,92.49,25,9.35
11,5,18.65,116.20,81.4,26.95,2.82,MWC,Brigham Young,5.76,15.83,67.9,89.26,32,13.51
12,10,18.60,113.18,74.9,27.59,8.18,Big East,Louisville,8.20,10.42,64.5,85.59,25,10.40
13,7,18.17,120.53,75.2,27.79,7.07,Big East,Notre Dame,8.43,11.10,65.5,92.75,27,9.74
14,3,17.96,113.93,71.9,28.08,12.68,MWC,San Diego State,6.36,5.28,59.2,85.85,34,12.65
15,9,17.95,115.08,72.4,27.45,8.72,Big East,Connecticut,10.44,9.23,64.9,87.63,32,7.51
16,14,16.72,113.89,71.0,25.47,8.74,Big Ten,Illinois,11.11,7.98,65.4,88.43,20,5.62
17,8,16.54,117.75,76.4,25.29,5.42,Pac-10,Arizona,7.99,11.12,67.9,92.45,30,8.55
18,8,16.27,115.22,72.1,25.06,8.53,SEC (East),Florida,7.57,7.74,63.4,90.16,29,8.70
19,12,16.15,114.43,69.8,24.58,10.51,Big East,West Virginia,11.03,5.64,64.7,89.85,21,5.12
20,9,15.41,111.41,68.9,23.79,11.72,Big East,Cincinnati,6.10,3.69,59.6,87.63,26,9.31
21,11,15.10,116.18,75.9,22.73,3.97,SEC (East),Vanderbilt,6.86,11.12,67.7,93.45,23,8.24
22,12,15.05,113.58,72.2,23.05,6.82,Big East,Villanova,8.23,8.23,65.4,90.53,21,6.82
23,14,15.00,109.92,76.8,21.78,4.41,ACC,Maryland,5.76,10.59,67.6,88.13,19,9.24
24,15,14.89,115.58,75.2,22.37,4.66,Big East,Marquette,8.51,10.23,68.8,93.20,22,6.38
25,11,14.77,113.62,80.8,21.07,0.04,Big 12,Missouri,6.50,14.73,71.6,92.55,23,9.21
26,9,14.67,110.26,71.6,22.61,7.82,MWC,Nevada-Las Vegas,6.00,6.84,62.9,87.65,24,8.67
27,11,14.61,114.21,70.6,22.11,7.47,Big East,Georgetown,10.39,7.15,66.3,92.09,21,4.22
28,11,14.59,110.43,72.9,21.77,7.04,Big 12,Kansas State,8.41,7.55,66.1,88.65,23,6.71
29,14,14.21,113.11,66.5,22.46,11.07,Big Ten,Michigan,10.68,3.14,62.5,90.66,21,4.03
30,10,13.86,111.51,76.7,20.99,5.27,WCC,Gonzaga,4.01,8.59,65.9,90.52,25,10.77
31,12,13.84,109.93,70.3,21.00,9.09,ACC,Virginia Tech,6.29,4.76,62.7,88.92,22,7.56
32,12,13.76,108.91,68.5,21.68,10.39,ACC,Clemson,6.58,3.37,61.4,87.23,22,7.18
33,15,13.70,110.12,68.8,20.46,7.56,Big Ten,Michigan State,11.67,6.14,66.6,89.66,19,2.21
34,11,13.48,103.30,69.1,19.77,9.97,ACC,Florida State,6.45,3.52,62.0,83.53,23,7.03
35,4,13.23,110.45,72.0,21.62,11.35,WAC,Utah State,0.50,1.88,58.7,88.83,30,13.35
36,12,13.10,111.39,70.1,20.60,6.69,Big East,St. John's (NY),10.01,6.41,67.0,90.79,21,3.09
37,5,13.07,111.47,79.7,19.74,3.68,A-Sun,Belmont,-4.42,9.39,62.2,91.73,30,17.49
38,9,13.04,116.99,78.9,20.18,3.35,WCC,Saint Mary's (CA),1.95,9.69,66.3,96.81,25,12.68
39,9,12.62,109.74,68.3,19.03,10.38,Big 12,Texas A&M,5.94,2.24,60.9,90.71,24,7.42
40,8,12.57,113.38,72.7,20.74,5.68,MVC,Wichita State,1.79,6.89,61.6,92.64,29,11.05
41,8,12.35,109.68,70.6,19.67,8.38,A-10,Temple,4.23,3.97,62.5,90.01,26,8.12
42,13,12.27,108.27,72.9,18.42,4.97,Pac-10,Washington State,6.81,7.30,67.4,89.86,22,5.46
43,15,11.98,113.05,63.1,19.40,11.04,Big Ten,Penn State,11.45,0.94,62.5,93.66,19,0.53
44,8,11.88,112.43,72.1,18.65,5.58,A-10,Xavier,4.41,6.30,64.6,93.78,24,7.47
45,14,11.75,110.52,68.9,18.11,6.07,Big Ten,Minnesota,9.79,5.68,67.0,92.41,17,1.97
46,13,11.72,111.14,73.2,18.24,5.18,MWC,New Mexico,4.90,6.54,65.9,92.91,22,7.26
47,12,11.70,104.28,66.8,18.04,11.56,SEC (West),Alabama,4.27,0.14,59.4,86.24,25,7.43
48,11,11.70,108.87,70.1,18.38,6.67,Pac-10,UCLA,7.93,5.03,66.3,90.49,23,3.76
49,7,11.66,111.59,72.8,18.97,5.65,CAA,George Mason,1.37,6.01,62.5,92.62,27,10.29
50,14,11.66,116.19,71.8,18.01,3.89,Big Ten,Northwestern,7.54,7.77,67.7,98.18,20,4.12
51,10,11.53,111.60,71.2,18.45,6.48,Horizon,Butler,5.02,5.06,64.1,93.16,28,7.11
52,15,11.52,107.42,66.2,17.86,11.35,Pac-10,Southern California,7.97,0.17,62.7,89.57,19,3.56
53,14,11.45,117.74,79.6,17.64,-1.10,Big 12,Colorado,5.61,12.55,73.3,100.10,24,6.26
54,8,11.23,112.20,69.6,18.51,8.38,A-10,Richmond,2.79,2.85,61.2,93.68,29,8.43
55,15,11.08,108.27,69.9,17.02,5.89,SEC (East),Tennessee,8.73,5.20,67.5,91.25,19,2.35
56,18,11.03,103.99,67.5,16.69,6.90,Big East,Seton Hall,9.33,4.13,65.8,87.30,13,1.71
57,13,10.54,105.04,66.4,16.90,11.48,Big 12,Nebraska,4.67,-0.93,60.5,88.14,19,5.88
58,15,10.47,112.77,71.6,16.27,4.14,ACC,Miami (FL),6.42,6.33,67.6,96.50,21,4.06
59,12,10.43,107.97,68.7,16.63,6.97,SEC (East),Georgia,6.13,3.47,64.4,91.34,21,4.30
60,13,10.33,107.40,77.9,15.34,0.75,A-10,Duquesne,1.49,9.58,68.0,92.06,19,9.91
61,13,10.00,107.77,69.5,15.38,6.40,Big 12,Baylor,4.80,3.59,64.0,92.39,18,5.48
62,13,9.78,117.05,71.8,15.55,2.88,ACC,Boston College,7.31,6.90,69.3,101.50,21,2.47
63,15,9.45,109.50,72.5,14.85,1.05,Pac-10,California,9.17,8.39,72.2,94.65,18,0.27
64,20,9.03,110.42,69.6,13.79,3.45,Big Ten,Indiana,7.65,5.58,68.2,96.64,12,1.38
65,7,9.03,108.14,65.6,15.89,10.56,CAA,Old Dominion,1.76,-1.53,58.4,92.25,27,7.26
66,16,8.86,107.99,74.8,14.29,0.71,Big 12,Iowa State,4.55,8.15,70.5,93.70,16,4.31
67,10,8.83,105.28,70.6,14.50,5.48,CUSA,UTEP,2.47,3.34,63.6,90.78,25,7.00
68,14,8.71,112.07,73.9,14.06,0.67,SEC (West),Mississippi,3.92,8.05,69.1,98.01,20,4.79
69,12,8.56,110.73,71.6,13.99,2.36,CAA,Virginia Commonwealth,3.78,6.20,66.8,96.75,28,4.78
70,9,8.55,107.74,68.4,14.67,7.07,CUSA,UAB,2.78,1.49,62.6,93.07,22,5.77
71,14,8.53,106.44,68.2,13.68,5.63,Big 12,Oklahoma State,6.94,2.90,66.6,92.75,20,1.59
72,10,8.41,110.76,74.1,13.46,2.83,CUSA,Southern Mississippi,1.90,5.59,65.4,97.30,22,8.69
73,10,8.28,115.31,85.5,12.59,-7.62,Summit,Oakland,0.10,15.90,76.9,102.72,25,8.63
74,9,8.07,112.83,69.8,13.97,4.44,MVC,Missouri State,1.35,3.63,63.1,98.86,26,6.71
75,20,7.95,105.02,67.2,12.73,4.32,Big Ten,Iowa,8.79,3.63,68.1,92.29,11,-0.84
76,17,7.88,106.93,66.3,12.64,6.11,Big East,Rutgers,7.22,1.77,65.7,94.29,15,0.66
77,9,7.59,107.09,71.0,12.54,5.04,Horizon,Cleveland State,1.74,2.55,63.6,94.54,27,7.36
78,13,7.49,107.83,71.2,12.15,2.73,MWC,Colorado State,5.26,4.76,67.7,95.67,19,3.53
79,16,7.02,109.08,70.7,11.18,1.49,ACC,NC State,6.80,5.54,70.5,97.90,15,0.23
80,12,7.01,111.37,79.0,11.19,-3.11,MAAC,Iona,-2.26,10.12,69.7,100.18,25,9.27
81,18,6.92,105.83,70.2,11.32,2.95,Pac-10,Oregon,6.92,3.98,69.3,94.51,21,0.85
82,10,6.91,104.50,72.1,10.99,1.97,CUSA,Memphis,3.14,4.94,68.3,93.51,25,3.77
83,17,6.91,109.31,75.8,11.45,-3.91,Big East,Providence,6.44,10.82,75.3,97.85,15,0.47
84,18,6.42,101.49,67.8,9.96,3.78,ACC,Georgia Tech,5.68,2.64,67.1,91.54,13,0.74
85,16,6.40,103.79,66.4,10.17,6.26,Pac-10,Stanford,5.17,0.13,65.2,93.62,15,1.23
86,12,6.32,106.95,73.5,10.07,1.79,CUSA,Marshall,1.94,4.53,67.4,96.88,22,6.12
87,13,6.28,104.60,70.7,9.45,2.42,SEC (West),Arkansas,2.34,3.86,66.7,95.15,18,3.94
88,12,6.25,104.71,68.8,10.49,5.68,CUSA,Central Florida,1.97,0.57,63.0,94.22,21,5.79
