,losses,srs,off_rtg,pts_per_g,net_rtg,srs_def,conf_abbr,school_name,sos,srs_off,opp_pts_per_g,def_rtg,wins,mov
0,3,24.96,118.69,74.6,36.91,13.86,Big 12,Kansas,11.63,11.10,60.7,81.78,28,13.87
1,2,22.70,122.52,87.4,32.31,3.91,WCC,Gonzaga,3.13,18.79,67.8,90.21,31,19.58
2,6,22.55,117.58,82.5,32.89,6.58,ACC,Duke,8.00,15.97,68.0,84.69,25,14.55
3,9,21.92,116.94,75.9,31.78,10.08,Big Ten,Michigan State,10.76,11.83,64.7,85.16,22,11.16
4,4,20.13,113.16,71.1,30.24,13.45,Big 12,Baylor,9.13,6.68,60.1,82.92,26,11.00
5,11,19.49,113.66,76.4,28.14,9.48,Pac-12,Arizona,8.40,10.01,65.3,85.52,21,11.09
6,10,19.37,115.64,72.1,29.33,12.12,Big Ten,Ohio State,10.24,7.25,62.9,86.31,21,9.13
7,2,19.17,119.36,80.0,29.29,7.53,A-10,Dayton,3.69,11.64,64.5,90.07,29,15.48
8,10,18.51,110.18,70.3,27.89,11.61,Big 12,West Virginia,10.64,6.90,62.4,82.29,21,7.87
9,2,18.38,114.19,74.8,28.45,14.01,MWC,San Diego State,3.93,4.37,59.5,85.74,30,15.38
10,7,18.22,119.49,75.9,27.56,7.59,Pac-12,Oregon,9.09,10.63,66.7,91.94,24,9.13
11,7,17.94,116.77,74.1,27.75,9.32,ACC,Louisville,7.55,8.62,63.7,89.03,24,10.39
12,12,17.94,114.03,75.0,26.50,8.34,Big Ten,Michigan,11.17,9.60,68.3,87.53,19,6.77
13,7,17.82,114.29,71.8,26.61,10.41,Big Ten,Maryland,10.50,7.42,64.5,87.68,24,7.32
14,5,17.28,112.43,75.4,25.49,7.22,ACC,Florida State,7.64,10.06,65.7,86.94,26,9.65
15,7,17.24,118.51,78.3,25.26,5.29,Big East,Creighton,9.61,11.95,69.7,93.25,24,8.58
16,8,16.93,117.05,79.6,25.70,5.10,WCC,Brigham Young,6.45,11.83,68.4,91.35,24,11.25
17,7,16.84,114.40,73.2,24.84,9.40,Big East,Villanova,10.03,7.44,66.4,89.56,24,6.81
18,13,16.83,111.50,71.9,25.49,10.53,Big 12,Texas Tech,8.41,6.29,63.5,86.00,18,8.42
19,9,16.75,112.76,74.7,24.59,7.65,Big East,Seton Hall,9.95,9.10,67.9,88.17,21,6.80
20,8,16.46,113.32,72.3,25.10,10.65,AAC,Houston,6.30,5.82,62.1,88.22,23,10.16
21,16,16.39,112.28,71.1,24.17,9.17,Big Ten,Minnesota,11.55,7.22,66.3,88.11,15,4.84
22,15,16.30,110.75,68.2,25.23,12.30,Big Ten,Purdue,10.76,4.01,62.6,85.53,16,5.55
23,10,16.12,111.62,75.1,23.46,6.58,Big Ten,Penn State,9.25,9.55,68.2,88.15,21,6.87
24,11,16.07,118.47,77.7,24.36,2.93,Big Ten,Iowa,10.62,13.15,72.3,94.11,20,5.45
25,10,15.95,111.85,67.2,24.34,13.95,Big Ten,Wisconsin,10.95,2.00,62.2,87.52,21,5.00
26,6,15.78,113.37,74.4,23.59,8.05,SEC,Kentucky,7.46,7.73,66.1,89.78,25,8.32
27,11,15.72,109.11,69.9,23.99,11.26,Big Ten,Rutgers,9.68,4.46,62.6,85.12,20,7.29
28,9,15.56,112.94,68.5,24.23,12.71,Big East,Butler,9.14,2.85,62.1,88.71,22,6.42
29,12,15.44,114.87,77.8,22.60,2.77,Big East,Marquette,9.30,12.67,71.6,92.27,18,6.13
30,10,15.27,112.19,72.2,23.07,9.80,Big Ten,Illinois,9.84,5.48,65.3,89.12,21,6.94
31,12,15.07,111.00,71.4,22.07,8.98,Big Ten,Indiana,10.35,6.10,66.7,88.93,20,4.72
32,6,15.04,112.56,78.0,22.19,4.65,SEC,Auburn,7.39,10.38,70.4,90.38,25,7.65
33,12,14.94,113.49,71.9,22.52,9.86,SEC,Florida,9.10,5.08,66.0,90.97,19,5.84
34,11,14.91,110.26,70.9,22.39,8.91,Pac-12,Colorado,8.31,6.00,64.3,87.87,21,6.59
35,10,14.43,118.29,80.5,21.83,0.27,SEC,Louisiana State,7.20,14.16,73.3,96.46,21,7.23
36,8,13.66,110.04,76.5,20.89,7.99,MWC,Utah State,4.04,5.67,64.1,89.15,26,12.38
37,8,13.66,106.22,71.8,20.32,8.98,AAC,Wichita State,5.60,4.68,63.8,85.90,23,8.06
38,12,13.48,109.59,70.2,20.43,6.49,Big 12,Oklahoma,10.64,6.99,67.4,89.17,19,2.84
39,12,13.46,109.40,75.8,20.03,4.41,SEC,Arkansas,7.27,9.05,69.6,89.37,20,6.19
40,12,13.45,108.99,71.4,20.05,8.03,Big East,Providence,8.19,5.42,66.2,88.94,19,5.26
41,12,13.35,106.51,69.5,20.29,10.25,Pac-12,Stanford,6.38,3.11,62.5,86.22,20,6.97
42,13,12.57,106.80,70.7,18.75,8.18,Big East,Xavier,9.47,4.39,67.6,88.04,19,3.09
43,17,12.41,107.14,70.6,18.89,7.10,Pac-12,Washington,8.25,5.31,66.4,88.25,15,4.16
44,10,12.33,108.97,72.7,18.83,5.48,AAC,Cincinnati,6.73,6.86,67.1,90.14,20,5.60
45,14,12.32,113.04,74.3,18.93,3.93,ACC,Syracuse,7.26,8.39,69.3,94.11,18,5.06
46,8,12.27,114.87,75.3,19.50,6.51,WCC,Saint Mary's (CA),5.24,5.76,66.9,95.37,26,8.32
47,11,12.21,113.86,73.4,19.32,6.27,SEC,Mississippi State,6.96,5.95,68.1,94.54,20,5.26
48,10,12.16,101.25,72.0,17.33,7.11,AAC,Memphis,5.07,5.06,64.9,83.92,21,7.10
49,7,12.16,100.31,57.0,19.52,21.54,ACC,Virginia,7.50,-9.38,52.4,80.80,23,4.67
50,12,12.05,110.92,74.6,18.11,4.05,ACC,NC State,7.14,8.00,69.7,92.80,20,4.91
51,14,12.01,107.55,67.6,18.37,8.14,Big 12,Oklahoma State,10.51,3.88,66.1,89.18,18,1.50
52,9,11.51,105.27,70.3,17.72,7.76,Pac-12,Southern California,7.22,3.75,66.0,87.55,22,4.29
53,11,11.46,105.99,73.8,16.72,3.52,Pac-12,Arizona State,8.10,7.94,70.5,89.28,20,3.35
