,losses,srs,off_rtg,pts_per_g,net_rtg,srs_def,conf_abbr,school_name,sos,srs_off,opp_pts_per_g,def_rtg,wins,mov
0,5,29.29,,83.1,,11.19,SEC (East),Kentucky,9.26,18.09,62.8,,35,20.33
1,2,26.60,,84.9,,6.93,Big 12,Kansas,7.94,19.67,66.1,,34,18.83
2,4,23.34,,78.3,,11.12,Big Ten,Minnesota,9.20,12.22,63.4,,31,14.94
3,9,22.52,,79.7,,7.05,ACC,Duke,9.06,15.47,66.2,,24,13.45
4,9,21.66,,83.8,,4.04,Pac-10,Arizona,11.04,17.62,73.3,,25,10.56
5,7,21.23,,77.4,,7.15,ACC,North Carolina,12.00,14.08,66.7,,28,10.71
6,7,20.94,,69.0,,15.79,ACC,Wake Forest,10.27,5.15,58.3,,24,10.68
7,8,20.71,,80.7,,6.36,CUSA (Blue),Cincinnati,5.51,14.35,65.5,,26,15.21
8,8,19.89,,80.9,,7.10,Pac-10,Stanford,9.21,12.79,69.0,,22,11.87
9,4,17.58,,74.4,,11.13,WAC (Mountain),Utah,5.46,6.45,61.7,,29,12.76
10,11,17.52,,75.2,,6.19,ACC,Maryland,9.08,11.32,66.8,,21,8.44
11,9,17.34,,75.1,,9.45,Pac-10,California,10.12,7.89,67.8,,23,7.22
12,10,17.23,,68.2,,13.33,ACC,Clemson,10.53,3.90,61.5,,23,6.70
13,10,16.84,,72.3,,8.97,Big Ten,Iowa,8.90,7.86,63.7,,22,8.63
14,11,16.67,,74.1,,6.47,Big Ten,Michigan,10.53,10.21,68.0,,24,6.14
15,8,16.62,,79.9,,3.42,Pac-10,UCLA,10.43,13.20,73.8,,24,6.19
16,10,16.62,,75.1,,7.33,Big East (Big East 6),Villanova,9.44,9.30,67.9,,24,7.15
17,10,16.48,,80.7,,1.13,A-10 (East),Rhode Island,6.38,15.35,70.6,,20,10.10
18,12,16.14,,73.4,,7.02,ACC,Florida State,9.52,9.12,66.8,,20,6.63
19,6,16.14,,83.2,,-0.03,A-10 (West),Xavier,5.28,16.17,72.3,,23,10.86
20,10,15.68,,76.5,,5.25,Big Ten,Illinois,7.83,10.43,68.7,,22,7.84
21,8,15.09,,74.1,,6.16,SEC (East),South Carolina,7.00,8.93,66.7,,24,7.44
22,10,15.00,,72.4,,9.34,WAC (Mountain),Tulsa,5.53,5.66,63.0,,24,9.47
23,14,14.74,,79.0,,1.47,SEC (West),Arkansas,7.05,13.27,71.3,,18,7.69
