,losses,srs,off_rtg,pts_per_g,net_rtg,srs_def,conf_abbr,school_name,sos,srs_off,opp_pts_per_g,def_rtg,wins,mov
0,4,26.64,127.92,86.6,38.13,8.84,Big East,Villanova,10.24,17.80,70.2,89.79,36,16.40
1,8,24.43,123.93,84.4,35.34,8.02,ACC,Duke,9.70,16.41,69.6,88.60,29,14.73
2,7,23.41,123.33,80.4,33.73,10.50,Big Ten,Purdue,8.74,12.91,65.7,89.60,30,14.68
3,5,22.41,121.35,80.2,32.80,11.69,Big Ten,Michigan State,7.10,10.72,64.9,88.55,30,15.31
4,3,22.20,115.92,67.1,34.98,23.95,ACC,Virginia,9.05,-1.75,54.0,80.94,31,13.15
5,8,21.39,122.39,81.4,30.43,7.81,Big 12,Kansas,11.88,13.58,71.9,91.96,31,9.51
6,5,20.25,113.38,74.3,30.51,17.20,AAC,Cincinnati,3.53,3.05,57.5,82.87,31,16.72
7,11,20.07,119.93,81.6,28.53,4.66,ACC,North Carolina,11.78,15.41,73.3,91.40,26,8.30
8,11,19.89,119.29,80.1,28.22,7.42,Big 12,West Virginia,9.38,12.47,69.6,91.07,26,10.51
9,10,19.38,113.74,74.6,28.06,14.09,Big 12,Texas Tech,9.60,5.29,64.8,85.68,27,9.78
10,6,19.06,121.03,84.4,26.94,3.88,Big East,Xavier,9.43,15.18,74.7,94.08,29,9.63
11,8,19.03,114.94,73.6,28.19,14.81,Big Ten,Michigan,9.41,4.22,63.3,86.75,33,10.32
12,5,18.44,118.31,83.5,26.88,6.04,WCC,Gonzaga,2.60,12.40,67.7,91.42,32,15.84
13,9,18.20,115.38,73.8,27.13,12.42,SEC,Tennessee,10.12,5.78,65.7,88.25,26,8.09
14,9,17.67,116.79,76.2,26.41,10.00,Big Ten,Ohio State,9.02,7.67,67.6,90.38,25,8.65
15,11,17.24,116.16,76.8,25.03,7.98,SEC,Kentucky,10.73,9.26,70.2,91.12,26,6.51
16,10,17.16,113.61,73.8,25.40,12.25,ACC,Clemson,9.25,4.91,65.9,88.21,25,7.91
