,wins_home,losses,srs,ft,stl,win_loss_pct,pf,wins_visitor,mp,fga,fta,fg3_pct,fg,trb,losses_conf,sos,school_name,fg3,pts,orb,fg_pct,ast,wins_conf,losses_visitor,wins,ft_pct,fg3a,blk,opp_pts,tov,g,losses_home
0,7,20,-3.61,422,186,.286,544,1,,1642,615,.318,651,942,14,4.77,Air Force,158,1882,,.396,323,4,9,8,.686,497,98,2029,544,28,8
1,7,18,-7.20,310,217,.308,608,1,,1416,477,.322,573,807,14,0.96,Akron,109,1565,,.405,325,4,11,8,.650,338,55,1764,422,26,7
2,11,10,15.50,417,200,.697,585,8,,1971,648,.335,892,1385,6,6.62,Alabama,207,2408,,.453,501,10,4,23,.644,618,201,2115,520,33,4
3,7,15,-15.92,449,183,.423,530,4,,1820,705,.298,764,1177,6,-8.33,Alabama State,123,2100,,.420,409,8,7,11,.637,413,79,2246,421,26,4
4,6,19,-18.09,398,270,.269,591,1,,1778,581,.351,765,1024,10,-9.22,Alcorn State,202,2130,,.430,380,4,11,7,.685,576,66,2283,440,26,5
5,4,19,-9.30,410,178,.321,506,4,,1760,608,.384,721,1010,7,-2.48,American,236,2088,,.410,360,7,10,9,.674,615,38,2279,387,28,7
6,4,20,-10.72,407,204,.310,563,3,,1721,563,.323,774,1030,10,-2.94,Appalachian State,170,2125,,.450,462,4,10,9,.723,527,93,2285,504,29,7
7,12,8,19.09,490,222,.742,564,10,,1961,746,.413,948,1285,5,10.35,Arizona,245,2631,,.483,559,13,2,23,.657,593,95,2350,526,31,4
8,14,9,16.70,465,345,.727,617,5,,2034,750,.337,954,1161,6,9.00,Arizona State,212,2585,,.469,608,12,5,24,.620,630,165,2331,542,33,3
9,14,7,16.91,609,445,.821,789,7,,2634,902,.394,1223,1528,4,10.51,Arkansas,361,3416,,.464,721,12,3,32,.675,917,129,3115,633,39,1
10,4,20,-14.38,369,234,.286,598,3,,1687,558,.304,674,978,15,-4.92,Arkansas State,137,1854,,.400,383,3,8,8,.661,450,85,2072,479,28,11
11,10,16,-17.85,517,153,.429,601,2,,1634,735,.365,677,1004,10,-11.26,Army,187,2058,,.414,349,4,9,12,.703,512,45,2222,419,28,7
12,9,13,9.22,440,216,.552,513,5,,1662,615,.366,784,1049,9,7.03,Auburn,222,2230,,.472,493,7,7,16,.715,606,70,2124,495,29,4
13,7,16,-7.14,494,217,.448,563,5,,1713,704,.336,775,1001,8,-4.51,Austin Peay,149,2193,,.452,388,8,9,13,.702,443,90,2210,422,29,5
14,14,11,5.36,477,267,.633,609,3,,1764,728,.359,841,1060,7,2.61,Ball State,175,2334,,.477,494,11,8,19,.655,488,85,2183,470,30,1
15,7,19,-6.13,366,175,.321,615,2,,1972,554,.338,821,1165,11,-0.43,Baylor,265,2273,,.416,482,3,10,9,.661,783,110,2409,447,28,8
16,6,16,-16.65,466,225,.429,564,4,,1768,691,.305,765,1109,6,-8.74,Bethune-Cookman,147,2143,,.433,415,9,10,12,.674,482,98,2251,462,28,5
17,9,10,4.14,415,260,.630,481,7,,1556,646,.292,708,876,7,-0.64,Boise State,105,1936,,.455,408,7,5,17,.642,360,88,1807,339,27,4
18,5,19,1.36,489,203,.321,546,3,,1556,702,.319,709,1107,16,5.72,Boston College,110,2017,,.456,372,2,10,9,.697,345,69,2139,558,28,7
19,8,16,-3.09,471,173,.484,621,7,,1703,694,.310,721,1183,9,-2.56,Boston University,118,2031,,.423,411,7,11,15,.679,381,139,2061,476,31,3
20,12,11,2.83,338,163,.593,439,3,,1427,506,.362,721,902,8,0.95,Bowling Green State,145,1925,,.505,394,10,10,16,.668,401,60,1827,424,27,1
21,11,10,8.66,478,226,.667,581,6,,1639,658,.380,746,1046,6,3.13,Bradley,162,2132,,.455,435,12,5,20,.726,426,93,1966,393,30,3
22,14,10,11.52,617,225,.688,601,4,,1743,798,.350,809,1124,5,5.55,Brigham Young,170,2405,,.464,498,13,7,22,.773,486,99,2214,448,32,0
23,7,13,-9.57,383,176,.500,486,5,,1421,554,.374,604,861,6,-6.65,Brown,173,1764,,.425,361,8,9,13,.691,462,72,1840,387,26,3
24,7,14,-7.22,408,159,.481,486,5,,1457,571,.387,673,942,3,-8.89,Bucknell,132,1886,,.462,330,11,9,13,.715,341,73,1841,430,27,3
25,10,10,-5.56,397,248,.643,519,7,,1763,584,.315,792,1094,6,-9.17,Buffalo,171,2152,,.449,456,12,8,18,.680,543,114,2051,452,28,2
26,8,12,-0.94,498,143,.556,498,6,,1482,795,.338,684,1089,7,-2.25,Butler,118,1984,,.462,362,8,4,15,.626,349,66,1921,465,27,6
27,1,26,-30.86,251,189,.037,615,0,,1444,425,.324,575,821,6,-0.75,Cal Poly,92,1493,,.398,287,0,16,1,.591,284,53,2273,602,27,8
28,4,20,-6.02,458,206,.259,579,3,,1600,690,.320,651,958,13,2.83,Cal State Fullerton,154,1914,,.407,343,5,9,7,.664,482,76,2159,474,27,8
29,5,20,-12.40,436,197,.286,620,2,,1642,626,.344,695,1007,2,-1.28,Cal State Northridge,176,2002,,.423,388,4,13,8,.696,512,90,2284,535,28,6
30,6,14,10.96,447,210,.481,556,7,,1661,712,.357,761,1003,13,8.89,California,189,2158,,.458,445,5,5,13,.628,530,107,2102,429,27,9
31,6,18,-17.21,283,153,.308,452,2,,1514,424,.312,597,855,12,-5.25,Campbell,135,1612,,.394,336,4,11,8,.667,433,52,1878,375,26,7
32,8,14,2.64,537,244,.600,594,11,,2018,739,.302,851,1178,4,1.07,Canisius,202,2441,,.422,504,10,5,21,.727,669,110,2386,487,35,4
33,6,17,-11.96,391,241,.370,515,3,,1830,554,.329,786,972,9,-6.00,Centenary (LA),211,2174,,.430,473,7,11,10,.706,641,105,2299,383,27,5
34,4,18,-17.73,350,187,.308,584,4,,1536,549,.292,686,1055,12,-8.46,Central Connecticut State,93,1815,,.447,385,6,10,8,.638,319,194,2065,553,26,8
35,7,16,-9.52,347,184,.407,569,4,,1710,529,.351,776,1076,9,-6.60,Central Florida,142,2037,,.454,420,7,8,11,.656,405,99,2104,464,27,8
36,3,23,-13.68,329,111,.115,500,0,,1459,488,.360,601,831,18,1.74,Central Michigan,131,1662,,.412,255,0,13,3,.674,364,41,1992,387,26,10
37,8,10,-4.46,444,208,.655,565,9,,1740,650,.350,778,1179,4,-6.49,Charleston Southern,149,2149,,.447,398,12,7,19,.683,426,97,2090,466,29,2
38,10,9,9.28,466,179,.679,573,8,,1672,626,.350,735,1134,4,3.56,Charlotte,151,2087,,.440,427,8,4,19,.744,432,151,1927,416,28,3
39,12,11,-1.49,507,243,.633,567,4,,1743,732,.340,779,1139,3,-4.56,Chattanooga,229,2294,,.447,458,11,8,19,.693,674,104,2170,496,30,2
40,4,20,-20.14,336,267,.231,504,2,,1705,531,.332,724,852,12,-4.72,Chicago State,188,1972,,.425,343,6,14,6,.633,566,61,2382,438,26,6
41,9,12,18.60,526,228,.647,742,7,,2143,799,.353,996,1361,5,8.87,Cincinnati,236,2754,,.465,550,7,4,22,.658,669,103,2423,526,34,4
42,11,13,10.40,293,212,.536,516,3,,1424,421,.356,652,844,11,8.80,Clemson,197,1794,,.458,400,5,7,15,.696,554,47,1749,324,28,5
43,7,17,-8.60,426,242,.370,538,3,,1651,655,.333,734,1050,11,-2.52,Cleveland State,98,1992,,.445,407,3,10,10,.650,294,91,2114,519,27,5
44,6,20,-14.87,356,188,.231,548,0,,1647,528,.295,675,955,13,-4.58,Coastal Carolina,151,1857,,.410,356,3,12,6,.674,511,59,2075,416,26,6
45,11,13,-5.50,448,193,.567,592,4,,1824,700,.358,828,1222,3,-4.94,Colgate,192,2296,,.454,390,11,6,17,.640,537,188,2313,499,30,1
46,11,6,2.99,404,238,.793,519,9,,1714,616,.338,763,1145,1,-5.01,College of Charleston,145,2075,,.445,429,15,3,23,.656,429,125,1819,364,29,1
47,9,13,8.40,445,285,.536,642,6,,1767,679,.344,808,1026,9,7.37,Colorado,166,2227,,.457,472,5,6,15,.655,483,139,2198,461,28,6
48,12,14,3.34,587,198,.548,598,3,,1743,806,.333,777,1185,11,3.80,Colorado State,180,2321,,.446,444,7,9,17,.728,540,124,2305,466,31,4
