,wins_home,losses,srs,ft,stl,win_loss_pct,pf,wins_visitor,mp,fga,fta,fg3_pct,fg,trb,losses_conf,sos,school_name,fg3,pts,orb,fg_pct,ast,wins_conf,losses_visitor,wins,ft_pct,fg3a,blk,opp_pts,tov,g,losses_home
0,17,9,15.19,468,234,.743,526,6,1400,1662,620,.401,815,969,6,3.34,Air Force,316,2414,231,.490,533,10,5,26,.755,789,57,1960,359,35,1
1,13,7,10.90,440,267,.788,611,10,,1857,657,.393,900,1159,3,-1.90,Akron,245,2485,399,.485,503,13,4,26,.670,624,141,2014,414,33,1
2,14,12,10.81,472,181,.625,460,2,,1849,667,.371,844,1242,9,6.24,Alabama,209,2369,437,.456,420,7,9,20,.708,563,170,2223,441,32,2
3,9,20,-23.55,400,224,.333,600,0,1205,1690,633,.270,653,1071,14,-12.38,Alabama A&M,150,1856,344,.386,324,4,13,10,.632,555,236,2052,539,30,5
4,7,20,-17.90,447,183,.333,607,3,1205,1650,690,.305,601,1031,10,-11.54,Alabama State,177,1826,393,.364,283,8,11,10,.648,580,83,2007,421,30,5
5,11,10,-1.60,418,191,.697,634,11,1330,1762,579,.374,798,1112,3,-4.75,Albany (NY),227,2241,364,.453,436,13,7,23,.722,607,82,2147,437,33,2
6,8,19,-22.48,456,196,.367,719,3,,1706,678,.287,705,1077,8,-13.23,Alcorn State,146,2012,380,.413,283,10,12,11,.673,508,82,2265,561,30,3
7,10,14,-2.68,417,173,.533,563,6,,1584,572,.343,678,1037,7,-4.38,American,172,1945,313,.428,404,7,11,16,.729,502,71,1865,414,30,3
8,12,8,4.68,428,285,.758,594,9,,1909,622,.364,914,1146,3,-1.19,Appalachian State,252,2508,386,.479,516,15,6,25,.688,693,121,2239,487,33,1
9,11,11,16.24,553,189,.645,425,7,1250,1770,737,.341,846,1158,7,10.76,Arizona,172,2417,380,.478,511,11,4,20,.750,505,103,2247,427,31,5
