,wins_home,losses,srs,ft,stl,win_loss_pct,pf,wins_visitor,mp,fga,fta,fg3_pct,fg,trb,losses_conf,sos,school_name,fg3,pts,orb,fg_pct,ast,wins_conf,losses_visitor,wins,ft_pct,fg3a,blk,opp_pts,tov,g,losses_home
288,16,10,10.52,594,164,.706,585,5,,1831,856,.361,822,1249,7,6.13,Texas A&M,202,2440,422,.449,427,9,5,24,.694,560,133,2281,432,34,2
289,11,15,-3.49,541,281,.545,638,6,1325,1826,792,.307,769,1242,5,-1.46,Texas A&M-Corpus Christi,176,2255,458,.421,418,11,11,18,.683,573,132,2228,564,33,3
290,4,25,-16.56,412,240,.219,702,3,,1673,670,.322,764,989,11,-7.46,Texas Southern,123,2063,332,.457,378,7,16,7,.615,382,74,2354,566,32,6
291,11,16,-4.73,480,234,.467,780,2,1205,1919,723,.369,865,1169,9,-3.93,Texas State,235,2445,434,.451,464,7,10,14,.664,637,81,2319,497,30,4
292,12,19,5.04,535,185,.424,719,0,,1984,732,.375,896,1185,13,8.04,Texas Tech,236,2563,348,.452,504,3,11,14,.731,630,94,2607,478,33,6
293,7,17,-13.68,360,154,.370,507,2,1080,1404,578,.298,642,856,,-3.01,Texas-Rio Grande Valley,119,1763,257,.457,424,,10,10,.623,399,48,1871,423,27,4
294,10,13,-4.48,433,172,.606,564,9,,1738,605,.340,780,1099,5,-5.98,The Citadel,213,2206,331,.449,376,15,6,20,.716,627,56,2134,419,33,5
295,6,25,-10.48,360,208,.219,586,0,,1641,551,.299,692,1058,11,-0.96,Toledo,149,1893,349,.422,347,5,16,7,.653,498,102,2173,548,32,7
296,6,22,-7.30,448,246,.353,614,4,,1930,671,.311,776,1186,13,-1.27,Towson,213,2213,418,.402,442,5,12,12,.668,685,156,2399,441,34,8
297,11,13,-3.64,418,241,.594,523,6,,1962,599,.374,904,1145,4,-4.22,Troy,274,2500,361,.461,451,14,8,19,.698,732,122,2470,396,32,3
298,10,17,-1.30,428,235,.452,597,2,1255,1700,632,.331,719,1028,9,0.90,Tulane,151,2017,351,.423,413,7,11,14,.677,456,98,2055,425,31,6
299,15,11,8.41,530,194,.694,664,7,1445,1880,762,.339,840,1355,4,4.84,Tulsa,195,2405,395,.447,394,12,7,25,.696,576,171,2210,510,36,2
300,13,12,10.05,473,224,.647,568,7,1375,1935,669,.337,880,1169,5,3.67,UAB,228,2461,328,.455,430,11,8,22,.707,676,69,2244,387,34,1
