,wins_home,losses,srs,ft,stl,win_loss_pct,pf,wins_visitor,mp,fga,fta,fg3_pct,fg,trb,losses_conf,sos,school_name,fg3,pts,orb,fg_pct,ast,wins_conf,losses_visitor,wins,ft_pct,fg3a,blk,opp_pts,tov,g,losses_home
0,6,20,-5.07,397,243,.286,587,2,,1673,610,.312,654,1009,10,2.58,Air Force,184,1889,412,.391,336,4,10,8,.651,590,53,2046,408,28,8
1,11,11,3.44,585,226,.607,505,6,,1574,767,.323,705,981,7,1.32,Akron,131,2126,316,.448,431,11,8,17,.763,406,89,2009,389,28,3
2,11,16,7.44,478,184,.448,,0,,1665,673,.344,715,1212,10,7.62,Alabama,186,2094,412,.429,312,6,10,13,.710,540,120,2099,,29,3
3,11,10,-12.27,430,366,.643,548,6,,1929,661,.305,764,1196,4,-12.07,Alabama A&M,168,2126,530,.396,386,14,8,18,.651,550,99,1984,510,28,2
4,8,15,-16.56,429,238,.464,473,5,,1551,672,.323,648,1045,8,-12.35,Alabama State,144,1867,367,.418,341,10,7,13,.638,446,83,1932,530,28,6
5,7,17,-15.51,266,234,.393,493,4,,1545,385,.364,663,859,,-9.59,Albany (NY),236,1828,249,.429,402,,12,11,.691,649,111,1920,468,28,4
6,11,10,-9.89,458,300,.655,555,6,,1727,654,.297,767,1177,3,-11.60,Alcorn State,135,2161,460,.444,410,15,9,19,.700,455,71,2037,549,29,0
7,9,18,-6.13,358,274,.379,561,1,,1778,566,.287,714,1103,11,-3.42,American,118,1904,419,.402,376,5,13,11,.633,411,118,1962,476,29,4
8,11,9,2.49,500,325,.719,627,9,,1882,705,.388,915,1151,3,-3.75,Appalachian State,200,2530,374,.486,534,13,7,23,.709,515,127,2228,506,32,0
9,16,7,18.96,636,255,.794,496,7,,1976,871,.322,904,1306,3,9.70,Arizona,155,2599,412,.457,537,15,4,27,.730,482,192,2284,510,34,1
10,14,13,12.11,529,274,.594,776,5,,2127,726,.337,924,1236,8,8.75,Arizona State,162,2539,503,.434,516,10,8,19,.729,481,87,2395,485,32,3
11,11,15,12.37,375,379,.559,705,2,,2168,622,.351,931,1159,9,7.76,Arkansas,292,2529,451,.429,458,7,7,19,.603,832,120,2372,494,34,6
12,6,18,-4.73,385,215,.357,552,3,,1637,547,.336,714,951,9,-0.48,Arkansas State,191,2004,307,.436,423,7,10,10,.704,569,66,2123,426,28,6
13,4,21,-24.28,399,277,.222,534,2,,1568,667,.265,667,1042,13,-10.04,Arkansas-Pine Bluff,95,1828,353,.425,327,5,14,6,.598,359,91,2164,591,27,7
14,4,23,-19.89,278,222,.179,600,1,,1476,449,.308,536,903,10,-6.43,Army,132,1482,307,.363,266,2,13,5,.619,429,62,1796,516,28,9
15,14,10,13.59,448,247,.706,582,3,,2118,684,.327,874,1335,7,8.20,Auburn,227,2423,533,.413,438,9,6,24,.655,695,110,2188,450,34,1
16,10,10,0.94,356,175,.643,448,7,,1618,492,.365,797,994,7,-3.29,Austin Peay,160,2110,326,.493,426,11,6,18,.724,438,106,1949,396,28,4
17,14,9,7.84,417,258,.710,530,4,,1840,681,.400,834,1138,7,3.17,Ball State,215,2300,398,.453,428,11,7,22,.612,538,131,2138,420,31,1
18,12,15,2.20,354,257,.483,492,1,,1622,550,.324,686,1034,12,4.59,Baylor,207,1933,332,.423,429,4,7,14,.644,639,129,1966,496,29,7
19,6,21,-10.98,384,154,.250,538,1,,1521,539,.352,633,919,,-1.39,Belmont,273,1923,291,.416,412,,13,7,.712,776,46,2107,429,28,9
20,7,15,-8.85,458,242,.483,676,5,,1775,686,.360,773,1073,6,-9.63,Bethune-Cookman,182,2186,372,.435,397,12,12,14,.668,506,65,2178,497,29,2
21,7,15,0.54,357,211,.444,537,5,,1348,549,.351,597,809,10,0.50,Boise State,129,1680,296,.443,291,6,8,12,.650,368,55,1679,476,27,7
22,7,19,4.21,434,279,.367,566,1,,1770,610,.302,725,1069,13,5.07,Boston College,165,2049,415,.410,348,3,9,11,.711,547,103,2075,492,30,8
