,wins_home,losses,srs,ft,stl,win_loss_pct,pf,wins_visitor,mp,fga,fta,fg3_pct,fg,trb,losses_conf,sos,school_name,fg3,pts,orb,fg_pct,ast,wins_conf,losses_visitor,wins,ft_pct,fg3a,blk,opp_pts,tov,g,losses_home
0,8,21,-4.90,333,155,.323,547,0,1240,1428,524,.313,632,851,15,3.13,Air Force,176,1773,220,.443,389,1,10,10,.635,562,51,1957,394,31,10
1,13,11,2.82,483,213,.686,682,7,1430,2024,735,.339,877,1269,4,-1.50,Akron,235,2472,467,.433,473,12,4,24,.657,694,114,2293,464,35,5
2,11,15,10.34,435,249,.531,583,3,1280,1794,615,.350,791,1126,10,6.62,Alabama,175,2192,386,.441,429,6,6,17,.707,500,127,2073,410,32,6
3,8,16,-20.19,472,249,.407,550,3,1085,1568,743,.291,599,1004,10,-13.71,Alabama A&M,108,1778,376,.382,288,8,9,11,.635,371,143,1881,444,27,5
4,9,15,-14.41,474,228,.516,634,6,1245,1651,739,.324,667,1101,6,-12.02,Alabama State,190,1998,400,.404,400,12,11,16,.641,587,129,2043,501,31,3
5,4,25,-11.94,393,187,.219,602,3,1290,1736,545,.332,710,1156,14,-5.53,Albany (NY),194,2007,399,.409,380,2,15,7,.721,585,97,2212,517,32,9
6,2,29,-30.36,443,214,.065,670,0,1245,1717,725,.309,651,1065,16,-9.00,Alcorn State,135,1880,356,.379,269,2,18,2,.611,437,98,2542,642,31,8
7,7,20,-11.47,395,109,.355,590,4,1265,1603,571,.345,681,1097,7,-6.89,American,184,1941,304,.425,447,7,12,11,.692,534,81,2083,458,31,8
8,14,13,1.80,579,201,.649,652,8,1490,2006,785,.397,954,1424,5,-2.76,Appalachian State,279,2766,411,.476,447,13,8,24,.738,703,102,2567,544,37,4
9,11,15,7.97,545,186,.516,595,4,1270,1681,744,.358,745,1062,8,8.10,Arizona,194,2229,302,.443,384,10,7,16,.733,542,78,2233,436,31,5
10,16,11,13.80,445,216,.667,542,5,1320,1645,625,.369,743,1050,6,5.83,Arizona State,271,2202,281,.452,461,12,5,22,.712,735,80,1938,392,33,4
11,12,18,5.87,532,232,.438,598,2,1295,1859,782,.347,829,1103,9,5.09,Arkansas,201,2391,351,.446,440,7,7,14,.680,579,130,2366,439,32,8
12,10,14,-4.01,452,159,.548,562,5,1250,1721,682,.349,768,1188,7,-4.39,Arkansas State,172,2160,367,.446,406,11,8,17,.663,493,129,2065,430,31,5
13,8,16,-8.29,575,229,.529,764,5,1380,1778,861,.303,725,1286,4,-7.68,Arkansas-Pine Bluff,141,2166,422,.408,421,14,14,18,.668,466,121,2187,569,34,1
14,10,15,-9.11,316,239,.483,580,4,1165,1538,483,.326,637,928,10,-7.96,Army,159,1749,300,.414,334,4,11,14,.654,488,74,1768,430,29,4
15,12,17,5.49,451,252,.469,635,1,1290,1913,689,.331,850,1121,10,4.68,Auburn,271,2422,382,.444,419,6,9,15,.655,819,89,2373,437,32,5
16,11,15,-3.85,548,189,.531,547,5,1305,1727,790,.366,786,1092,7,-1.68,Austin Peay,200,2320,347,.455,429,11,9,17,.694,547,107,2317,458,32,4
17,11,15,-4.85,471,152,.500,531,4,1230,1486,685,.365,617,1053,8,-1.48,Ball State,113,1818,314,.415,332,8,8,15,.688,310,91,1871,436,30,6
18,15,8,17.97,530,237,.778,639,6,1450,2040,731,.385,993,1408,5,8.03,Baylor,255,2771,443,.487,508,11,4,28,.725,662,242,2362,491,36,1
19,10,12,1.30,496,222,.613,595,8,1250,1699,736,.344,763,1150,6,-3.41,Belmont,244,2266,371,.449,445,14,8,19,.674,709,92,2124,513,31,3
20,10,16,-13.14,401,227,.515,593,4,1325,1727,624,.339,743,1096,9,-8.40,Bethune-Cookman,134,2021,392,.430,344,7,11,17,.643,395,114,1996,423,33,4
21,9,18,-10.60,371,166,.419,530,3,1250,1632,558,.290,690,1078,8,-4.31,Binghamton,158,1909,359,.423,299,8,12,13,.665,544,122,2082,439,31,3
22,9,17,-1.11,390,244,.469,537,4,1290,1942,578,.332,894,1148,11,0.68,Boise State,192,2370,371,.460,515,5,9,15,.675,578,119,2331,458,32,7
23,11,16,9.58,390,155,.484,524,3,1240,1786,545,.326,798,1124,10,7.21,Boston College,159,2145,401,.447,465,6,7,15,.716,487,108,2048,394,31,6
24,10,14,0.57,562,257,.600,744,9,1410,2033,776,.364,833,1296,5,-3.23,Boston University,300,2528,397,.410,398,11,8,21,.724,824,114,2395,475,35,4
25,9,16,-4.70,369,204,.467,494,5,1205,1564,551,.326,695,1011,10,-0.94,Bowling Green State,130,1889,327,.444,393,6,11,14,.670,399,99,1976,420,30,5
26,10,15,3.74,462,195,.516,518,4,1250,1641,621,.356,721,1021,9,4.11,Bradley,187,2091,283,.439,370,9,8,16,.744,525,85,2089,373,31,5
27,15,6,18.82,650,307,.833,621,10,1450,2120,823,.417,1025,1332,3,3.00,Brigham Young,292,2992,367,.483,567,13,4,30,.790,700,126,2392,417,36,1
28,4,20,-10.68,441,121,.355,436,6,1250,1610,602,.347,710,990,9,-3.82,Brown,212,2073,225,.441,417,5,10,11,.733,611,118,2231,402,31,9
29,0,29,,259,169,.033,590,1,1165,1466,389,.284,545,867,17,,Bryant,154,1503,243,.372,317,1,16,1,.666,543,107,2034,489,30,11
30,8,17,-7.94,443,152,.452,553,5,1260,1749,607,.329,717,1048,5,-6.84,Bucknell,200,2077,335,.410,370,9,11,14,.730,607,113,2107,359,31,5
31,9,12,-2.03,453,227,.600,570,8,1210,1742,632,.347,755,1066,7,-2.27,Buffalo,207,2170,379,.433,454,9,6,18,.717,597,100,2135,422,30,4
32,15,5,14.37,661,267,.868,685,12,1525,1911,896,.342,845,1241,0,5.08,Butler,260,2611,353,.442,464,18,1,33,.738,761,86,2258,456,38,0
33,6,19,-7.99,494,171,.387,683,5,1255,1770,678,.334,738,1100,9,-2.31,Cal Poly,206,2176,384,.417,364,7,12,12,.729,616,73,2335,417,31,6
34,5,22,,489,181,.241,543,2,1170,1638,712,.311,636,1048,,,Cal State Bakersfield,146,1907,408,.388,263,,15,7,.687,470,83,2163,438,29,6
35,8,15,-2.87,514,175,.516,613,7,1285,1754,720,.349,790,1141,8,-1.55,Cal State Fullerton,209,2303,323,.450,421,8,6,16,.714,598,98,2263,453,31,5
36,7,21,-5.81,624,239,.344,740,2,1295,1789,933,.312,751,1214,10,-1.06,Cal State Northridge,156,2282,431,.420,358,6,13,11,.669,500,99,2412,561,32,6
37,15,11,17.29,543,198,.686,593,6,1405,2028,717,.374,966,1241,5,8.26,California,228,2703,395,.476,500,13,6,24,.757,609,86,2387,421,35,1
38,12,11,-3.13,509,314,.633,563,7,1200,1578,719,.350,702,978,6,-4.96,Campbell,144,2057,353,.445,430,14,7,19,.708,411,64,1900,429,30,3
39,7,17,-5.19,427,193,.469,585,5,1306,1806,609,.315,744,1199,10,-4.09,Canisius,210,2125,404,.412,403,8,10,15,.701,667,112,2160,471,32,5
40,5,21,-17.16,461,231,.276,617,3,1175,1645,629,.352,684,874,15,-5.08,Centenary (LA),227,2056,274,.416,383,3,11,8,.733,644,65,2320,442,29,9
41,2,21,,454,195,.300,520,1,1205,1560,712,.311,641,1013,13,,Central Arkansas,161,1897,339,.411,296,2,12,9,.638,517,101,2009,420,30,8
42,8,18,-14.68,392,200,.400,454,3,1215,1599,547,.312,645,974,9,-9.68,Central Connecticut State,152,1834,330,.403,329,9,13,12,.717,487,90,1935,402,30,4
43,9,17,-0.03,439,248,.469,599,3,1295,1716,644,.338,758,1052,10,2.19,Central Florida,178,2133,356,.442,474,6,9,15,.682,526,95,2184,457,32,6
44,10,15,-3.58,406,246,.500,654,5,1200,1588,611,.372,651,1005,7,-3.58,Central Michigan,229,1937,371,.410,321,9,11,15,.664,615,85,1924,427,30,3
45,11,17,-13.25,331,269,.433,535,2,1220,1789,500,.353,767,1100,11,-8.12,Charleston Southern,197,2062,407,.429,331,7,14,13,.662,558,121,2030,444,30,3
46,10,12,3.96,563,183,.613,564,7,1250,1807,768,.311,756,1227,7,3.00,Charlotte,201,2276,413,.418,409,9,7,19,.733,646,126,2205,413,31,5
47,11,18,-8.56,390,199,.455,626,2,1320,1889,631,.333,823,1238,12,-3.68,Chattanooga,269,2305,383,.436,483,6,11,15,.618,809,82,2379,538,33,5
48,7,23,-21.80,469,222,.281,640,0,1285,1833,709,.271,701,1169,8,-7.61,Chicago State,139,2010,453,.382,321,4,17,9,.661,513,69,2287,511,32,5
49,13,16,9.98,428,199,.543,642,2,1420,2081,671,.291,890,1374,11,8.45,Cincinnati,200,2408,489,.428,482,7,9,19,.638,687,107,2327,458,35,5
50,14,11,15.71,432,301,.656,564,5,1280,1878,654,.342,851,1178,7,7.90,Clemson,216,2350,420,.453,453,9,6,21,.661,631,151,2065,480,32,2
51,13,17,0.57,477,293,.485,711,3,1320,1802,637,.349,796,975,8,2.12,Cleveland State,214,2283,320,.442,431,10,9,16,.749,614,61,2254,405,33,5
52,17,7,-0.78,468,265,.800,566,9,1400,2022,740,.359,966,1375,3,-10.14,Coastal Carolina,184,2584,465,.478,541,15,4,28,.632,512,156,2103,452,35,2
