,wins_home,losses,srs,ft,stl,win_loss_pct,pf,wins_visitor,mp,fga,fta,fg3_pct,fg,trb,losses_conf,sos,school_name,fg3,pts,orb,fg_pct,ast,wins_conf,losses_visitor,wins,ft_pct,fg3a,blk,opp_pts,tov,g,losses_home
0,5,19,-0.95,331,228,.321,,2,1160,1151,465,.373,533,614,11,3.23,Air Force,208,1605,154,.463,327,3,12,9,.712,558,39,1722,390,28,6
1,6,21,-4.83,554,180,.323,,3,1250,1581,731,.371,709,933,13,0.37,Akron,182,2154,295,.448,416,5,9,10,.758,491,77,2304,450,31,6
2,17,8,16.93,621,257,.771,,4,,2071,844,.309,910,1369,4,7.67,Alabama,217,2658,509,.439,460,12,4,27,.736,703,113,2334,490,35,0
3,12,10,-11.32,478,395,.655,,7,1160,2010,711,.311,814,1217,6,-15.80,Alabama A&M,212,2318,506,.405,426,12,7,19,.672,681,116,2123,504,29,2
4,12,13,-13.25,483,217,.594,,5,1290,1681,755,.341,715,1167,6,-14.14,Alabama State,182,2095,389,.425,314,12,9,19,.640,533,89,2067,538,32,2
5,5,20,-16.99,242,195,.286,,3,1125,1538,361,.328,594,904,11,-8.85,Albany (NY),163,1593,310,.386,285,5,12,8,.670,497,83,1821,405,28,7
6,11,10,-11.27,500,258,.677,,8,,1935,777,.378,900,1243,2,-14.17,Alcorn State,173,2473,453,.465,496,16,9,21,.644,458,125,2374,538,31,0
7,8,12,-4.99,402,201,.600,,8,1215,1507,554,.356,680,983,4,-6.19,American,215,1977,272,.451,412,10,6,18,.726,604,78,1941,482,30,6
8,7,18,-7.52,480,241,.357,,3,1125,1700,703,.353,745,1048,11,-0.64,Appalachian State,170,2140,367,.438,426,5,11,10,.683,481,77,2211,480,28,6
9,13,10,16.91,665,207,.706,,6,,2039,910,.376,935,1286,6,12.47,Arizona,258,2793,430,.459,527,12,5,24,.731,686,103,2642,478,34,4
10,12,15,9.79,461,208,.483,,2,1165,1784,703,.334,812,1070,11,6.79,Arizona State,144,2229,415,.455,475,7,10,14,.656,431,77,2142,438,29,5
11,11,15,12.27,389,306,.483,,3,,1777,598,.334,775,930,10,10.14,Arkansas,232,2171,319,.436,445,6,7,14,.651,694,99,2108,413,29,5
12,9,16,2.13,417,230,.484,,3,,1815,575,.352,826,1154,9,-1.98,Arkansas State,190,2259,403,.455,410,5,9,15,.725,540,166,2076,460,31,4
13,2,26,-27.48,415,311,.071,,0,,1789,628,.270,647,964,16,-8.69,Arkansas-Pine Bluff,143,1852,370,.362,298,2,19,2,.661,530,66,2378,531,28,7
14,8,16,-13.02,426,162,.429,,4,1125,1518,596,.341,650,914,8,-7.44,Army,145,1871,286,.428,326,6,9,12,.715,425,74,1962,412,28,6
15,12,16,6.89,354,229,.429,,0,,1575,597,.315,659,1011,12,7.97,Auburn,163,1835,361,.418,371,4,9,12,.593,517,151,1865,503,28,5
16,9,18,-4.01,449,233,.438,,3,1295,1785,702,.331,803,1098,8,-1.01,Austin Peay,200,2255,336,.450,383,8,11,14,.640,604,134,2253,469,32,4
17,12,12,8.88,567,218,.657,,8,1410,2061,752,.380,927,1253,6,3.30,Ball State,310,2731,393,.450,422,12,7,23,.754,815,138,2517,443,35,2
18,12,16,6.23,423,278,.467,,1,,1821,589,.366,800,1083,12,5.08,Baylor,273,2296,371,.439,514,4,10,14,.718,746,116,2166,428,30,4
19,7,17,-7.10,360,173,.393,,3,,1484,477,.371,698,868,12,-3.39,Belmont,264,2020,275,.470,506,8,11,11,.755,711,37,2124,457,28,5
20,6,17,-14.33,490,210,.414,,5,1175,1567,711,.346,672,1030,10,-8.26,Bethune-Cookman,149,1983,332,.429,259,8,9,12,.689,431,70,2140,504,29,7
21,3,19,-13.87,375,177,.321,,4,,1535,529,.341,621,944,10,-9.40,Binghamton,194,1811,310,.405,320,6,8,9,.709,569,125,1936,442,28,8
22,9,17,-1.63,363,184,.433,,3,1205,1631,523,.309,675,907,12,2.09,Boise State,164,1877,318,.414,366,6,11,13,.694,531,83,1973,426,30,6
23,11,12,8.96,540,259,.625,,5,,1913,776,.337,801,1192,8,5.92,Boston College,212,2354,452,.419,431,8,4,20,.696,629,106,2257,449,32,5
24,11,10,-4.68,448,192,.688,,9,,1767,651,.358,748,1200,3,-7.80,Boston University,203,2147,393,.423,399,13,6,22,.688,567,84,2047,415,32,2
25,13,9,7.69,593,209,.727,,7,1340,1709,791,.390,834,1063,6,1.47,Bowling Green State,203,2464,307,.488,473,12,6,24,.750,520,93,2238,462,33,1
26,6,20,-3.55,451,176,.310,,2,,1508,630,.311,587,1019,13,0.73,Bradley,134,1759,335,.389,311,5,10,9,.716,431,100,1883,415,29,7
27,17,12,9.35,523,158,.600,,1,,1514,688,.397,711,1000,7,5.35,Brigham Young,170,2115,265,.470,420,7,11,18,.760,428,92,1951,412,30,0
28,9,10,-3.54,494,245,.630,,7,1085,1568,656,.372,716,947,6,-5.89,Brown,164,2090,305,.457,448,8,6,17,.753,441,80,1997,385,27,4
29,7,16,-10.24,382,205,.448,,4,1165,1461,614,.344,626,959,6,-7.07,Bucknell,157,1791,305,.428,361,8,11,13,.622,457,84,1883,480,29,3
30,7,18,-2.77,426,191,.400,,4,,1672,652,.341,697,1074,11,-0.47,Buffalo,198,2018,391,.417,391,7,11,12,.653,580,67,2087,465,30,5
31,11,6,11.15,395,250,.813,,10,1295,1743,578,.383,788,983,4,-0.38,Butler,280,2251,308,.452,468,12,3,26,.683,731,74,1849,322,32,2
32,11,12,-1.28,348,193,.556,,4,1090,1564,512,.338,666,937,9,-1.48,Cal Poly,190,1870,329,.426,368,9,9,15,.680,562,71,1833,376,27,2
33,4,22,-11.41,368,160,.185,,1,,1448,560,.318,579,873,16,-1.06,Cal State Fullerton,163,1689,306,.400,329,2,13,5,.657,513,90,1922,409,27,9
34,7,16,-2.88,431,289,.429,,5,1125,1589,647,.332,661,1006,7,0.41,Cal State Northridge,158,1911,372,.416,389,11,9,12,.666,476,58,1946,457,28,6
35,18,9,13.08,453,254,.719,,4,,1849,669,.314,835,1087,6,7.45,California,187,2310,365,.452,487,12,7,23,.677,595,132,2130,423,32,1
36,7,19,-15.38,380,148,.296,,1,,1542,541,.365,680,897,14,-5.19,Campbell,169,1909,316,.441,376,6,13,8,.702,463,73,2158,404,27,6
37,6,20,-8.16,379,226,.333,,2,1205,1806,552,.321,691,1079,13,-4.82,Canisius,204,1965,392,.383,395,5,12,10,.687,636,93,2065,387,30,7
38,11,13,-5.98,410,214,.519,,2,,1526,600,.386,684,896,,-1.48,Centenary (LA),169,1947,,.448,349,,11,14,.683,438,70,1872,392,27,2
39,13,5,-1.10,513,215,.844,,11,,1777,697,.350,814,1247,1,-9.29,Central Connecticut State,139,2280,418,.458,426,19,2,27,.736,397,107,2018,480,32,2
40,12,12,-1.20,415,248,.586,,5,,1739,587,.407,817,1068,8,-6.38,Central Florida,200,2249,346,.470,429,12,8,17,.707,492,105,2070,443,29,4
41,7,19,-3.58,484,197,.321,,2,1135,1475,699,.299,677,940,13,1.35,Central Michigan,122,1960,308,.459,334,5,12,9,.692,408,65,2071,443,28,6
42,9,17,-14.18,385,242,.414,,3,,1513,574,.308,651,1003,6,-6.22,Charleston Southern,136,1823,310,.430,335,8,12,12,.671,441,84,1981,533,29,4
43,11,12,13.62,436,203,.600,,6,1205,1730,616,.365,761,1136,5,8.69,Charlotte,247,2205,377,.440,416,11,7,18,.708,676,72,2057,408,30,3
44,12,14,1.21,436,211,.533,,3,1200,1798,606,.345,792,1185,7,0.57,Chattanooga,175,2195,419,.440,382,9,9,16,.719,507,175,2115,465,30,2
45,2,26,-20.25,352,184,.071,,0,1125,1620,571,.277,648,1003,14,0.51,Chicago State,118,1766,397,.400,410,0,15,2,.616,426,57,2275,520,28,10
46,17,4,24.59,595,167,.886,,7,,2071,839,.362,967,1396,2,6.76,Cincinnati,209,2738,462,.467,480,13,3,31,.709,577,154,2115,416,35,0
47,8,17,3.56,429,220,.433,,3,1215,1876,685,.318,823,1246,12,5.16,Clemson,182,2257,462,.439,440,4,7,13,.626,572,105,2305,466,30,8
48,9,16,-2.28,386,222,.429,,3,1120,1513,603,.328,673,993,10,-1.46,Cleveland State,150,1882,323,.445,325,6,9,12,.640,457,125,1905,460,28,6
49,6,20,-16.41,493,238,.286,,2,,1589,712,.333,633,942,9,-6.91,Coastal Carolina,188,1947,355,.398,348,5,13,8,.692,564,42,2195,490,28,6
50,9,11,-5.84,458,210,.607,,8,1135,1582,655,.329,718,951,6,-7.15,Colgate,143,2037,305,.454,392,8,6,17,.699,434,62,1935,370,28,4
51,10,9,4.92,453,213,.700,,7,1220,1680,633,.371,730,1181,7,-3.12,College of Charleston,169,2082,391,.435,379,9,4,21,.716,456,146,1824,399,30,4
52,12,14,6.17,452,178,.517,,2,,1842,668,.357,834,1249,11,4.99,Colorado,192,2312,434,.453,508,5,9,15,.677,538,137,2258,425,29,4
53,7,18,3.09,462,185,.400,712,3,1220,1533,684,.376,731,1058,11,4.28,Colorado State,140,2064,327,.477,455,3,9,12,.675,372,99,2047,524,30,7
