,wins_home,losses,srs,ft,stl,win_loss_pct,pf,wins_visitor,mp,fga,fta,fg3_pct,fg,trb,losses_conf,sos,school_name,fg3,pts,orb,fg_pct,ast,wins_conf,losses_visitor,wins,ft_pct,fg3a,blk,opp_pts,tov,g,losses_home
0,13,11,-2.87,515,293,.645,661,7,1260,1813,695,.309,814,1042,5,-6.87,Abilene Christian,209,2352,337,.449,461,15,8,20,.741,676,81,2024,436,31,3
1,8,20,-0.37,459,161,.375,534,3,1280,1759,628,.375,802,1040,13,3.02,Air Force,275,2338,237,.456,469,5,9,12,.731,734,43,2386,395,32,7
2,15,7,7.15,485,158,.774,548,8,1240,1789,628,.361,788,1169,4,-0.40,Akron,287,2348,302,.440,405,14,4,24,.772,795,91,2062,397,31,2
3,10,15,11.12,500,196,.516,622,4,1260,1956,721,.349,854,1220,10,8.12,Alabama,334,2542,361,.437,441,8,8,16,.693,957,136,2449,461,31,5
4,6,22,-18.88,379,174,.267,538,2,1205,1727,565,.281,656,1035,13,-8.85,Alabama A&M,154,1845,286,.380,326,5,16,8,.671,548,63,2146,391,30,5
5,4,24,-16.15,391,200,.250,638,2,1280,1763,629,.303,683,1031,11,-6.53,Alabama State,208,1965,295,.387,325,7,16,8,.622,687,70,2273,512,32,5
6,7,18,-8.78,422,179,.438,533,5,1285,1768,600,.329,725,1096,9,-5.91,Albany (NY),255,2127,259,.410,409,7,11,14,.703,774,90,2190,436,32,7
7,11,15,-14.64,415,239,.500,549,4,1210,1836,558,.366,784,1116,7,-9.64,Alcorn State,268,2251,330,.427,404,11,13,15,.744,733,98,2196,433,30,2
8,10,14,-4.37,351,240,.533,521,6,1205,1743,499,.340,796,978,6,-6.50,American,206,2149,267,.457,384,12,10,16,.703,606,106,2085,369,30,4
9,10,15,-0.81,494,246,.545,514,7,1325,1800,741,.303,775,1153,9,-0.01,Appalachian State,212,2256,323,.431,381,11,9,18,.667,699,74,2222,440,33,5
10,13,11,19.49,512,216,.656,593,4,1290,1905,699,.352,850,1198,8,8.40,Arizona,233,2445,349,.446,492,10,6,21,.732,661,119,2090,378,32,4
11,13,11,11.46,429,249,.645,577,6,1240,1904,617,.323,816,1115,7,8.10,Arizona State,227,2288,312,.429,345,11,5,20,.695,703,104,2184,408,31,3
12,14,12,13.46,567,253,.625,638,4,1300,1825,776,.334,808,1010,11,7.27,Arkansas,243,2426,239,.443,381,7,8,20,.731,728,124,2228,369,32,4
13,10,16,-2.92,578,220,.500,655,6,1290,1718,814,.338,750,1054,12,-0.72,Arkansas State,184,2262,316,.437,442,8,9,16,.710,545,85,2301,415,32,7
