,wins_home,losses,srs,ft,stl,win_loss_pct,pf,wins_visitor,mp,fga,fta,fg3_pct,fg,trb,losses_conf,sos,school_name,fg3,pts,orb,fg_pct,ast,wins_conf,losses_visitor,wins,ft_pct,fg3a,blk,opp_pts,tov,g,losses_home
0,9,20,-19.60,499,221,.355,641,0,1255,1664,666,.402,737,1011,12,-4.12,Abilene Christian,241,2214,306,.443,402,2,14,11,.749,599,72,2228,453,31,5
1,8,18,-4.08,406,164,.400,563,3,1210,1561,588,.331,679,970,12,1.71,Air Force,216,1980,263,.435,419,6,8,12,.690,653,94,2074,400,30,9
2,13,13,1.16,467,225,.618,606,6,1375,1855,750,.346,813,1175,6,-0.48,Akron,239,2332,412,.438,387,12,8,21,.623,690,142,2276,446,34,2
3,13,19,8.34,505,218,.406,607,0,1295,1669,737,.334,741,1050,11,8.88,Alabama,183,2170,320,.444,351,7,11,13,.685,548,137,2150,380,32,4
4,7,16,-13.86,442,187,.467,643,5,1215,1601,674,.324,656,1015,8,-10.58,Alabama A&M,182,1936,300,.410,380,10,11,14,.656,561,125,2010,396,30,4
5,13,13,-12.84,506,217,.594,578,5,1300,1892,748,.286,792,1158,6,-11.40,Alabama State,175,2265,407,.419,415,12,10,19,.676,612,115,2225,377,32,1
6,10,15,-3.31,546,184,.559,580,7,1375,1733,728,.360,765,1175,7,-5.22,Albany (NY),163,2239,343,.441,376,9,11,19,.750,453,101,2174,428,34,3
7,9,19,-15.95,463,185,.387,577,2,1265,1658,708,.303,693,959,9,-9.27,Alcorn State,136,1985,302,.418,283,9,13,12,.654,449,116,2101,356,31,3
8,11,13,0.69,378,198,.606,567,9,1325,1527,535,.379,748,986,5,-3.25,American,207,2081,232,.490,492,13,9,20,.707,546,110,1951,464,33,3
9,7,21,-15.32,445,187,.300,597,2,1210,1730,697,.302,719,1091,11,-7.13,Appalachian State,151,2034,392,.416,327,5,13,9,.638,500,83,2152,362,30,7
10,18,5,23.36,573,223,.868,630,8,1540,2123,870,.364,996,1449,3,9.04,Arizona,204,2769,465,.469,574,15,3,33,.659,561,173,2225,387,38,0
11,16,12,13.32,546,167,.636,635,4,1345,1852,787,.390,836,1172,8,7.41,Arizona State,268,2486,281,.451,471,10,7,21,.694,688,182,2291,377,33,1
12,17,12,14.34,614,287,.647,706,3,1376,2105,846,.362,928,1222,8,5.57,Arkansas,253,2723,404,.441,521,10,7,22,.726,698,189,2425,392,34,2
13,11,13,-0.44,556,216,.594,570,7,1315,1795,766,.383,797,1104,8,-3.18,Arkansas State,282,2432,301,.444,425,10,8,19,.726,737,89,2299,390,32,4
14,6,18,-15.39,446,296,.419,605,6,1240,1605,675,.343,659,946,7,-6.90,Arkansas-Pine Bluff,193,1957,307,.411,350,11,12,13,.661,562,72,2188,478,31,3
15,7,16,-6.16,406,187,.484,567,7,1250,1804,580,.339,801,1043,8,-4.66,Army,236,2244,352,.444,436,10,8,15,.700,697,132,2269,401,31,7
16,12,16,5.11,526,183,.467,645,2,1201,1656,730,.310,723,1022,12,5.47,Auburn,172,2144,330,.437,349,6,8,14,.721,554,134,2155,363,30,6
17,8,18,-10.50,535,206,.400,517,3,1215,1632,804,.344,797,999,10,-5.78,Austin Peay,158,2287,298,.488,444,6,11,12,.665,459,156,2368,471,30,6
18,5,25,-10.17,469,136,.167,615,0,1225,1601,679,.314,651,1108,16,0.65,Ball State,196,1967,383,.407,375,2,16,5,.691,625,70,2214,505,30,9
19,13,12,15.80,645,197,.684,648,5,1540,2108,949,.386,959,1456,9,10.11,Baylor,280,2843,525,.455,563,9,5,26,.680,725,202,2577,440,38,4
20,13,10,3.29,587,248,.722,735,10,1440,1973,794,.392,983,1123,2,-1.88,Belmont,323,2876,315,.498,571,14,8,26,.739,823,88,2661,463,36,1
21,5,25,-16.86,442,199,.219,681,2,1290,1713,615,.356,686,1002,11,-7.53,Bethune-Cookman,218,2032,367,.400,316,5,18,7,.719,613,80,2252,408,32,6
22,3,23,-16.15,476,184,.233,596,4,1215,1554,687,.320,591,970,12,-6.15,Binghamton,182,1840,312,.380,282,4,12,7,.693,569,60,2140,428,30,10
23,12,13,8.83,547,203,.618,653,5,1380,1952,730,.372,890,1169,9,3.86,Boise State,264,2591,374,.456,407,9,7,21,.749,710,71,2347,340,34,4
24,4,24,3.01,518,140,.250,603,3,1305,1606,699,.352,716,951,14,8.62,Boston College,247,2197,265,.446,397,4,11,8,.741,702,86,2354,358,32,9
