,wins_home,losses,srs,ft,stl,win_loss_pct,pf,wins_visitor,mp,fga,fta,fg3_pct,fg,trb,losses_conf,sos,school_name,fg3,pts,orb,fg_pct,ast,wins_conf,losses_visitor,wins,ft_pct,fg3a,blk,opp_pts,tov,g,losses_home
0,7,18,-6.61,445,168,.308,509,1,,1489,630,.338,613,889,15,2.39,Air Force,142,1813,,.412,281,3,9,8,.706,420,111,1923,331,26,8
1,7,18,-8.15,311,213,.308,556,1,,1480,500,.295,593,862,16,-2.23,Akron,104,1601,,.401,335,2,10,8,.622,352,43,1727,422,26,8
2,13,10,10.28,476,238,.667,583,4,,1760,723,.338,787,1187,4,6.15,Alabama,158,2208,,.447,392,12,6,20,.658,468,155,2084,508,30,1
3,10,10,-8.28,528,221,.655,523,6,,1937,793,.342,905,1262,4,-12.04,Alabama State,106,2444,,.467,397,10,6,19,.666,310,71,2329,435,29,2
4,3,24,-24.72,346,208,.111,523,0,,1797,540,.368,754,933,11,-8.76,Alcorn State,161,2015,,.420,292,3,14,3,.641,438,48,2410,462,27,8
5,6,19,-9.64,420,223,.296,528,1,,1757,641,.363,738,1027,9,-2.23,American,153,2049,,.420,386,5,11,8,.655,421,76,2249,415,27,5
6,12,11,-2.42,409,180,.593,470,4,,1599,609,.370,748,919,6,-2.69,Appalachian State,165,2070,,.468,387,12,9,16,.672,446,120,2055,380,27,1
7,14,6,23.76,629,285,.829,637,8,,2288,884,.355,1108,1453,4,8.90,Arizona,279,3124,,.484,581,14,2,29,.712,787,102,2604,481,35,2
8,11,13,9.61,432,238,.536,528,4,,1729,659,.331,759,1018,8,7.86,Arizona State,208,2158,,.439,387,10,6,15,.656,628,81,2109,424,28,4
9,16,3,23.97,567,352,.912,708,7,,2363,834,.387,1154,1416,2,7.64,Arkansas,301,3176,,.488,687,14,2,31,.680,777,129,2569,539,34,0
10,10,12,-0.26,401,244,.556,535,4,,1580,612,.316,631,954,8,-2.37,Arkansas State,176,1839,,.399,377,10,8,15,.655,557,88,1782,424,27,2
11,6,20,-17.49,512,163,.259,610,1,,1641,751,.334,711,1021,10,-7.60,Army,161,2095,,.433,342,4,13,7,.682,482,42,2310,451,27,5
12,7,17,8.05,398,129,.393,544,2,,1689,610,.380,854,1069,13,7.27,Auburn,182,2288,,.506,457,3,7,11,.652,479,69,2266,489,28,8
13,9,16,-8.76,472,229,.407,551,2,,1696,729,.376,772,1124,6,-4.41,Austin Peay,140,2156,,.455,378,10,12,11,.647,372,106,2209,471,27,3
14,10,12,1.29,372,177,.571,488,6,,1610,544,.399,784,983,7,-0.52,Ball State,141,2081,,.487,452,11,6,16,.684,353,63,2022,458,28,5
15,11,11,0.76,522,154,.593,549,5,,1907,765,.325,804,1358,7,-1.02,Baylor,178,2308,,.422,449,7,7,16,.682,547,127,2260,457,27,3
16,4,18,-17.55,433,269,.333,607,4,,1712,694,.305,669,1062,8,-8.51,Bethune-Cookman,145,1916,,.391,292,8,12,9,.624,475,69,2160,514,27,4
17,15,13,2.10,382,267,.567,555,1,,1778,647,.302,848,1099,7,0.21,Boise State,96,2174,,.477,520,7,8,17,.590,318,143,2071,486,30,3
18,13,11,16.78,536,236,.676,604,6,,2004,786,.404,944,1286,7,9.81,Boston College,234,2658,,.471,536,11,5,23,.682,579,70,2381,463,34,2
19,7,16,-9.23,407,194,.407,544,4,,1549,644,.357,732,1073,10,-7.00,Boston University,142,2013,,.473,432,4,10,11,.632,398,158,2076,486,27,5
20,12,10,4.04,441,203,.643,484,5,,1475,636,.370,732,927,6,0.04,Bowling Green State,128,2033,,.496,397,12,7,18,.693,346,73,1883,400,28,2
21,17,8,2.69,458,264,.742,583,5,,1654,721,.342,767,1085,4,-1.11,Bradley,148,2140,,.464,437,14,7,23,.635,433,79,2008,484,31,0
22,14,10,7.59,647,219,.688,691,5,,1779,880,.318,876,1185,6,3.46,Brigham Young,141,2540,,.492,482,12,6,22,.735,444,108,2382,474,32,2
23,7,14,-12.44,346,172,.462,551,5,,1466,508,.372,592,900,8,-5.75,Brown,154,1684,,.404,348,6,10,12,.681,414,72,1858,398,26,4
24,7,17,-9.47,499,227,.370,531,2,,1790,680,.300,801,1089,8,-8.90,Bucknell,142,2243,,.447,345,6,10,10,.734,474,122,2218,461,27,5
25,5,18,-13.90,343,248,.357,539,3,,1844,594,.252,786,1126,2,-7.68,Buffalo,57,1972,,.426,364,4,10,10,.577,226,125,2131,469,28,7
26,11,13,1.53,567,164,.552,598,5,,1609,803,.355,738,1112,4,-0.01,Butler,124,2167,,.459,388,6,8,16,.706,349,42,2104,492,29,3
27,4,19,-5.45,453,216,.296,559,4,,1545,699,.338,675,975,12,0.15,Cal State Fullerton,140,1943,,.437,350,6,9,8,.648,414,70,2055,458,27,9
28,4,18,-10.71,424,243,.308,561,3,,1524,589,.369,675,850,,-1.19,Cal State Northridge,123,1897,,.443,378,,10,8,.720,333,47,2124,454,26,5
29,13,8,14.29,509,258,.733,561,7,,1791,760,.334,837,1136,5,7.19,California,175,2358,,.467,529,13,5,22,.670,524,120,2145,437,30,2
30,12,9,-4.98,392,253,.690,479,6,,1702,606,.382,752,1073,5,-8.69,Campbell,205,2101,,.442,486,13,7,20,.647,537,71,1928,433,29,0
