,wins_home,losses,srs,ft,stl,win_loss_pct,pf,wins_visitor,mp,fga,fta,fg3_pct,fg,trb,losses_conf,sos,school_name,fg3,pts,orb,fg_pct,ast,wins_conf,losses_visitor,wins,ft_pct,fg3a,blk,opp_pts,tov,g,losses_home
0,7,21,-17.20,354,203,.323,661,1,1240,1684,487,.380,695,897,14,-6.34,Abilene Christian,232,1976,274,.413,394,4,14,10,.727,610,38,2186,399,31,6
1,11,17,-1.85,321,195,.452,552,1,1245,1565,487,.371,742,930,12,-0.71,Air Force,232,2037,265,.474,483,6,11,14,.659,625,65,2017,366,31,5
2,15,14,3.65,406,230,.600,654,2,1406,1982,617,.350,824,1249,9,-0.47,Akron,328,2382,420,.416,435,9,9,21,.658,937,155,2203,422,35,3
3,14,15,10.52,539,219,.559,654,4,1371,1724,752,.317,760,1122,10,8.09,Alabama,221,2280,325,.441,350,8,8,19,.717,697,125,2180,407,34,5
4,4,20,-17.15,415,165,.310,573,5,1165,1533,643,.288,608,998,10,-9.62,Alabama A&M,166,1797,367,.397,354,8,12,9,.645,577,68,1988,413,29,7
5,9,10,-8.97,396,184,.655,520,8,1165,1738,609,.358,761,1151,4,-12.71,Alabama State,172,2090,389,.438,393,14,5,19,.650,480,122,1937,397,29,3
6,12,9,-0.34,493,187,.727,544,12,1325,1666,650,.358,729,1111,1,-5.18,Albany (NY),205,2156,334,.438,349,15,5,24,.758,572,53,1996,381,33,3
7,4,26,-20.75,463,191,.188,571,1,1280,1864,704,.280,724,1038,14,-9.95,Alcorn State,155,2066,376,.388,285,4,15,6,.658,553,86,2377,367,32,7
8,8,16,-3.56,359,196,.515,484,7,1339,1479,509,.373,683,827,10,-3.71,American,213,1938,188,.462,408,8,13,17,.705,571,84,1933,370,33,3
9,7,17,-9.81,381,122,.414,551,5,1160,1602,537,.316,637,1010,11,-3.18,Appalachian State,186,1841,329,.398,318,9,12,12,.709,588,61,2033,397,29,5
10,17,4,24.33,700,275,.895,681,8,1525,2068,974,.360,1009,1399,2,7.41,Arizona,193,2911,411,.488,528,16,3,34,.719,536,131,2268,419,38,0
11,15,16,9.52,511,199,.529,638,3,1385,1818,766,.350,809,1184,9,6.66,Arizona State,231,2360,365,.445,431,9,10,18,.667,660,79,2263,474,34,3
12,17,9,14.07,593,277,.750,684,7,1450,2196,819,.349,978,1290,5,6.79,Arkansas,238,2787,470,.445,579,13,5,27,.724,681,168,2525,430,36,2
13,5,18,-10.10,372,154,.379,496,6,1170,1631,530,.329,664,1038,14,-3.81,Arkansas State,169,1869,318,.407,321,6,9,11,.702,514,89,2018,390,29,9
14,5,20,-15.65,397,283,.375,623,5,1285,1638,584,.332,656,927,9,-8.61,Arkansas-Pine Bluff,203,1912,326,.400,323,9,13,12,.680,611,108,2140,489,32,4
15,7,15,-6.50,379,192,.500,612,7,1215,1768,557,.326,779,1033,12,-4.98,Army,227,2164,325,.441,437,6,8,15,.680,697,106,2163,396,30,7
16,9,20,3.27,606,238,.429,708,2,1415,1880,910,.347,760,1104,14,8.15,Auburn,252,2378,356,.404,376,4,10,15,.666,727,89,2523,452,35,8
17,6,22,-12.45,456,191,.267,514,1,1200,1667,685,.302,663,1043,13,-2.81,Austin Peay,155,1937,373,.398,360,3,14,8,.666,513,124,2178,428,30,7
18,6,23,-5.06,389,159,.233,576,1,1226,1580,561,.342,669,980,16,0.04,Ball State,234,1961,303,.423,383,2,14,7,.693,684,71,2070,424,30,9
19,16,10,17.85,487,263,.706,565,6,1370,1874,723,.377,813,1333,7,9.33,Baylor,236,2349,497,.434,497,11,5,24,.674,626,132,2048,434,34,2
20,12,11,0.35,405,209,.667,549,7,1320,1803,585,.380,858,1093,5,-2.77,Belmont,329,2450,307,.476,504,11,8,22,.692,866,66,2330,451,33,2
21,6,21,-15.52,482,174,.344,623,4,1280,1567,672,.301,627,1056,9,-10.45,Bethune-Cookman,163,1899,372,.400,264,7,11,11,.717,542,84,2003,449,32,8
22,5,26,-13.45,408,186,.188,577,1,1285,1598,618,.309,633,992,11,-3.49,Binghamton,171,1845,288,.396,278,5,15,6,.660,554,80,2124,433,32,9
23,13,9,10.01,431,206,.735,582,8,1385,1823,591,.392,831,1119,4,1.38,Boise State,297,2390,298,.456,409,14,5,25,.729,758,79,2045,348,34,1
24,9,19,6.32,412,183,.406,607,2,1300,1668,584,.324,743,983,14,7.94,Boston College,207,2105,263,.445,421,4,7,13,.705,638,86,2157,389,32,8
