,wins_home,losses,srs,ft,stl,win_loss_pct,pf,wins_visitor,mp,fga,fta,fg3_pct,fg,trb,losses_conf,sos,school_name,fg3,pts,orb,fg_pct,ast,wins_conf,losses_visitor,wins,ft_pct,fg3a,blk,opp_pts,tov,g,losses_home
0,12,16,2.71,418,200,.500,563,3,1295,1532,593,.377,722,918,10,3.31,Air Force,212,2074,187,.471,494,6,11,16,.705,563,83,2082,386,32,5
1,14,13,2.15,457,240,.639,692,5,1465,2073,649,.361,892,1238,7,-1.02,Akron,283,2524,363,.430,520,9,9,23,.704,785,129,2365,432,36,2
2,19,12,11.70,461,351,.676,675,4,1490,2066,652,.298,930,1339,4,4.27,Alabama,152,2473,458,.450,454,12,6,25,.707,510,190,2198,516,37,0
3,9,15,-15.19,417,233,.464,562,4,1125,1598,668,.288,633,1058,8,-11.75,Alabama A&M,125,1808,347,.396,339,10,10,13,.624,434,151,1870,444,28,4
4,10,18,-13.37,525,255,.486,777,4,1410,1841,870,.283,728,1271,7,-10.31,Alabama State,165,2146,460,.395,404,11,14,17,.603,583,163,2234,551,35,3
5,7,16,-7.05,327,150,.500,505,7,1305,1707,507,.378,724,1155,7,-5.96,Albany (NY),238,2013,376,.424,370,9,8,16,.645,630,90,2048,411,32,6
6,2,24,-23.02,494,218,.143,610,2,1125,1664,781,.323,614,992,14,-8.02,Alcorn State,116,1838,295,.369,255,4,17,4,.633,359,103,2258,473,28,7
7,10,9,-3.13,431,127,.710,558,10,1260,1602,600,.338,716,1044,3,-5.64,American,188,2051,288,.447,430,11,5,22,.718,557,86,1973,346,31,3
8,9,15,-4.81,489,179,.516,541,6,1245,1738,694,.337,790,1067,8,-2.95,Appalachian State,196,2265,323,.455,327,10,8,16,.705,582,89,2269,403,31,3
9,17,8,16.54,671,197,.789,707,7,1540,2064,899,.397,969,1319,4,7.99,Arizona,296,2905,408,.469,536,14,4,30,.746,745,98,2580,484,38,0
10,8,19,4.30,305,196,.387,574,2,1245,1674,486,.351,719,991,14,7.20,Arizona State,240,1983,290,.430,463,4,10,12,.628,684,115,2073,379,31,7
11,15,13,6.28,475,225,.581,561,2,1260,1734,683,.362,756,1063,9,2.34,Arkansas,204,2191,332,.436,373,7,7,18,.695,563,182,2069,411,31,3
12,13,15,-3.38,531,202,.531,585,4,1285,1724,750,.330,745,1177,5,-3.31,Arkansas State,167,2188,395,.432,363,11,10,17,.708,506,99,2066,418,32,0
13,5,24,-20.00,405,234,.226,649,2,1255,1610,646,.344,627,987,11,-8.03,Arkansas-Pine Bluff,191,1850,299,.389,357,7,19,7,.627,556,67,2221,518,31,4
14,4,19,-10.71,360,169,.367,606,7,1200,1701,507,.364,707,1020,11,-6.58,Army,264,2038,324,.416,403,3,10,11,.710,725,53,2141,424,30,8
15,9,20,-2.47,435,242,.355,641,2,1255,1695,663,.318,675,1067,12,2.40,Auburn,148,1933,383,.398,349,4,7,11,.656,465,100,2051,440,31,11
16,10,14,-0.15,526,292,.588,625,8,1390,1960,773,.360,899,1227,5,-3.77,Austin Peay,186,2510,429,.459,484,13,9,20,.680,517,142,2279,485,34,3
17,11,13,-0.70,567,193,.594,574,6,1295,1623,818,.336,724,1077,6,-3.40,Ball State,149,2164,332,.446,436,10,9,19,.693,443,64,2049,414,32,3
18,15,13,10.00,486,217,.581,524,2,1245,1618,699,.346,752,1088,9,4.80,Baylor,164,2154,360,.465,365,7,6,18,.695,474,130,1984,487,31,3
19,12,5,13.07,575,338,.857,729,12,1410,2045,781,.378,944,1258,1,-4.42,Belmont,327,2790,451,.462,575,19,4,30,.736,864,118,2178,480,35,0
20,11,13,-11.11,509,242,.618,654,9,1390,1814,719,.316,796,1094,3,-8.04,Bethune-Cookman,140,2241,365,.439,393,13,7,21,.708,443,90,2240,415,34,3
21,3,23,-13.81,326,157,.258,503,4,1250,1641,465,.354,651,959,12,-5.35,Binghamton,233,1861,316,.397,338,4,12,8,.701,659,102,2123,384,31,10
22,12,13,5.48,605,302,.629,661,9,1430,2002,838,.344,876,1158,6,0.01,Boise State,237,2594,390,.438,449,10,7,22,.722,689,94,2382,425,35,4
23,12,13,9.78,422,167,.618,503,5,1360,1852,583,.382,856,1091,7,7.31,Boston College,306,2440,320,.462,517,9,6,21,.724,802,86,2356,376,34,5
24,12,14,-2.48,507,189,.600,635,4,1405,1865,695,.355,749,1249,4,-3.85,Boston University,265,2270,414,.402,345,12,10,21,.729,747,129,2222,418,35,2
25,10,19,-5.94,364,283,.424,608,4,1335,1859,567,.297,803,1099,8,-2.03,Bowling Green State,146,2116,360,.432,450,8,11,14,.642,491,105,2215,444,33,5
26,8,20,-1.52,421,202,.375,584,2,1285,1751,583,.334,748,1048,14,1.67,Bradley,159,2076,294,.427,374,4,10,12,.722,476,79,2164,390,32,8
27,13,5,18.65,662,298,.865,647,10,1495,2267,865,.361,1019,1425,2,5.76,Brigham Young,312,3012,420,.449,538,14,1,32,.765,865,150,2512,404,37,1
28,8,17,-7.27,417,147,.393,464,3,1125,1567,558,.343,688,959,10,-4.12,Brown,209,2002,221,.439,399,4,12,11,.747,610,76,2054,343,28,5
29,5,21,-12.98,350,167,.300,565,3,1215,1683,537,.361,704,990,11,-3.12,Bryant,243,2001,315,.418,400,7,12,9,.652,673,82,2258,409,30,8
30,14,9,2.39,499,160,.735,612,10,1365,1855,633,.400,827,1149,1,-3.87,Bucknell,234,2387,270,.446,491,13,6,25,.788,585,106,2174,380,34,1
31,13,14,2.93,435,268,.588,645,7,1370,1863,668,.376,879,1205,8,-2.22,Buffalo,206,2399,408,.472,478,8,10,20,.651,548,183,2197,524,34,3
32,12,10,11.53,580,226,.737,718,7,1540,2122,799,.352,919,1337,5,5.02,Butler,289,2707,431,.433,452,13,6,28,.726,822,61,2437,416,38,2
33,7,15,-1.84,383,181,.500,557,8,1205,1551,577,.311,603,1020,6,-2.39,Cal Poly,190,1779,343,.389,336,10,9,15,.664,610,62,1766,356,30,5
