,wins_home,losses,srs,ft,stl,win_loss_pct,pf,wins_visitor,mp,fga,fta,fg3_pct,fg,trb,losses_conf,sos,school_name,fg3,pts,orb,fg_pct,ast,wins_conf,losses_visitor,wins,ft_pct,fg3a,blk,opp_pts,tov,g,losses_home
0,13,7,9.12,322,225,.759,481,8,1160,1216,453,.379,585,623,2,0.08,Air Force,245,1737,174,.481,386,12,5,22,.711,647,68,1475,318,29,0
1,9,15,-0.38,444,207,.464,544,4,,1492,688,.363,696,940,11,0.01,Akron,173,2009,314,.466,423,7,11,13,.645,477,71,2020,410,28,4
2,11,13,14.29,521,213,.606,598,4,,1802,735,.378,813,1148,8,10.20,Alabama,233,2380,366,.451,395,8,6,20,.709,616,111,2245,423,33,4
3,8,17,-15.88,485,220,.433,650,3,,1762,705,.317,721,1112,9,-12.30,Alabama A&M,186,2113,387,.409,378,9,12,13,.688,586,78,2220,487,30,4
4,7,15,-11.10,453,219,.516,581,5,,1523,691,.335,639,1066,7,-10.78,Alabama State,173,1904,360,.420,315,11,9,16,.656,517,95,1913,537,31,4
5,3,23,-15.33,290,188,.179,474,2,1140,1493,393,.297,598,916,15,-7.47,Albany (NY),135,1621,286,.401,314,3,12,5,.738,455,63,1841,441,28,10
6,6,18,-20.17,401,179,.379,565,4,1160,1520,592,.351,646,962,9,-11.79,Alcorn State,162,1855,329,.425,329,9,11,11,.677,461,62,2098,560,29,6
7,7,13,-4.59,434,240,.581,564,7,,1643,642,.368,726,1067,4,-7.04,American,206,2092,331,.442,411,10,8,18,.676,560,72,2016,441,31,4
8,4,21,-5.83,355,324,.300,609,4,1205,1875,554,.326,766,1047,12,-1.18,Appalachian State,204,2091,407,.409,437,4,11,9,.641,626,138,2170,494,30,8
9,13,10,15.29,511,206,.667,483,5,1200,1938,650,.386,942,1177,7,6.63,Arizona,219,2614,421,.486,560,11,5,20,.786,568,135,2354,448,30,2
10,7,17,2.82,547,150,.370,567,2,1090,1498,744,.337,646,961,14,5.34,Arizona State,161,2000,327,.431,426,4,9,10,.735,478,86,2068,408,27,8
11,10,16,6.53,392,220,.429,555,1,1130,1629,577,.314,678,967,12,6.28,Arkansas,180,1928,365,.416,363,4,8,12,.679,573,108,1921,386,28,6
12,10,11,-1.57,468,190,.607,576,6,1135,1581,642,.356,707,1017,7,-4.42,Arkansas State,196,2078,359,.447,315,7,5,17,.729,550,80,1957,434,28,4
13,0,26,-30.69,252,149,.037,568,1,1080,1485,395,.279,511,936,17,-8.54,Arkansas-Pine Bluff,136,1410,292,.344,269,1,16,1,.638,487,66,2008,518,27,10
14,4,21,-22.76,299,170,.222,493,2,,1257,456,.328,455,782,11,-7.72,Army,154,1363,186,.362,270,3,8,6,.656,470,52,1708,463,27,11
15,12,14,10.32,375,244,.500,473,1,1125,1598,566,.341,700,1043,11,5.89,Auburn,185,1960,415,.438,427,5,8,14,.663,543,134,1836,447,28,5
16,13,10,1.42,438,218,.688,558,8,1280,1673,632,.327,739,1090,0,-1.38,Austin Peay,182,2098,318,.442,405,16,8,22,.693,556,130,1935,440,32,0
17,10,15,1.03,491,174,.483,589,4,1175,1657,672,.336,703,1023,8,1.78,Ball State,149,2046,344,.424,365,10,9,14,.731,443,63,2032,379,29,5
18,6,21,-2.73,367,214,.276,465,1,1175,1540,531,.315,656,924,13,5.20,Baylor,168,1847,355,.426,351,3,9,8,.691,534,74,2041,446,29,11
19,12,9,1.70,388,269,.700,539,9,1225,1634,566,.358,745,995,5,-4.68,Belmont,293,2171,292,.456,494,15,5,21,.686,818,72,1947,437,30,4
20,5,21,-18.49,323,241,.276,532,3,,1549,462,.315,606,927,11,-10.63,Bethune-Cookman,176,1711,311,.391,306,7,14,8,.699,558,61,1939,461,29,6
21,6,16,-9.09,381,202,.467,564,6,1205,1549,596,.317,630,1057,8,-6.33,Binghamton,161,1802,357,.407,314,10,7,14,.639,508,157,1885,509,30,5
22,12,7,-3.27,395,205,.741,520,7,,1412,568,.430,680,963,4,-9.79,Birmingham-Southern,243,1998,,.482,426,12,5,20,.695,565,87,1760,428,27,1
23,13,10,8.85,506,212,.697,567,10,1325,1904,686,.346,852,1136,6,4.14,Boise State,221,2431,380,.447,461,12,5,23,.738,639,105,2227,428,33,4
24,13,10,11.99,546,241,.706,537,5,1380,1799,804,.326,819,1224,6,7.17,Boston College,128,2312,425,.455,543,10,5,24,.679,393,102,2148,457,34,3
25,11,6,1.12,367,228,.793,537,12,1170,1617,530,.326,693,1007,1,-5.91,Boston University,177,1930,337,.429,420,17,3,23,.692,543,105,1726,351,29,3
26,11,17,-1.27,551,167,.452,739,2,1250,1609,711,.369,721,1061,10,0.49,Bowling Green State,201,2194,323,.448,470,8,10,14,.775,545,120,2206,509,31,4
27,11,16,-0.06,532,223,.484,685,3,,1649,734,.328,667,1048,11,1.94,Bradley,192,2058,333,.404,379,7,10,15,.725,585,57,2126,486,31,4
28,13,9,12.70,501,208,.700,566,5,1205,1571,692,.351,764,1017,4,6.31,Brigham Young,171,2200,316,.486,445,10,7,21,.724,487,98,1966,409,30,0
29,7,13,-5.40,342,240,.519,499,6,1090,1561,487,.365,703,891,4,-4.17,Brown,208,1956,252,.450,426,10,9,14,.702,570,85,1966,412,27,4
30,10,15,-4.21,403,244,.483,561,2,1165,1454,602,.290,670,1002,5,-6.65,Bucknell,140,1883,297,.461,375,9,11,14,.669,483,71,1759,484,29,2
31,9,12,2.36,446,232,.586,633,8,,1669,663,.379,771,1038,7,-1.19,Buffalo,187,2175,369,.462,383,11,6,17,.673,494,83,2072,436,29,5
32,11,14,1.80,335,160,.533,567,4,,1554,439,.343,646,887,8,-0.03,Butler,245,1872,287,.416,339,8,9,16,.763,715,59,1805,308,30,4
33,8,16,-3.39,373,207,.407,519,3,1085,1534,533,.332,681,909,12,-0.20,Cal Poly,166,1901,280,.444,364,6,10,11,.700,500,88,1977,410,27,5
34,8,17,-4.03,401,184,.393,579,3,,1637,588,.366,693,1067,11,-0.81,Cal State Fullerton,196,1983,411,.423,403,7,10,11,.682,535,52,2050,435,28,6
35,7,16,-1.91,456,298,.467,632,4,1205,1605,631,.341,707,904,11,-0.46,Cal State Northridge,175,2045,331,.440,374,7,9,14,.723,513,70,2063,492,30,6
36,11,15,6.29,396,173,.464,540,2,1125,1544,631,.310,675,984,9,6.65,California,127,1873,346,.437,386,9,9,13,.628,410,84,1883,394,28,4
37,3,24,-21.16,344,209,.111,592,0,1080,1722,521,.299,679,1001,17,-4.49,Campbell,156,1858,368,.394,366,3,15,3,.660,521,38,2308,458,27,9
38,3,20,-6.20,331,177,.333,572,6,1210,1750,525,.381,763,1114,13,-2.75,Canisius,207,2064,362,.436,458,5,9,10,.630,544,90,2169,446,30,9
39,13,12,-2.43,449,247,.571,616,3,,1444,625,.366,684,852,6,-2.39,Centenary (LA),149,1966,,.474,353,10,10,16,.718,407,85,1905,420,28,0
40,5,14,-6.69,351,205,.500,447,6,1140,1582,548,.374,732,976,9,-7.97,Central Connecticut State,164,1979,368,.463,406,9,7,14,.641,438,55,1943,422,28,7
41,12,6,1.86,365,279,.806,574,11,,1732,510,.353,792,1129,3,-5.87,Central Florida,232,2181,382,.457,520,17,3,25,.716,658,141,1916,473,31,1
42,6,24,-9.05,428,186,.200,672,1,,1686,631,.357,735,962,15,1.13,Central Michigan,218,2116,303,.436,438,2,12,6,.678,611,59,2411,531,30,8
43,5,22,-15.23,264,205,.214,564,1,,1484,416,.312,627,898,13,-6.97,Charleston Southern,142,1660,291,.423,372,3,13,6,.635,455,103,1841,435,28,6
44,10,9,12.24,518,264,.700,570,10,1225,1805,798,.340,812,1220,4,4.70,Charlotte,232,2374,441,.450,484,12,4,21,.649,682,90,2148,458,30,3
45,10,11,-1.39,510,250,.633,515,7,,1751,694,.376,861,1067,6,-2.98,Chattanooga,231,2463,369,.492,535,10,6,19,.735,615,72,2260,480,30,4
46,8,20,-6.08,470,227,.375,701,3,,1721,671,.364,746,997,7,0.14,Chicago State,145,2107,372,.433,365,9,14,12,.700,398,95,2269,440,32,3
47,18,7,18.75,484,241,.781,620,6,1285,1893,723,.387,867,1197,4,6.28,Cincinnati,237,2455,420,.458,517,12,5,25,.669,612,168,2056,393,32,1
48,10,18,5.87,407,191,.357,523,0,1130,1504,645,.321,649,1050,13,11.12,Clemson,134,1839,398,.432,359,3,11,10,.631,418,125,1986,537,28,6
49,2,25,-10.32,411,199,.138,606,2,1160,1594,636,.309,651,1040,16,0.46,Cleveland State,158,1871,375,.408,334,0,12,4,.646,512,117,2131,534,29,11
50,9,15,-7.13,383,223,.483,564,5,,1686,541,.376,742,1090,8,-6.80,Coastal Carolina,194,2061,366,.440,423,8,9,14,.708,516,58,1997,469,29,5
51,9,14,-10.81,385,200,.517,520,5,,1624,552,.356,696,987,8,-7.58,Colgate,191,1968,323,.429,386,6,9,15,.697,537,51,1987,395,29,4
52,11,9,1.13,415,228,.690,544,7,,1673,584,.373,739,1045,5,-3.98,College of Charleston,241,2134,305,.442,414,11,7,20,.711,646,132,1966,434,29,1
53,12,11,9.68,447,172,.621,519,6,,1635,720,.372,758,1122,6,7.18,Colorado,188,2151,363,.464,403,10,7,18,.621,505,174,2051,423,29,3
54,8,16,1.98,521,172,.448,689,3,1180,1503,732,.338,690,1015,10,4.87,Colorado State,135,2036,300,.459,395,4,10,13,.712,399,140,2086,494,29,4
55,5,17,-9.53,347,201,.370,629,4,,1453,489,.382,633,894,8,-5.30,Columbia,211,1824,279,.436,424,6,10,10,.710,553,37,1902,504,27,6
56,17,6,22.64,516,233,.846,624,6,1565,2403,828,.402,1154,1742,4,7.77,Connecticut,249,3073,586,.480,681,12,4,33,.623,619,315,2493,532,39,1
57,9,14,-8.03,417,203,.563,569,6,,1645,623,.362,672,1103,4,-8.68,Coppin State,208,1969,350,.409,354,14,10,18,.669,574,105,1948,478,32,1
58,5,16,-6.19,410,236,.407,499,5,,1553,598,.329,659,1015,8,-5.69,Cornell,176,1904,348,.424,343,6,9,11,.686,535,88,1885,401,27,7
59,14,9,8.52,425,195,.690,508,6,1175,1528,609,.385,692,991,6,1.90,Creighton,175,1984,303,.453,395,12,6,20,.698,455,113,1792,392,29,2
60,2,25,-18.28,291,151,.107,485,1,1125,1378,407,.340,561,805,13,-6.17,Dartmouth,181,1594,170,.407,302,1,13,3,.715,533,103,1876,397,28,10
61,13,12,-1.76,429,169,.586,578,3,1160,1659,598,.359,732,1115,5,-0.99,Davidson,226,2119,361,.441,433,11,10,17,.717,629,35,2054,503,29,1
62,15,9,7.12,477,150,.727,577,6,1335,1746,717,.321,780,1266,4,3.58,Dayton,207,2244,409,.447,489,12,5,24,.665,644,94,2127,467,33,2
63,10,12,-0.66,431,237,.571,624,6,1150,1615,624,.367,695,1054,8,-1.95,Delaware,166,1987,338,.430,364,10,8,16,.691,452,111,1951,474,28,3
64,7,15,-8.44,423,189,.464,492,5,1135,1289,611,.331,574,810,7,-7.97,Delaware State,150,1721,265,.445,297,11,11,13,.692,453,73,1734,427,28,3
65,9,13,-2.37,380,185,.519,508,5,1100,1518,553,.376,656,960,9,-1.67,Denver,185,1877,309,.432,383,6,9,14,.687,492,94,1879,371,27,4
66,11,10,9.06,468,176,.688,562,7,1300,1755,671,.362,813,1159,4,6.38,DePaul,163,2257,382,.463,437,12,5,22,.697,450,74,2171,422,32,4
67,13,11,5.73,348,213,.633,564,6,1210,1555,502,.350,714,951,6,0.36,Detroit Mercy,172,1948,331,.459,421,10,7,19,.693,492,83,1787,405,30,3
68,7,16,-0.07,479,321,.429,519,4,,1602,702,.314,651,933,11,2.15,Drake,175,1956,361,.406,336,7,9,12,.682,558,57,2001,451,28,6
69,10,11,3.54,400,228,.621,566,7,1170,1633,594,.388,750,993,5,-1.22,Drexel,213,2113,277,.459,466,13,6,18,.673,549,110,1975,375,29,2
70,14,6,25.67,655,340,.838,699,8,1490,2161,890,.364,1018,1351,3,10.86,Duke,263,2954,474,.471,536,13,2,31,.736,722,240,2406,511,37,1
71,8,17,1.16,409,173,.414,565,3,1175,1604,602,.340,728,1010,10,2.23,Duquesne,175,2040,310,.454,444,6,9,12,.679,515,99,2071,427,29,8
72,10,14,5.16,438,183,.481,535,2,1085,1525,670,.333,667,1073,11,2.16,East Carolina,133,1905,370,.437,324,5,8,13,.654,400,125,1786,404,27,5
73,12,6,4.19,525,382,.818,557,11,1325,2059,762,.347,946,1269,1,-3.15,East Tennessee State,201,2618,411,.459,505,15,3,27,.689,580,192,2291,514,33,0
74,5,21,-11.05,325,192,.222,588,1,1085,1562,470,.325,693,940,12,-2.63,Eastern Illinois,139,1850,317,.444,397,4,13,6,.691,428,64,2020,436,27,8
75,11,15,-5.85,426,213,.483,590,3,1175,1615,660,.369,755,994,8,-5.07,Eastern Kentucky,189,2125,330,.467,473,8,11,14,.645,512,69,2071,462,29,3
76,8,15,-3.98,461,213,.464,579,5,,1517,704,.342,697,997,11,-1.14,Eastern Michigan,131,1986,331,.459,372,7,9,13,.655,383,83,1968,479,28,5
77,11,13,0.83,429,192,.567,605,6,1215,1574,608,.367,747,918,3,-0.34,Eastern Washington,179,2102,279,.475,480,11,9,17,.706,488,49,2035,453,30,1
78,10,18,-9.45,355,267,.400,579,1,1220,1783,501,.350,750,1086,9,-2.95,Elon,212,2067,414,.421,440,7,12,12,.709,606,68,2200,512,30,3
79,4,22,-3.66,372,113,.241,605,2,,1525,562,.371,691,979,13,3.27,Evansville,208,1962,251,.453,434,5,13,7,.662,560,83,2163,451,29,8
80,8,11,1.02,457,214,.633,542,9,,1668,620,.346,706,1072,6,-2.38,Fairfield,159,2028,374,.423,383,12,7,19,.737,460,128,1926,426,30,3
81,10,12,-7.11,331,211,.586,575,7,1175,1722,479,.345,739,955,7,-7.64,Fairleigh Dickinson,203,2012,330,.429,398,11,8,17,.691,588,125,1975,350,29,3
82,11,11,16.28,462,200,.645,586,4,1250,1719,616,.377,829,1081,7,9.19,Florida,249,2369,306,.482,492,9,5,20,.750,661,98,2149,454,31,4
83,8,17,-9.85,546,271,.469,693,3,,1802,771,.347,747,1089,8,-7.94,Florida A&M,271,2311,,.415,405,10,12,15,.708,782,51,2372,537,32,4
